sample_name,tissue,time,input_conc,y_plot_DNA,above_cap_reads
hairfollicle21-e1-w8,Hair follicle,Week 8,23.63,23.63,FALSE
hairfollicle21-f2-w8,Hair follicle,Week 8,140.25,50,TRUE
hairfollicle21-f4-w8,Hair follicle,Week 8,22.95,22.95,FALSE
hairfollicle21-f6-w8,Hair follicle,Week 8,28.73,28.73,FALSE
hairfollicle21-f7-w8,Hair follicle,Week 8,19.89,19.89,FALSE
hairfollicle21-g2-w8,Hair follicle,Week 8,139.06,50,TRUE
hairfollicle21-g6-w8,Hair follicle,Week 8,15.011,15.011,FALSE
hairfollicle21-g7-w8,Hair follicle,Week 8,20.91,20.91,FALSE
hairfollicle19-A3_Ac-w19,Hair follicle,Week 19,4.063,4.063,FALSE
hairfollicle19-A4_Ac-w19,Hair follicle,Week 19,11.118,11.118,FALSE
hairfollicle19-B3_Ac-w19,Hair follicle,Week 19,8.483,8.483,FALSE
hairfollicle19-B4_Ac-w19,Hair follicle,Week 19,7.718,7.718,FALSE
hairfollicle21-e1-w19,Hair follicle,Week 19,17.85,17.85,FALSE
hairfollicle21-f2-w19,Hair follicle,Week 19,15.283,15.283,FALSE
hairfollicle21-f4-w19,Hair follicle,Week 19,46.41,46.41,FALSE
hairfollicle21-f6-w19,Hair follicle,Week 19,18.87,18.87,FALSE
hairfollicle21-b5-w8,Hair follicle,Week 8,22.44,22.44,FALSE
hairfollicle21-b6-w8,Hair follicle,Week 8,23.97,23.97,FALSE
hairfollicle21-b7-w8,Hair follicle,Week 8,22.95,22.95,FALSE
hairfollicle21-c5-w8,Hair follicle,Week 8,29.07,29.07,FALSE
hairfollicle21-fc6-w8,Hair follicle,Week 8,25.16,25.16,FALSE
hairfollicle21-c7-w8,Hair follicle,Week 8,21.42,21.42,FALSE
hairfollicle21-d1-w8,Hair follicle,Week 8,8.523,8.523,FALSE
hairfollicle21-d2-w8,Hair follicle,Week 8,19.04,19.04,FALSE
hairfollicle21-d3-w8,Hair follicle,Week 8,18.19,18.19,FALSE
hairfollicle21-d4-w8,Hair follicle,Week 8,13.753,13.753,FALSE
hairfollicle21-e2-w8,Hair follicle,Week 8,22.95,22.95,FALSE
hairfollicle21-e3-w8,Hair follicle,Week 8,18.87,18.87,FALSE
hairfollicle21-e4-w8,Hair follicle,Week 8,14.331,14.331,FALSE
hairfollicle21-f1-w8,Hair follicle,Week 8,20.91,20.91,FALSE
hairfollicle21-f3-w8,Hair follicle,Week 8,19.04,19.04,FALSE
hairfollicle21-g1-w8,Hair follicle,Week 8,17.34,17.34,FALSE
hairfollicle21-g3-w8,Hair follicle,Week 8,15.402,15.402,FALSE
hairfollicle21-g4-w8,Hair follicle,Week 8,22.1,22.1,FALSE
hairfollicle21-e1-w14,Hair follicle,Week 14,27.2,27.2,FALSE
hairfollicle21-e1-w17,Hair follicle,Week 17,25.67,25.67,FALSE
hairfollicle21-f7-w19,Hair follicle,Week 19,33.49,33.49,FALSE
hairfollicle21-f2-w14,Hair follicle,Week 14,28.22,28.22,FALSE
hairfollicle21-f2-w17,Hair follicle,Week 17,24.99,24.99,FALSE
hairfollicle21-g2-w19,Hair follicle,Week 19,21.93,21.93,FALSE
hairfollicle21-f4-w17,Hair follicle,Week 17,29.58,29.58,FALSE
hairfollicle21-g6-w19,Hair follicle,Week 19,17.34,17.34,FALSE
hairfollicle21-f6-w14,Hair follicle,Week 14,29.75,29.75,FALSE
hairfollicle21-f6-w17,Hair follicle,Week 17,34.34,34.34,FALSE
hairfollicle21-g7-w19,Hair follicle,Week 19,20.06,20.06,FALSE
hairfollicle21-f7-w14,Hair follicle,Week 14,26.52,26.52,FALSE
hairfollicle21-f7-w17,Hair follicle,Week 17,26.69,26.69,FALSE
hairfollicle21-g2-w14,Hair follicle,Week 14,17.51,17.51,FALSE
hairfollicle21-g2-w17,Hair follicle,Week 17,15.827,15.827,FALSE
hairfollicle21-g6-w14,Hair follicle,Week 14,28.05,28.05,FALSE
hairfollicle21-g6-w17,Hair follicle,Week 17,22.1,22.1,FALSE
hairfollicle21-g7-w14,Hair follicle,Week 14,23.63,23.63,FALSE
hairfollicle21-g7-w17,Hair follicle,Week 17,28.05,28.05,FALSE
hairfollicle21-b5-w14,Hair follicle,Week 14,25.5,25.5,FALSE
hairfollicle21-b6-w14,Hair follicle,Week 14,15.334,15.334,FALSE
hairfollicle21-b7-w14,Hair follicle,Week 14,11.356,11.356,FALSE
hairfollicle21-c5-w14,Hair follicle,Week 14,16.303,16.303,FALSE
hairfollicle21-c6-w14,Hair follicle,Week 14,19.72,19.72,FALSE
hairfollicle21-c7-w14,Hair follicle,Week 14,16.082,16.082,FALSE
hairfollicle21-d1-w14,Hair follicle,Week 14,12.206,12.206,FALSE
hairfollicle21-d2-w14,Hair follicle,Week 14,27.37,27.37,FALSE
hairfollicle21-d3-w14,Hair follicle,Week 14,19.55,19.55,FALSE
hairfollicle21-d4-w14,Hair follicle,Week 14,28.73,28.73,FALSE
hairfollicle21-e2-w14,Hair follicle,Week 14,26.69,26.69,FALSE
hairfollicle21-e3-w14,Hair follicle,Week 14,21.42,21.42,FALSE
hairfollicle21-e4-w14,Hair follicle,Week 14,21.25,21.25,FALSE
hairfollicle21-f1-w14,Hair follicle,Week 14,21.59,21.59,FALSE
