SYMBOL,plot_panel,detection_class,n
CT010467.1,Tracked early observations,Later HF only,9
CT010467.1,Tracked early observations,Skin only,11
CT010467.1,Tracked early observations,Later HF and Skin,6
Flg2,Tracked early observations,Later HF only,11
Flg2,Tracked early observations,Skin only,2
Flg2,Tracked early observations,Later HF and Skin,0
Sfi1,Tracked early observations,Later HF only,4
Sfi1,Tracked early observations,Skin only,3
Sfi1,Tracked early observations,Later HF and Skin,0
Cdk8,Tracked early observations,Later HF only,3
Cdk8,Tracked early observations,Skin only,1
Cdk8,Tracked early observations,Later HF and Skin,0
Eif4enif1,Tracked early observations,Later HF only,1
Eif4enif1,Tracked early observations,Skin only,1
Eif4enif1,Tracked early observations,Later HF and Skin,1
Gm11668,Tracked early observations,Later HF only,3
Gm11668,Tracked early observations,Skin only,0
Gm11668,Tracked early observations,Later HF and Skin,0
Morc1,Tracked early observations,Later HF only,0
Morc1,Tracked early observations,Skin only,3
Morc1,Tracked early observations,Later HF and Skin,0
Filip1l,Tracked early observations,Later HF only,2
Filip1l,Tracked early observations,Skin only,0
Filip1l,Tracked early observations,Later HF and Skin,0
H2bc14,Tracked early observations,Later HF only,2
H2bc14,Tracked early observations,Skin only,0
H2bc14,Tracked early observations,Later HF and Skin,0
Nf1,Tracked early observations,Later HF only,2
Nf1,Tracked early observations,Skin only,0
Nf1,Tracked early observations,Later HF and Skin,0
Gm24490,Tracked early observations,Later HF only,0
Gm24490,Tracked early observations,Skin only,2
Gm24490,Tracked early observations,Later HF and Skin,0
Cacna2d3,Tracked early observations,Later HF only,0
Cacna2d3,Tracked early observations,Skin only,1
Cacna2d3,Tracked early observations,Later HF and Skin,0
Crebbp,Tracked early observations,Later HF only,1
Crebbp,Tracked early observations,Skin only,0
Crebbp,Tracked early observations,Later HF and Skin,0
Fbn2,Tracked early observations,Later HF only,1
Fbn2,Tracked early observations,Skin only,0
Fbn2,Tracked early observations,Later HF and Skin,0
Gm10722,Tracked early observations,Later HF only,0
Gm10722,Tracked early observations,Skin only,1
Gm10722,Tracked early observations,Later HF and Skin,0
Gm10800,Tracked early observations,Later HF only,0
Gm10800,Tracked early observations,Skin only,1
Gm10800,Tracked early observations,Later HF and Skin,0
Gm11596,Tracked early observations,Later HF only,1
Gm11596,Tracked early observations,Skin only,0
Gm11596,Tracked early observations,Later HF and Skin,0
Gm18604,Tracked early observations,Later HF only,1
Gm18604,Tracked early observations,Skin only,0
Gm18604,Tracked early observations,Later HF and Skin,0
Gm31983,Tracked early observations,Later HF only,0
Gm31983,Tracked early observations,Skin only,1
Gm31983,Tracked early observations,Later HF and Skin,0
Kdm6a,Tracked early observations,Later HF only,1
Kdm6a,Tracked early observations,Skin only,0
Kdm6a,Tracked early observations,Later HF and Skin,0
Kmt2d,Tracked early observations,Later HF only,1
Kmt2d,Tracked early observations,Skin only,0
Kmt2d,Tracked early observations,Later HF and Skin,0
Myh9,Tracked early observations,Later HF only,1
Myh9,Tracked early observations,Skin only,0
Myh9,Tracked early observations,Later HF and Skin,0
Ntng1,Tracked early observations,Later HF only,1
Ntng1,Tracked early observations,Skin only,0
Ntng1,Tracked early observations,Later HF and Skin,0
Pten,Tracked early observations,Later HF only,1
Pten,Tracked early observations,Skin only,0
Pten,Tracked early observations,Later HF and Skin,0
Ptprt,Tracked early observations,Later HF only,1
Ptprt,Tracked early observations,Skin only,0
Ptprt,Tracked early observations,Later HF and Skin,0
Setd2,Tracked early observations,Later HF only,1
Setd2,Tracked early observations,Skin only,0
Setd2,Tracked early observations,Later HF and Skin,0
Spon1,Tracked early observations,Later HF only,0
Spon1,Tracked early observations,Skin only,1
Spon1,Tracked early observations,Later HF and Skin,0
Ttll11,Tracked early observations,Later HF only,0
Ttll11,Tracked early observations,Skin only,1
Ttll11,Tracked early observations,Later HF and Skin,0
