SYMBOL,n_early_observations,n_mutations,n_regions,n_early_samples,later_hf_only,skin_only,later_hf_and_skin,n_later_hf_observations,n_skin_observations,detected_later_hf,detected_later_skin
CT010467.1,26,7,10,13,9,11,6,15,17,TRUE,TRUE
Flg2,13,13,6,7,11,2,0,11,2,TRUE,TRUE
Sfi1,7,5,5,6,4,3,0,4,3,TRUE,TRUE
Cdk8,4,2,4,4,3,1,0,3,1,TRUE,TRUE
Eif4enif1,3,1,2,3,1,1,1,2,2,TRUE,TRUE
Gm11668,3,1,2,3,3,0,0,3,0,TRUE,FALSE
Morc1,3,1,3,3,0,3,0,0,3,FALSE,TRUE
Filip1l,2,2,1,1,2,0,0,2,0,TRUE,FALSE
H2bc14,2,2,1,1,2,0,0,2,0,TRUE,FALSE
Nf1,2,2,1,1,2,0,0,2,0,TRUE,FALSE
Gm24490,2,1,2,2,0,2,0,0,2,FALSE,TRUE
Cacna2d3,1,1,1,1,0,1,0,0,1,FALSE,TRUE
Crebbp,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Fbn2,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Gm10722,1,1,1,1,0,1,0,0,1,FALSE,TRUE
Gm10800,1,1,1,1,0,1,0,0,1,FALSE,TRUE
Gm11596,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Gm18604,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Gm31983,1,1,1,1,0,1,0,0,1,FALSE,TRUE
Kdm6a,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Kmt2d,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Myh9,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Ntng1,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Pten,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Ptprt,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Setd2,1,1,1,1,1,0,0,1,0,TRUE,FALSE
Spon1,1,1,1,1,0,1,0,0,1,FALSE,TRUE
Ttll11,1,1,1,1,0,1,0,0,1,FALSE,TRUE
