sample_name,plot_timepoint,time_num,n_shared_skin,other_shared_mutations,total_mutations,shared_skin_pct,callable_mbp,coverage,log_coverage
hairfollicle21-b6-w8,Week 8,8,12,248,260,0.046153846153846156,4.040815,63.6,4.152613470346076
hairfollicle21-b7-w8,Week 8,8,3,293,296,0.010135135135135136,1.600011,31.37,3.445852022202587
hairfollicle21-c6-w8,Week 8,8,9,186,195,0.046153846153846156,4.250127,60.44,4.101651137404539
hairfollicle21-c7-w8,Week 8,8,8,301,309,0.025889967637540454,2.556339,39.34,3.672241812960913
hairfollicle21-d2-w8,Week 8,8,8,195,203,0.03940886699507389,3.856618,56.96,4.04234926710372
hairfollicle21-e2-w8,Week 8,8,14,75,89,0.15730337078651685,4.144713,62.9,4.141546163706395
hairfollicle21-e3-w8,Week 8,8,5,74,79,0.06329113924050633,3.061262,44.83,3.802877558167348
hairfollicle21-e4-w8,Week 8,8,5,62,67,0.07462686567164178,2.535779,42.71,3.754433084853375
hairfollicle21-f1-w8,Week 8,8,12,492,504,0.023809523809523808,5.118998,71.72,4.272769648736932
hairfollicle21-f3-w8,Week 8,8,5,46,51,0.09803921568627451,2.421663,40.47,3.7005609588877744
hairfollicle21-f4-w8,Week 8,8,1,67,68,0.014705882352941176,1.019368,23.38,3.1518809560439225
hairfollicle21-b6-w14,Week 14,14,8,394,402,0.01990049751243781,2.707874,39.65,3.680090948080857
hairfollicle21-b7-w14,Week 14,14,0,11,11,0,0.317452,6.23,1.8293763327993617
hairfollicle21-c6-w14,Week 14,14,21,177,198,0.10606060606060606,39.016084,287.54,5.661361980994447
hairfollicle21-c7-w14,Week 14,14,0,35,35,0,0.25324,35.5,3.56953269648137
hairfollicle21-e1-w14,Week 14,14,15,95,110,0.13636363636363635,6.83134,202.72,5.311825716572829
hairfollicle21-e2-w14,Week 14,14,23,254,277,0.08303249097472924,8.678968,122.58,4.808763878057586
hairfollicle21-e3-w14,Week 14,14,12,464,476,0.025210084033613446,6.401981,108.63,4.68794761244566
hairfollicle21-e4-w14,Week 14,14,24,125,149,0.1610738255033557,13.537542,302.55,5.71224655306833
hairfollicle21-f1-w14,Week 14,14,23,122,145,0.15862068965517243,8.368855,272.73,5.608482294801877
hairfollicle21-b6-w17,Week 17,17,9,41,50,0.18,2.239444,57.82,4.0573347365882
hairfollicle21-b7-w17,Week 17,17,0,2,2,0,0.726865,22.2,3.100092288878234
hairfollicle21-c6-w17,Week 17,17,3,26,29,0.10344827586206896,0.720408,28.88,3.3631493140246254
hairfollicle21-c7-w17,Week 17,17,1,6,7,0.14285714285714285,0.743068,21.2,3.054001181677967
hairfollicle21-d1-w17,Week 17,17,28,86,114,0.24561403508771928,6.552297,2106.89,7.652968205512076
hairfollicle21-d2-w17,Week 17,17,2,40,42,0.047619047619047616,1.773555,37.92,3.6354786773868213
hairfollicle21-d5-w17,Week 17,17,4,20,24,0.16666666666666666,0.732307,32.14,3.4701013603093664
hairfollicle21-d6-w17,Week 17,17,11,105,116,0.09482758620689655,6.714743,196.19,5.279083577432737
hairfollicle21-e1-w17,Week 17,17,7,65,72,0.09722222222222222,1.976902,29.66,3.389799336709786
hairfollicle21-e2-w17,Week 17,17,0,1,1,0,0.09647,3.87,1.3532545070416904
hairfollicle21-e3-w17,Week 17,17,4,39,43,0.09302325581395349,1.726768,42.16,3.741471904233107
hairfollicle21-e4-w17,Week 17,17,2,21,23,0.08695652173913043,1.130164,47.62,3.8632528410587166
hairfollicle21-f3-w17,Week 17,17,3,34,37,0.08108108108108109,1.892017,54.23,3.993234260852969
hairfollicle21-f4-w17,Week 17,17,18,102,120,0.15,7.08742,261.67,5.567084167886663
hairfollicle21-g3-w17,Week 17,17,11,72,83,0.13253012048192772,5.249178,95.72,4.561427263040173
hairfollicle21-g4-w17,Week 17,17,4,47,51,0.0784313725490196,1.049966,36.53,3.5981338408071912
