dataset,sample_name,tissue,grid,time,treatment,category,mouse,ot_callable_mbp,callable_mbp,coverage,reads,grid_x,grid_y,seq_cycle,last_cycle,n_nonsynonymous_mutations,n_all_mutations,n_mutated_candidate_genes,mutated_candidate_genes,sample_uid,n_candidate_genes_considered,candidate_genes_considered,n_tes_targeted_candidate_genes,tes_targeted_candidate_genes,nonsynonymous_mutations_per_mbp,all_mutations_per_mbp,candidate_gene_count_definition,candidate_profiling_caveat,burden_vaf_definition
TES,hairfollicle19-a3-w19,Hair follicle,a3,Week 19,Acetone,Acetone,19,1.890908,4.172357,79.82,4013120,3,1,NA,NA,6,62,1,Pard3,TES::hairfollicle19-a3-w19,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,1.438036102855053,14.85970639616888,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle19-a4-w19,Hair follicle,a4,Week 19,Acetone,Acetone,19,1.895195,4.992503,114.59,5475959,4,1,NA,NA,10,526,0,,TES::hairfollicle19-a4-w19,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,2.003003303152747,105.3579737458345,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle19-b3-w19,Hair follicle,b3,Week 19,Acetone,Acetone,19,1.89681,5.944238,190.4,6444340,3,2,NA,NA,1,59,0,,TES::hairfollicle19-b3-w19,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,0.16823014152528884,9.925578349992042,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle19-b4-w19,Hair follicle,b4,Week 19,Acetone,Acetone,19,0.818756,1.43302,45.31,4154116,4,2,NA,NA,1,34,0,,TES::hairfollicle19-b4-w19,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,0.697826966825306,23.726116872060405,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b5-w17,Hair follicle,b5,Week 17,DT,Visually normal,21,0.636711,1.260974,41.11,3053212,5,2,NA,NA,13,57,1,Lrp1b,TES::hairfollicle21-b5-w17,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,10.309490917338502,45.203152483714966,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b5-w8,Hair follicle,b5,Week 8,DT,Visually normal,21,1.625747,4.48535,61.02,7502685,5,2,NA,NA,28,175,2,Erbb2;Ptch1,TES::hairfollicle21-b5-w8,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,6.2425451748470016,39.01590734279376,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b6-w14,Hair follicle,b6,Week 14,DT,SCC,21,0.93404,2.707874,39.65,13556203,6,2,NA,NA,54,402,1,Erbb2,TES::hairfollicle21-b6-w14,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,19.941843675148846,148.4559473594414,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b6-w17,Hair follicle,b6,Week 17,DT,SCC,21,1.344942,2.239444,57.82,4869287,6,2,NA,NA,10,50,0,,TES::hairfollicle21-b6-w17,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,4.46539408888992,22.326970444449604,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b6-w8,Hair follicle,b6,Week 8,DT,SCC,21,1.556796,4.040815,63.6,4941353,6,2,NA,NA,24,260,0,,TES::hairfollicle21-b6-w8,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,5.93939588919562,64.34345546628587,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
TES,hairfollicle21-b7-w14,Hair follicle,b7,Week 14,DT,SCC,21,0.090453,0.317452,6.23,2634185,7,2,NA,NA,1,11,0,,TES::hairfollicle21-b7-w14,30,Aatk;Arid2;Bmper;Cep170b;Cldn18;Csmd2;Dennd1c;Erbb2;Ezh1;Folh1;Foxp4;Huwe1;Kndc1;Lrp1b;Ophn1;Otog;Pard3;Pkp4;Plce1;Ppp1r14d;Psme4;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,8,Arid2;Csmd2;Erbb2;Huwe1;Lrp1b;Pard3;Psme4;Ptch1,3.1500825321623425,34.65090785378577,Distinct genes among all 30 final candidates with at least one configured nonsynonymous mutation observed in the mutation table,TES uniformly targets only 8/30 candidates; TES zero counts do not establish wild-type status across all 30 genes,TES and WES mutation burdens require gt_AF >= 0.01
