endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family
sample_type_pooled,Foxp4,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,32,3,9.375,0.679347826086957,1.0855947039009592,0.18032081598024752,4.5971222980223905,1.192090395480226,0.2534936386241877,0.9999999999999999,1,1
sample_type_pooled,Kndc1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,32,19,59.375,47.201086956521735,10.300221037244205,3.9075704776588247,28.575275098149188,10.11111111111111,3.3378696387563838,1.733016176163695e-7,5.199048528491085e-6,1.4903939115007777e-5
sample_type_explicit,Foxp4,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,6,18.75,32,3,9.375,-9.375,0.4538339508080508,0.0666557995114181,2.3864657867537153,0.48370273794002605,-1.0478073908821302,0.47412292888375435,0.8462510687335043,0.8514999379239848
sample_type_explicit,Kndc1,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,7,21.875,32,19,59.375,37.5,5.0738173977834355,1.5544305083179089,18.352102525640024,4.911111111111111,2.296049463061757,0.004662121574343866,0.06760076282798605,0.04454916171039694
sample_type_hgsc,Foxp4,Primary / metastatic,Within-study sensitivity,Primary vs metastatic (HGSC),3,SAMPLE_TYPE,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,6,18.75,7,0,0,-18.75,0,0,4.062446157312966,0.2717948717948718,-1.8794098591864117,0.5679451778522986,1,0.8558974070808688
sample_type_hgsc,Kndc1,Primary / metastatic,Within-study sensitivity,Primary vs metastatic (HGSC),3,SAMPLE_TYPE,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,7,21.875,7,3,42.857142857142854,20.982142857142854,2.6013081455367337,0.30807799225258553,19.869485589736144,2.6444444444444444,1.4029646669782687,0.3437217121427647,1,0.7390016811069441
hgsc_t_stage,Foxp4,Disease aggressiveness,Within-study,HGSC T stage,4,T_STAGE,T1/T2,T3/T4,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,20,1,5,7,3,42.857142857142854,37.857142857142854,12.393262983303726,0.7809400069308023,780.8231488182747,10.11111111111111,3.3378696387563838,0.041880341880341856,0.565384615384615,1
hgsc_t_stage,Kndc1,Disease aggressiveness,Within-study,HGSC T stage,4,T_STAGE,T1/T2,T3/T4,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,20,2,10,7,4,57.142857142857146,47.142857142857146,10.489405678413732,1.018041644091543,168.39825149284493,9.514285714285714,3.2500953501262955,0.023907976081889118,0.565384615384615,1
hgsc_n_stage,Foxp4,Disease aggressiveness,Within-study,HGSC N stage,5,N_STAGE,N0,N1,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,34,6,17.647058823529413,5,0,0,-17.647058823529413,0,0,6.605887230278328,0.3986013986013986,-1.3269813226136478,0.5735700998858895,0.9205125188504688,1
hgsc_n_stage,Kndc1,Disease aggressiveness,Within-study,HGSC N stage,5,N_STAGE,N0,N1,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,34,8,23.529411764705884,5,2,40,16.470588235294116,2.118372148803287,0.15193615599304774,22.198139909719476,2.226890756302521,1.1550307861426181,0.5874822190611664,0.9205125188504688,1
