endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family,source_endpoint_id,excluded_study_id,included_study_ids
focused_all_cohorts,Foxp4,Focused primary / metastatic sensitivity,All cohorts,All cohorts,1,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,32,3,9.375,0.679347826086957,1.0855947039009592,0.18032081598024752,4.5971222980223905,1.192090395480226,0.2534936386241877,0.9999999999999999,0.9999999999999999,1,sample_type_pooled,NA,cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ucsf_2021;cscc_ranson_2022
focused_all_cohorts,Kndc1,Focused primary / metastatic sensitivity,All cohorts,All cohorts,1,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,32,19,59.375,47.201086956521735,10.300221037244205,3.9075704776588247,28.575275098149188,10.11111111111111,3.3378696387563838,1.733016176163695e-7,3.46603235232739e-7,8.087408822097243e-7,sample_type_pooled,NA,cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ucsf_2021;cscc_ranson_2022
focused_explicit_field,Foxp4,Focused primary / metastatic sensitivity,Explicit SAMPLE_TYPE field,Explicit SAMPLE_TYPE,2,SAMPLE_TYPE,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,6,18.75,32,3,9.375,-9.375,0.4538339508080508,0.0666557995114181,2.3864657867537153,0.48370273794002605,-1.0478073908821302,0.47412292888375435,0.47412292888375435,0.6637721004372561,sample_type_explicit,NA,cscc_hgsc_bcm_2014;cscc_ranson_2022
focused_explicit_field,Kndc1,Focused primary / metastatic sensitivity,Explicit SAMPLE_TYPE field,Explicit SAMPLE_TYPE,2,SAMPLE_TYPE,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,7,21.875,32,19,59.375,37.5,5.0738173977834355,1.5544305083179089,18.352102525640024,4.911111111111111,2.296049463061757,0.004662121574343866,0.009324243148687732,0.013053940408162823,sample_type_explicit,NA,cscc_hgsc_bcm_2014;cscc_ranson_2022
focused_hgsc_only,Foxp4,Focused primary / metastatic sensitivity,HGSC within-study,HGSC only,3,SAMPLE_TYPE,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,6,18.75,7,0,0,-18.75,0,0,4.062446157312966,0.2717948717948718,-1.8794098591864117,0.5679451778522986,0.5679451778522986,0.7228393172665618,sample_type_hgsc,NA,cscc_hgsc_bcm_2014
focused_hgsc_only,Kndc1,Focused primary / metastatic sensitivity,HGSC within-study,HGSC only,3,SAMPLE_TYPE,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,7,21.875,7,3,42.857142857142854,20.982142857142854,2.6013081455367337,0.30807799225258553,19.869485589736144,2.6444444444444444,1.4029646669782687,0.3437217121427647,0.5679451778522986,0.6110937792881815,sample_type_hgsc,NA,cscc_hgsc_bcm_2014
focused_leave_out_dfci,Foxp4,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except DFCI,4,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,32,3,9.375,0.679347826086957,1.0855947039009592,0.18032081598024752,4.5971222980223905,1.192090395480226,0.2534936386241877,0.9999999999999999,0.9999999999999999,1,sample_type_pooled,cscc_dfarber_2015,cscc_hgsc_bcm_2014;cscc_ucsf_2021;cscc_ranson_2022
focused_leave_out_dfci,Kndc1,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except DFCI,4,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,32,19,59.375,47.201086956521735,10.300221037244205,3.9075704776588247,28.575275098149188,10.11111111111111,3.3378696387563838,1.733016176163695e-7,3.46603235232739e-7,8.087408822097243e-7,sample_type_pooled,cscc_dfarber_2015,cscc_hgsc_bcm_2014;cscc_ucsf_2021;cscc_ranson_2022
focused_leave_out_hgsc,Foxp4,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except HGSC,5,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,83,4,4.819277108433735,25,3,12,7.180722891566265,2.663250052867461,0.36313419824161286,17.055335595890075,2.748148148148148,1.4584597795699723,0.3491964453075323,0.3491964453075323,0.6110937792881815,sample_type_pooled,cscc_hgsc_bcm_2014,cscc_dfarber_2015;cscc_ucsf_2021;cscc_ranson_2022
focused_leave_out_hgsc,Kndc1,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except HGSC,5,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,83,7,8.433734939759036,25,16,64,55.566265060240966,18.433749166059663,5.524492254956424,69.74272212557617,17.71578947368421,4.146963852999002,4.895787666648118e-8,9.791575333296236e-8,6.854102733307365e-7,sample_type_pooled,cscc_hgsc_bcm_2014,cscc_dfarber_2015;cscc_ucsf_2021;cscc_ranson_2022
focused_leave_out_ranson,Foxp4,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except Ranson,6,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,7,0,0,-8.695652173913043,0,0,8.471511949147967,0.6698412698412698,-0.5781088296800938,1,1,1,sample_type_pooled,cscc_ranson_2022,cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ucsf_2021
focused_leave_out_ranson,Kndc1,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except Ranson,6,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,7,3,42.857142857142854,30.683229813664592,5.293319400565672,0.7027478165223341,35.015740154902254,5.444444444444445,2.4447848426728958,0.05571236091382318,0.11142472182764636,0.12999550879892077,sample_type_pooled,cscc_ranson_2022,cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ucsf_2021
focused_leave_out_ucsf,Foxp4,Focused primary / metastatic sensitivity,Leave-one-cohort-out,All except UCSF,7,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,6,18.75,32,3,9.375,-9.375,0.4538339508080508,0.0666557995114181,2.3864657867537153,0.48370273794002605,-1.0478073908821302,0.47412292888375435,0.47412292888375435,0.6637721004372561,sample_type_pooled,cscc_ucsf_2021,cscc_dfarber_2015;cscc_hgsc_bcm_2014;cscc_ranson_2022
