analysis_scope,analysis_scope_order,endpoint_group,candidate_status,n_samples,tmb_min,tmb_q25,tmb_median,tmb_q75,tmb_max
Pooled,1,Disease free,No candidate mutation,10,1.86666666667,8.418045129002499,17.61728075475,21.751948687000002,84.13150401239999
Pooled,1,Disease free,Candidate-mutated,31,6,36.42681709665,54.6495239739,75.86216814795002,244.4
Pooled,1,Recurred / progressed,No candidate mutation,4,6.471654154800001,19.954266977325,28.403371012749997,34.155952483674994,39.5489976127
Pooled,1,Recurred / progressed,Candidate-mutated,21,6.733333333330001,21.572180516,40.268070296500014,86.03333333329999,236.666666667
DFCI only,2,Disease free,No candidate mutation,7,7.190726838669999,17.61728075475,20.134035148300004,23.7293985676,84.13150401239999
DFCI only,2,Disease free,Candidate-mutated,11,14.381453677300001,37.032243219099996,56.8067420255,70.8286593609,164.66764460599998
DFCI only,2,Recurred / progressed,No candidate mutation,4,6.471654154800001,19.954266977325,28.403371012749997,34.155952483674994,39.5489976127
DFCI only,2,Recurred / progressed,Candidate-mutated,7,15.819599045100002,24.8080075934,30.9201254063,60.40210544480001,135.18566456699998
HGSC only,3,Disease free,No candidate mutation,3,1.86666666667,2.96666666667,4.06666666667,8.083333333335,12.1
HGSC only,3,Disease free,Candidate-mutated,20,6,35.533333333325,50.16666666665,80.34166666664999,244.4
HGSC only,3,Recurred / progressed,Candidate-mutated,14,6.733333333330001,23.075000000025,53.45,99.73333333332499,236.666666667
