endpoint_id,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,test_status,n_reference,reference_median_burden,reference_q25_burden,reference_q75_burden,n_case,case_median_burden,case_q25_burden,case_q75_burden,median_burden_difference,p_value,q_value_analysis_family
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,tested,115,0.13333333333333333,0.03333333333333333,0.2,61,0.2,0.16666666666666666,0.4,0.06666666666666668,2.9783939701761757e-5,8.935181910528527e-5
sample_type_explicit,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,tested,32,0.18333333333333335,0.13333333333333333,0.275,32,0.26666666666666666,0.2,0.36666666666666664,0.08333333333333331,0.012378009658827165,0.018567014488240746
sample_type_hgsc,Primary / metastatic,Within-study sensitivity,Primary vs metastatic (HGSC),3,SAMPLE_TYPE,Primary,Metastasis,tested,32,0.18333333333333335,0.13333333333333333,0.275,7,0.2,0.18333333333333335,0.23333333333333334,0.016666666666666663,0.7825708491917702,0.7825708491917702
hgsc_t_stage,Disease aggressiveness,Within-study,HGSC T stage,4,T_STAGE,T1/T2,T3/T4,tested,20,0.18333333333333335,0.03333333333333333,0.275,7,0.16666666666666666,0.13333333333333333,0.21666666666666667,-0.01666666666666669,0.9114160728143381,1
hgsc_n_stage,Disease aggressiveness,Within-study,HGSC N stage,5,N_STAGE,N0,N1,tested,34,0.2,0.13333333333333333,0.25833333333333336,5,0.23333333333333334,0.1,0.26666666666666666,0.033333333333333326,1,1
hgsc_m_stage,Disease aggressiveness,Within-study,HGSC M stage,6,M_STAGE,M0,M1,tested,32,0.18333333333333335,0.13333333333333333,0.275,7,0.2,0.18333333333333335,0.23333333333333334,0.016666666666666663,0.7825708491917702,1
hgsc_recurrence_persistence,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,tested,23,0.16666666666666666,0.13333333333333333,0.23333333333333334,14,0.21666666666666667,0.14166666666666666,0.26666666666666666,0.05000000000000002,0.3533676095363274,0.6360616971653893
hgsc_efs_status,Disease aggressiveness,Within-study,HGSC event-free status,8,EFS_STATUS,Censored,Event,tested,11,0.16666666666666666,0.15,0.2,21,0.23333333333333334,0.16666666666666666,0.3,0.06666666666666668,0.09002535502348041,0.6360616971653893
ranson_nodal_stage,Disease aggressiveness,Within-study,Ranson nodal stage,9,NODAL_STAGE,N1/N2,N3,tested,6,0.21666666666666667,0.2,0.2833333333333333,19,0.3,0.23333333333333334,0.5,0.08333333333333331,0.17878758094369135,0.6360616971653893
ranson_grade,Disease aggressiveness,Within-study,Ranson grade,10,GRADE,Grade 1/2,Grade 3,tested,6,0.21666666666666667,0.175,0.2833333333333333,15,0.36666666666666664,0.21666666666666667,0.4166666666666667,0.14999999999999997,0.32860015781965823,0.6360616971653893
ranson_extracapsular_spread,Disease aggressiveness,Within-study,Ranson extracapsular spread,11,EXTRACAPSULAR_SPREAD,No,Yes,tested,5,0.2,0.2,0.3,18,0.3333333333333333,0.23333333333333334,0.5333333333333333,0.1333333333333333,0.24573834259226077,0.6360616971653893
dfci_dfs_status,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,tested,18,0.2,0,0.35000000000000003,11,0.2,0,0.4,0,0.9811777999047898,1
recurrence_pooled,Recurrence / progression,Pooled study-adjusted primary analysis,Disease-free vs recurrent / progressed (DFCI + HGSC),13,DFS_STATUS or DISEASE_RECURRENCE_OR_PERSISTENCE,Disease free,Recurred / progressed,tested,41,0.2,0.03333333333333333,0.23333333333333334,25,0.2,0.1,0.3,0,0.44230712262109223,0.44230712262109223
