gene_symbol,gene_label,candidate_group,matched_human_symbols,incidence_pct,max_incidence_pct,n_matched_human_symbols,candidate_group_plot
Aatk,Aatk / AATK,Initiation (I),AATK,11.6,11.6,1,Initiation (I)
Arid2,Arid2 / ARID2,I+P,ARID2,26.1,26.1,1,I+P
Bmper,Bmper / BMPER,Initiation (I),BMPER,14.3,14.3,1,Initiation (I)
Cep170b,Cep170b / CEP170B,Initiation (I),CEP170B,16.3,16.3,1,Initiation (I)
Cldn18,Cldn18 / CLDN18,Initiation (I),CLDN18,6.1,6.1,1,Initiation (I)
Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,45.6,45.6,1,Predisposition (P)
Dennd1c,Dennd1c / DENND1C,Initiation (I),DENND1C,9.5,9.5,1,Initiation (I)
Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,11.9,11.9,1,Predisposition (P)
Ezh1,Ezh1 / EZH1,Initiation (I),EZH1,16.3,16.3,1,Initiation (I)
Folh1,Folh1 / FOLH1,Initiation (I),FOLH1,15.6,15.6,1,Initiation (I)
Foxp4,Foxp4 / FOXP4,Initiation (I),FOXP4,8.8,8.8,1,Initiation (I)
Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,27.9,27.9,1,Predisposition (P)
Kndc1,Kndc1 / KNDC1,Initiation (I),KNDC1,22.4,22.4,1,Initiation (I)
Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,60.8,60.8,1,Predisposition (P)
Ophn1,Ophn1 / OPHN1,Initiation (I),OPHN1,2.7,2.7,1,Initiation (I)
Otog,Otog / OTOG,Initiation (I),OTOG,19.7,19.7,1,Initiation (I)
Pard3,Pard3 / PARD3,Predisposition,PARD3,24.5,24.5,1,Predisposition (P)
Pkp4,Pkp4 / PKP4,Initiation (I),PKP4,15,15,1,Initiation (I)
Plce1,Plce1 / PLCE1,Initiation (I),PLCE1,39.5,39.5,1,Initiation (I)
Ppp1r14d,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,4.1,4.1,1,Initiation (I)
Psme4,Psme4 / PSME4,Predisposition,PSME4,11.6,11.6,1,Predisposition (P)
Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,19.9,19.9,1,Predisposition (P)
Rad51b,Rad51b / RAD51B,Initiation (I),RAD51B,10.2,10.2,1,Initiation (I)
Rasd2,Rasd2 / RASD2,Initiation (I),RASD2,6.1,6.1,1,Initiation (I)
Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,4.1,4.1,1,Initiation (I)
Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,12.2,12.2,1,Initiation (I)
Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,13.6,13.6,1,Initiation (I)
Ube2d2a,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,0.7,0.7,1,Initiation (I)
Usp3,Usp3 / USP3,Initiation (I),USP3,3.4,3.4,1,Initiation (I)
Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,41.5,41.5,1,Initiation (I)
