gene_symbol,gene_label,candidate_group,matched_human_symbols,incidence_pct,max_incidence_pct,n_matched_human_symbols,candidate_group_plot,incidence_empirical_p_upper,incidence_empirical_p_lower,incidence_empirical_p_two_sided,incidence_neg_log10_empirical_p,n_universe_genes,incidence_empirical_rank
Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,60.8,60.8,1,Predisposition (P),3.240090722540231e-4,0.9997839939518306,6.480181445080463e-4,3.489442829377648,18517,1
Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,45.6,45.6,1,Predisposition (P),0.0022140619937358248,0.9980019440544335,0.0044281239874716495,2.6548102230415562,18517,2
Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,41.5,41.5,1,Initiation (I),0.003510098282751917,0.9968679123015445,0.007020196565503834,2.454680723118436,18517,3
Plce1,Plce1 / PLCE1,Initiation (I),PLCE1,39.5,39.5,1,Initiation (I),0.0044281239874716495,0.9961118911329517,0.008856247974943299,2.353780227377575,18517,4
Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,27.9,27.9,1,Predisposition (P),0.01857652014256399,0.9829895237066638,0.03715304028512798,1.7310356371897615,18517,5
Arid2,Arid2 / ARID2,I+P,ARID2,26.1,26.1,1,I+P,0.022194621449400584,0.9780213845987688,0.04438924289880117,1.6537522578852224,18517,6
Pard3,Pard3 / PARD3,Predisposition,PARD3,24.5,24.5,1,Predisposition (P),0.02764877416567664,0.9741872772437629,0.05529754833135328,1.5583241187854608,18517,7
Kndc1,Kndc1 / KNDC1,Initiation (I),KNDC1,22.4,22.4,1,Initiation (I),0.036181013068365915,0.9667890700939626,0.07236202613673183,1.4415192770604652,18517,8
Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,19.9,19.9,1,Predisposition (P),0.04708931850091803,0.9532886920833783,0.09417863700183605,1.3270775948287243,18517,9
Otog,Otog / OTOG,Initiation (I),OTOG,19.7,19.7,1,Initiation (I),0.05151744248838967,0.9529646830111244,0.10303488497677935,1.2880457050571965,18517,10
Cep170b,Cep170b / CEP170B,Initiation (I),CEP170B,16.3,16.3,1,Initiation (I),0.08391834971379199,0.9234258559239659,0.16783669942758397,1.0761430652963961,18517,11
Ezh1,Ezh1 / EZH1,Initiation (I),EZH1,16.3,16.3,1,Initiation (I),0.08391834971379199,0.9234258559239659,0.16783669942758397,1.0761430652963961,18517,12
Folh1,Folh1 / FOLH1,Initiation (I),FOLH1,15.6,15.6,1,Initiation (I),0.09191057349605788,0.915919645750081,0.18382114699211577,1.0366345240127226,18517,13
Pkp4,Pkp4 / PKP4,Initiation (I),PKP4,15,15,1,Initiation (I),0.10184685171184793,0.9079274219678151,0.20369370342369586,0.992052391359982,18517,14
Bmper,Bmper / BMPER,Initiation (I),BMPER,14.3,14.3,1,Initiation (I),0.1125391510962307,0.897829139215898,0.2250783021924614,0.9486963651338047,18517,15
Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,13.6,13.6,1,Initiation (I),0.1251755049141376,0.8872448428555999,0.2503510098282752,0.9024806481337144,18517,16
Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,12.2,12.2,1,Initiation (I),0.15433632141699968,0.8602440868344313,0.30867264283399937,0.8115318553063402,18517,17
Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,11.9,11.9,1,Predisposition (P),0.15498433956150773,0.8457176800950427,0.30996867912301546,0.8097121830272993,18517,18
Aatk,Aatk / AATK,Initiation (I),AATK,11.6,11.6,1,Initiation (I),0.17215682039097094,0.8450696619505346,0.3443136407819419,0.7640757670372169,18517,19
Psme4,Psme4 / PSME4,Predisposition,PSME4,11.6,11.6,1,Predisposition (P),0.17215682039097094,0.8450696619505346,0.3443136407819419,0.7640757670372169,18517,20
Rad51b,Rad51b / RAD51B,Initiation (I),RAD51B,10.2,10.2,1,Initiation (I),0.2201641645966087,0.8040825143104007,0.4403283291932174,0.6572533683091348,18517,21
Dennd1c,Dennd1c / DENND1C,Initiation (I),DENND1C,9.5,9.5,1,Initiation (I),0.24635489793714224,0.7790798142347986,0.4927097958742845,0.6084387988206619,18517,22
Foxp4,Foxp4 / FOXP4,Initiation (I),FOXP4,8.8,8.8,1,Initiation (I),0.2779457824819095,0.7528350793822227,0.555891564963819,0.5560399115111221,18517,23
Cldn18,Cldn18 / CLDN18,Initiation (I),CLDN18,6.1,6.1,1,Initiation (I),0.438492277783778,0.6090290528134787,0.876984555567556,0.3580380505201163,18517,24
Rasd2,Rasd2 / RASD2,Initiation (I),RASD2,6.1,6.1,1,Initiation (I),0.438492277783778,0.6090290528134787,0.876984555567556,0.3580380505201163,18517,25
Ppp1r14d,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,4.1,4.1,1,Initiation (I),0.6164812614753213,0.44913057565611836,0.8982611513122367,0.21008011965470103,18517,26
Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,4.1,4.1,1,Initiation (I),0.6164812614753213,0.44913057565611836,0.8982611513122367,0.21008011965470103,18517,27
