gene_symbol,analysis_family,analysis_scope,endpoint_id,endpoint_label,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,n_reference_profiled,n_reference_mutated,n_case_profiled,n_case_mutated,n_informative_studies,informative_studies,test_method,study_adjustment,test_status,common_odds_ratio,common_odds_ratio_conf_low,common_odds_ratio_conf_high,corrected_common_odds_ratio,corrected_log2_common_odds_ratio,p_value,q_value,association_direction,candidate_group_plot
Lrp1b,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Lrp1b / LRP1B,Predisposition,LRP1B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,26,25,20,2,cscc_dfarber_2015;cscc_hgsc_bcm_2014,Cochran-Mantel-Haenszel test stratified by study; continuity correction disabled,Study-stratified CMH,tested,2.8716216216216215,0.7506521542800174,10.985395420165128,2.433175355450237,1.282840296980871,0.12363014392555513,0.9366653418123999,Not significant,Predisposition (P)
Kndc1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,4,14,6,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,3.430254994154578,0.6195335611377125,21.597950138657644,3.3137254901960786,1.7284540943106887,0.1322342348237133,0.9366653418123999,Not significant,Initiation (I)
Rasd2,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Rasd2 / RASD2,Initiation (I),RASD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,0,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,Inf,0.31621262475601425,Inf,9.399999999999999,3.232660756790275,0.13663663663663658,0.9366653418123999,Not significant,Initiation (I)
Foxp4,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,2,14,4,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,4.026057109442828,0.48387712833305596,51.59607308064978,3.6857142857142855,1.8819442384782876,0.17345654478007405,0.9366653418123999,Not significant,Initiation (I)
Rad51b,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Rad51b / RAD51B,Initiation (I),RAD51B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,2,25,4,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,4.026057109442828,0.48387712833305596,51.59607308064978,3.236994219653179,1.6946547893082418,0.17345654478007405,0.9366653418123999,Not significant,Initiation (I)
Aatk,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Aatk / AATK,Initiation (I),AATK,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,6,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.22572960271154244,0.004410979536351119,2.2316835703154427,0.2991452991452992,-1.7410817026384378,0.2173209737251483,0.9779443817631673,Not significant,Initiation (I)
Arid2,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Arid2 / ARID2,I+P,ARID2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,11,25,4,2,cscc_dfarber_2015;cscc_hgsc_bcm_2014,Cochran-Mantel-Haenszel test stratified by study; continuity correction disabled,Study-stratified CMH,tested,0.5168539325842697,0.14416221172336607,1.8530375223462712,0.5843154532437492,-0.7751806505071767,0.31315133813434076,1,Not significant,I+P
Erbb2,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Erbb2 / ERBB2,Predisposition,ERBB2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,6,25,6,2,cscc_dfarber_2015;cscc_hgsc_bcm_2014,Cochran-Mantel-Haenszel test stratified by study; continuity correction disabled,Study-stratified CMH,tested,1.8356531049250535,0.5214560230260482,6.4619491823429716,1.7953144266337855,0.8442365359814233,0.3457839959814901,1,Not significant,Predisposition (P)
Pard3,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Pard3 / PARD3,Predisposition,PARD3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,6,14,6,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,2.080152388048931,0.4116204030159245,10.833800582646356,2.0588235294117645,1.0418201756946268,0.47011193618535124,1,Not significant,Predisposition (P)
Dennd1c,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Dennd1c / DENND1C,Initiation (I),DENND1C,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,1,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,3.533373718884865,0.16779446892716712,225.5808222159,3,1.584962500721156,0.544144144144144,1,Not significant,Initiation (I)
Ptch1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ptch1 / PTCH1,Predisposition,PTCH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,7,25,3,2,cscc_dfarber_2015;cscc_hgsc_bcm_2014,Cochran-Mantel-Haenszel test stratified by study; continuity correction disabled,Study-stratified CMH,tested,0.6731141199226307,0.16124354099665664,2.8099272419762364,0.7676056338028167,-0.38156279472775617,0.5828624214321118,1,Not significant,Predisposition (P)
Ppp1r14d,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,2,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.7224991097632256,0.111481025063107,26.660936255903906,1.72,0.7824085649273732,0.6245892951775303,1,Not significant,Initiation (I)
