endpoint_id,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,study_id,n_samples_total,n_samples_analysed,n_reference,n_case,n_excluded,excluded_raw_values,n_with_ajcc_staging_edition,availability_level
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,All included studies,176,176,115,61,0,,21,Endpoint
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,cscc_dfarber_2015,29,29,0,29,0,,0,Study
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,cscc_hgsc_bcm_2014,39,39,32,7,0,,21,Study
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,cscc_ranson_2022,25,25,0,25,0,,0,Study
sample_type_pooled,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,cscc_ucsf_2021,83,83,83,0,0,,0,Study
sample_type_explicit,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,All included studies,64,64,32,32,0,,21,Endpoint
sample_type_explicit,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,cscc_hgsc_bcm_2014,39,39,32,7,0,,21,Study
sample_type_explicit,Primary / metastatic,Explicit-field sensitivity,Primary vs metastatic (explicit field),2,SAMPLE_TYPE,Primary,Metastasis,cscc_ranson_2022,25,25,0,25,0,,0,Study
sample_type_hgsc,Primary / metastatic,Within-study sensitivity,Primary vs metastatic (HGSC),3,SAMPLE_TYPE,Primary,Metastasis,All included studies,39,39,32,7,0,,21,Endpoint
sample_type_hgsc,Primary / metastatic,Within-study sensitivity,Primary vs metastatic (HGSC),3,SAMPLE_TYPE,Primary,Metastasis,cscc_hgsc_bcm_2014,39,39,32,7,0,,21,Study
hgsc_t_stage,Disease aggressiveness,Within-study,HGSC T stage,4,T_STAGE,T1/T2,T3/T4,All included studies,39,27,20,7,12,pTx;rTx;Tx,21,Endpoint
