iteration,n_candidate_genes,median_incidence_pct
1,30,5.4
2,30,6.1
3,30,5.1
4,30,4.449999999999999
5,30,4.449999999999999
6,30,5.449999999999999
7,30,5.1
8,30,5.4
9,30,4.1
10,30,4.449999999999999
11,30,4.8
12,30,3.75
13,30,4.8
14,30,4.8
15,30,4.449999999999999
16,30,5.75
17,30,7.85
18,30,4.1
19,30,3.75
20,30,5.449999999999999
21,30,6.1
22,30,6.449999999999999
23,30,4.1
24,30,5.1
25,30,7.85
26,30,4.75
27,30,6.8
28,30,5.75
29,30,3.75
30,30,5.1
31,30,4.8
32,30,7.15
33,30,4.449999999999999
34,30,4.449999999999999
35,30,6.45
36,30,4.1
37,30,4.449999999999999
38,30,4.8
39,30,5.75
40,30,7.1499999999999995
41,30,6.8
42,30,5.75
43,30,5.75
44,30,4.1
45,30,5.4
46,30,4.8
47,30,5.1
48,30,4.449999999999999
49,30,6.1
50,30,5.75
51,30,5.75
52,30,4.75
53,30,4.449999999999999
54,30,5.4
55,30,5.1
56,30,6.8
57,30,5.4
58,30,4.8
59,30,6.8
60,30,3.4
61,30,6.1
62,30,4.1
63,30,5.4
64,30,5.1
65,30,4.1
66,30,4.1
67,30,5.75
68,30,5.1
69,30,3.4
70,30,6.449999999999999
71,30,5.4
72,30,5.449999999999999
73,30,4.8
74,30,6.25
75,30,6.8
76,30,4.1
77,30,4.1
78,30,6.1
79,30,5.4
80,30,5.75
81,30,3.75
82,30,4.449999999999999
83,30,3.4
84,30,4.8
85,30,4.1
86,30,4.8
87,30,5.4
88,30,4.8
89,30,6.1
90,30,4.1
91,30,3.75
92,30,6.449999999999999
93,30,5.449999999999999
94,30,5.75
95,30,5.75
96,30,4.8
97,30,4.1
98,30,4.65
99,30,4.1
100,30,6.449999999999999
101,30,4.1
102,30,4.75
103,30,4.1
104,30,4.8
105,30,5.4
106,30,4.449999999999999
107,30,6.1
108,30,6.8
109,30,6.1
110,30,4.75
111,30,4.8
112,30,4.449999999999999
113,30,3.75
114,30,4.8
115,30,6.8
116,30,3.75
117,30,3.05
118,30,3.75
119,30,6.1
120,30,6.449999999999999
121,30,3.75
122,30,6.1
123,30,4.449999999999999
124,30,4.8
125,30,4.1
126,30,5.4
127,30,5.75
128,30,8.2
129,30,5.1
130,30,5.1
131,30,7.5
132,30,4.1
133,30,5.449999999999999
134,30,6.1
135,30,4.449999999999999
136,30,5.1
137,30,6.8
138,30,4.8
139,30,4.75
140,30,4.1
141,30,5.4
142,30,5.1
143,30,5.1
144,30,5.1
145,30,7.15
146,30,4.1
147,30,4.8
148,30,4.449999999999999
149,30,6.1
150,30,4.75
151,30,3.75
152,30,5.75
153,30,4.449999999999999
154,30,4.8
155,30,5.8
156,30,6.1
157,30,5.75
158,30,4.8
159,30,5.1
160,30,4.8
161,30,6.449999999999999
162,30,4.449999999999999
163,30,5.1
164,30,4.449999999999999
165,30,4.8
166,30,6.1
167,30,3.4
168,30,3.4
169,30,4.8
170,30,5.4
171,30,6.1
172,30,5.4
173,30,6.1
174,30,4.449999999999999
175,30,4.65
176,30,5.1
177,30,3.4
178,30,4.95
179,30,5.75
180,30,5.1
181,30,4.8
182,30,3.4
183,30,4.75
184,30,3.4
185,30,6.1
186,30,4.8
187,30,5.449999999999999
188,30,6.1
189,30,5.75
190,30,7.15
191,30,4.8
192,30,4.1
193,30,7.5
194,30,4.1
195,30,5.75
196,30,2.7
197,30,3.4
198,30,6.45
199,30,4.8
200,30,4.1
201,30,4.449999999999999
202,30,4.8
203,30,4.8
204,30,5.4
205,30,6.449999999999999
206,30,4.1
207,30,3.4
208,30,7.5
209,30,4.449999999999999
210,30,5.449999999999999
211,30,4.1
212,30,5.1
213,30,4.449999999999999
214,30,6.1
215,30,3.4
216,30,4.1
217,30,7.15
218,30,4.8
219,30,5.75
220,30,4.8
221,30,6.8
222,30,4.8
223,30,4.449999999999999
224,30,5.75
225,30,5.25
226,30,6.1
227,30,5.4
228,30,4.8
229,30,4.1
230,30,4.1
231,30,4.949999999999999
232,30,4.449999999999999
233,30,7.5
234,30,4.8
235,30,4.449999999999999
236,30,5.1
237,30,6.449999999999999
238,30,4.8
239,30,2.7
240,30,4.8
241,30,5.4
242,30,4.8
243,30,4.1
244,30,4.8
245,30,6.1
246,30,5.75
247,30,5.75
248,30,5.1
249,30,5.1
250,30,5.75
251,30,6.1
252,30,4.8
253,30,4.8
254,30,4.449999999999999
255,30,6.1
256,30,5.75
257,30,6.1
258,30,5.550000000000001
259,30,8.15
260,30,5.1
261,30,6.8
262,30,4.949999999999999
263,30,5.1
264,30,4.8
265,30,4.8
266,30,6.1
267,30,4.8
268,30,5.4
269,30,3.4
270,30,5.75
271,30,5.1
272,30,4.449999999999999
273,30,5.75
274,30,4.8
275,30,4.8
276,30,4.449999999999999
277,30,4.1
278,30,4.8
279,30,5.4
280,30,6.1
281,30,7.5
282,30,3.75
283,30,6.449999999999999
284,30,4.449999999999999
285,30,4.8
286,30,5.1
287,30,3.75
288,30,5.75
289,30,7.15
290,30,5.4
291,30,4.449999999999999
292,30,7.45
293,30,5.4
294,30,5.1
295,30,5.1
296,30,4.8
297,30,4.8
298,30,4.1
299,30,5.1
300,30,5.4
301,30,5.75
302,30,4.449999999999999
303,30,4.1
304,30,5.1
305,30,5.4
306,30,5.4
307,30,5.1
308,30,6.1
309,30,4.1
310,30,6.1
311,30,4.1
312,30,6.1
313,30,5.4
314,30,5.4
315,30,4.8
316,30,5.75
317,30,4.1
318,30,7.85
319,30,4.8
320,30,6.449999999999999
321,30,5.75
322,30,5.1
323,30,5.1
324,30,3.4
325,30,5.75
326,30,3.4
327,30,6.1
328,30,4.8
329,30,4.449999999999999
330,30,7.85
331,30,6.1
332,30,6.449999999999999
333,30,4.449999999999999
334,30,3.75
335,30,5.1
336,30,6.8
337,30,4.8
338,30,3.75
339,30,4.1
340,30,4.449999999999999
341,30,5.75
342,30,6.1
343,30,4.449999999999999
344,30,4.1
345,30,4.75
346,30,4.449999999999999
347,30,7.1
348,30,5.1
349,30,5.4
350,30,4.1
351,30,5.4
352,30,6.8
353,30,5.1
354,30,5.1
355,30,6.8
356,30,5.449999999999999
357,30,6.449999999999999
358,30,6.1
359,30,4.1
360,30,4.449999999999999
361,30,5.4
362,30,5.4
363,30,6.1
364,30,6.1
365,30,4.1
366,30,6.1
367,30,5.4
368,30,4.65
369,30,3.4
370,30,4.449999999999999
371,30,6.449999999999999
372,30,7.1499999999999995
373,30,4.75
374,30,4.8
375,30,4.1
376,30,4.1
377,30,3.4
378,30,6.1
379,30,5.4
380,30,3.75
381,30,4.8
382,30,5.1
383,30,4.8
384,30,4.1
385,30,5.1
386,30,3.75
387,30,6.449999999999999
388,30,5.449999999999999
389,30,5.1
390,30,4.4
391,30,4.1
392,30,4.449999999999999
393,30,8.5
394,30,6.449999999999999
395,30,4.1
396,30,4.1
397,30,6.449999999999999
398,30,4.8
399,30,5.1
400,30,5.75
401,30,5.4
402,30,5.1
403,30,5.75
404,30,5.1
405,30,5.4
406,30,6.55
407,30,4.1
408,30,4.449999999999999
409,30,3.4
410,30,5.4
411,30,5.75
412,30,3.75
413,30,5.75
414,30,5.8
415,30,4.8
416,30,4.449999999999999
417,30,4.1
418,30,6.1
419,30,4.8
420,30,4.8
421,30,5.4
422,30,6.1
423,30,4.8
424,30,4.449999999999999
425,30,6.45
426,30,5.4
427,30,4.1
428,30,5.4
429,30,4.8
430,30,4.1
431,30,5.1
432,30,5.1
433,30,4.449999999999999
434,30,4.8
435,30,2.7
436,30,4.8
437,30,5.75
438,30,3.75
439,30,4.8
440,30,5.1
441,30,7.85
442,30,5.4
443,30,7.5
444,30,5.1
445,30,6.1
446,30,6.8
447,30,4.449999999999999
448,30,4.8
449,30,4.1
450,30,6.449999999999999
451,30,4.449999999999999
452,30,4.449999999999999
453,30,6.1
454,30,4.1
455,30,5.4
456,30,6.1
457,30,4.8
458,30,5.449999999999999
459,30,6.1
460,30,6.1
461,30,5.75
462,30,3.4
463,30,5.75
464,30,4.8
465,30,6.8
466,30,5.4
467,30,4.449999999999999
468,30,4.1
469,30,5.1
470,30,5.1
471,30,3.4
472,30,6.449999999999999
473,30,3.05
474,30,6.8
475,30,5.4
476,30,4.1
477,30,5.1
478,30,3.75
479,30,7.5
480,30,4.8
481,30,7.15
482,30,5.4
483,30,7.5
484,30,4.449999999999999
485,30,4.8
486,30,4.449999999999999
487,30,3.75
488,30,5.75
489,30,4.449999999999999
490,30,6.1
491,30,5.4
492,30,4.8
493,30,4.8
494,30,4.1
495,30,5.75
496,30,5.1
497,30,4.8
498,30,5.4
499,30,4.8
500,30,4.1
501,30,5.4
502,30,4.75
503,30,5.1
504,30,4.8
505,30,5.1
506,30,4.75
507,30,5.75
508,30,4.449999999999999
509,30,4.949999999999999
510,30,4.1
511,30,5.1
512,30,3.4
513,30,6.8
514,30,4.8
515,30,6.1
516,30,4.8
517,30,4.1
518,30,4.75
519,30,5.1
520,30,4.449999999999999
521,30,4.1
522,30,5.4
523,30,2.7
524,30,5.4
525,30,6.1
526,30,10.55
527,30,6.8
528,30,3.4
529,30,5.75
530,30,4.1
531,30,6.8
532,30,6.1
533,30,5.25
534,30,4.8
535,30,4.8
536,30,7.15
537,30,4.449999999999999
538,30,5.4
539,30,4.8
540,30,4.1
541,30,4.1
542,30,5.4
543,30,7.1499999999999995
544,30,4.8
545,30,5.1
546,30,4.449999999999999
547,30,4.1
548,30,3.75
549,30,6.1
550,30,5.75
551,30,5.1
552,30,5.1
553,30,6.449999999999999
554,30,3.75
555,30,6.1
556,30,5.4
557,30,4.8
558,30,4.1
559,30,5.4
560,30,5.4
561,30,6.1
562,30,4.449999999999999
563,30,5.4
564,30,4.8
565,30,4.8
566,30,4.8
567,30,3.05
568,30,4.449999999999999
569,30,6.1
570,30,4.1
571,30,4.1
572,30,4.449999999999999
573,30,4.449999999999999
574,30,4.1
575,30,4.3
576,30,5.4
577,30,5.1
578,30,3.05
579,30,3.75
580,30,6.1
581,30,4.449999999999999
582,30,3.75
583,30,5.75
584,30,5.449999999999999
585,30,6.1
586,30,5.1
587,30,3.75
588,30,5.75
589,30,5.4
590,30,3.4
591,30,5.1
592,30,4.1
593,30,7.5
594,30,4.1
595,30,3.4
596,30,4.8
597,30,6.1
598,30,4.449999999999999
599,30,5.4
600,30,4.1
601,30,7.85
602,30,5.4
603,30,3.4
604,30,9.5
605,30,6.1
606,30,3.75
607,30,4.8
608,30,5.4
609,30,6.449999999999999
610,30,7.5
611,30,5.75
612,30,5.4
613,30,6.449999999999999
614,30,5.4
615,30,5.9
616,30,5.1
617,30,3.75
618,30,6.1
619,30,5.75
620,30,6.1
621,30,4.449999999999999
622,30,4.449999999999999
623,30,6.1
624,30,4.1
625,30,3.4
626,30,6.1
627,30,4.8
628,30,4.8
629,30,4.1
630,30,6.1
631,30,3.75
632,30,4.449999999999999
633,30,5.75
634,30,6.1
635,30,4.8
636,30,4.449999999999999
637,30,5.449999999999999
638,30,6.1
639,30,4.449999999999999
640,30,4.8
641,30,5.75
642,30,4.8
643,30,5.449999999999999
644,30,5.1
645,30,8.2
646,30,5.1
647,30,4.1
648,30,4.8
649,30,4.8
650,30,6.1
651,30,5.75
652,30,5.1
653,30,4.449999999999999
654,30,4.1
655,30,4.449999999999999
