human_symbol,n_mutations,n_altered_samples,n_profiled_samples,incidence_pct,is_cancer_gene
TTN,1276,119,147,81,No
MUC16,676,91,147,61.9,No
CSMD3,384,95,147,64.6,No
LRP1B,315,107,176,60.8,Yes
RYR2,307,80,147,54.4,No
PCLO,305,71,147,48.3,Yes
SYNE1,264,91,176,51.7,No
FAT4,260,85,147,57.8,Yes
DNAH5,258,88,147,59.9,No
USH2A,247,86,147,58.5,No
CSMD1,238,70,147,47.6,No
COL11A1,236,81,147,55.1,No
ABCA13,233,74,147,50.3,No
APOB,218,83,147,56.5,No
PKHD1,217,91,176,51.7,No
PKHD1L1,216,70,147,47.6,No
ADGRV1,214,68,147,46.3,No
XIRP2,205,61,147,41.5,No
LRP2,202,88,176,50,No
TP53,202,139,176,79,Yes
RELN,201,80,147,54.4,Yes
SPTA1,201,83,147,56.5,No
KMT2D,199,83,176,47.2,Yes
CUBN,198,84,176,47.7,No
FLG,197,71,147,48.3,No
FAT3,194,66,147,44.9,No
MUC17,186,71,147,48.3,No
DNAH7,183,77,147,52.4,No
PCDH15,183,81,147,55.1,No
RYR1,182,72,147,49,No
NOTCH1,176,103,176,58.5,Yes
FMN2,175,73,147,49.7,No
RYR3,170,62,147,42.2,No
AHNAK2,169,51,147,34.7,No
HMCN1,168,80,147,54.4,No
MUC4,165,56,147,38.1,No
RP1,165,66,147,44.9,No
COL22A1,163,70,147,47.6,No
DNAH11,161,58,147,39.5,No
FSIP2,161,60,147,40.8,No
MUC5B,160,62,147,42.2,No
HYDIN,158,67,147,45.6,No
CSMD2,152,67,147,45.6,No
DNAH8,152,72,147,49,No
ZFHX4,148,62,147,42.2,No
COL6A5,147,62,147,42.2,No
COL19A1,145,57,147,38.8,No
ERICH3,145,66,147,44.9,No
DNAH6,143,59,147,40.1,No
ANK2,142,71,147,48.3,No
COL24A1,141,66,147,44.9,No
DSCAM,141,62,147,42.2,No
COL4A4,140,62,147,42.2,No
LRTM3,139,45,147,30.6,No
DNAH10,137,68,147,46.3,No
OBSCN,137,58,147,39.5,No
COL1A2,136,70,147,47.6,No
THSD7A,136,55,147,37.4,No
EYS,135,50,147,34,No
UNC79,134,62,147,42.2,No
PRUNE2,133,55,147,37.4,No
AHNAK,132,67,147,45.6,No
COL6A3,132,72,147,49,No
SI,131,54,147,36.7,No
FAM135B,130,64,147,43.5,No
UNC13C,130,53,147,36.1,No
PAPPA2,129,61,147,41.5,No
ZNF831,127,58,147,39.5,No
ZNF469,126,58,147,39.5,No
ROS1,125,72,176,40.9,Yes
VCAN,125,50,147,34,No
MYO15A,124,55,147,37.4,No
FBN2,123,58,147,39.5,No
MUC12,123,35,147,23.8,No
NOTCH2,123,75,176,42.6,Yes
DNAH9,121,65,147,44.2,No
MACF1,120,62,147,42.2,No
SVEP1,119,54,147,36.7,No
DMD,116,53,147,36.1,No
NEB,116,53,147,36.1,No
PTPRD,115,53,176,30.1,Yes
BSN,114,55,147,37.4,No
SPHKAP,114,60,147,40.8,No
UNC80,114,51,147,34.7,No
DNAH3,113,63,147,42.9,No
KALRN,113,61,147,41.5,No
MGAM,113,56,147,38.1,Yes
