human_symbol,incidence_n_mutations,incidence_n_altered_samples,incidence_n_profiled_samples,incidence_pct,is_cancer_gene,n_reference_profiled,n_case_profiled,n_reference_mutated,n_case_mutated,is_candidate,candidate_gene_symbols,candidate_gene_labels,candidate_groups,candidate_group,n_total_profiled,n_total_mutated,profile_denominator_matches_incidence,test_status,reference_prevalence_pct,case_prevalence_pct,prevalence_difference_pct,corrected_odds_ratio,corrected_log2_odds_ratio,odds_ratio,p_value,q_value_all_mutated_genes,n_fdr_tests,association_direction,is_significant_candidate,volcano_category,candidate_group_plot
CCDC187,46,18,147,12.2,No,115,32,0,18,FALSE,NA,NA,NA,NA,147,18,TRUE,tested,0,56.25,56.25,294.7241379310345,8.203221411917434,Inf,8.692786851570663e-15,1.303741800900778e-10,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
HMCN2,80,24,147,16.3,No,115,32,3,21,FALSE,NA,NA,NA,NA,147,24,TRUE,tested,2.608695652173913,65.625,63.016304347826086,60.09316770186335,5.909129067804518,67.1070854648382,1.408536949979233e-14,1.303741800900778e-10,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
MGAM2,66,17,147,11.6,No,115,32,0,17,FALSE,NA,NA,NA,NA,147,17,TRUE,tested,0,53.125,53.125,260.80645161290323,8.026835747974149,Inf,7.533748604694579e-14,4.648825139003535e-10,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
MUC5AC,64,23,147,15.6,No,115,32,3,20,FALSE,NA,NA,NA,NA,147,23,TRUE,tested,2.608695652173913,62.5,59.891304347826086,52.714285714285715,5.720122084002792,58.858688667754926,1.275975571431821e-13,5.905214944586468e-10,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
MUC12,123,35,147,23.8,No,115,32,11,24,FALSE,NA,NA,NA,NA,147,35,TRUE,tested,9.565217391304348,75,65.43478260869566,26.191815856777495,4.711044178888739,27.216912777064195,9.14441412573334e-13,3.385627885911512e-9,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
FRG2C,30,19,147,12.9,No,115,32,2,17,FALSE,NA,NA,NA,NA,147,19,TRUE,tested,1.7391304347826086,53.125,51.38586956521739,51.25806451612903,5.679707098961644,60.83333700320856,1.0219280654273253e-11,3.152988724531775e-8,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
MUC3A,73,27,147,18.4,No,115,32,7,20,FALSE,NA,NA,NA,NA,147,27,TRUE,tested,6.086956521739131,62.5,56.41304347826087,23.72533333333333,4.568356451679319,24.713199532797514,4.32935050274686e-11,1.1449276643835696e-7,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
AHNAK2,169,51,147,34.7,No,115,32,24,27,FALSE,NA,NA,NA,NA,147,51,TRUE,tested,20.869565217391305,84.375,63.505434782608695,18.6734693877551,4.222918089056196,19.93603578976542,6.555030770792248e-11,1.516834120361326e-7,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
COL6A5,147,62,147,42.2,No,115,32,33,29,FALSE,NA,NA,NA,NA,147,62,TRUE,tested,28.695652173913043,90.625,61.92934782608695,20.756929637526653,4.375521151092281,23.47902363236447,1.8775849536954252e-10,3.8502583883181536e-7,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
C4ORF54,30,13,147,8.8,No,115,32,0,13,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,0,40.625,40.625,159.92307692307693,7.3212343247172775,Inf,2.4958459734128047e-10,3.8502583883181536e-7,18512,Metastatic-associated,FALSE,Other FDR-significant gene,NA
