endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family,association_direction,evidence_strength,primary_mutation_label,metastatic_mutation_label,prevalence_label,candidate_group_plot
sample_type_pooled,Arid2,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Arid2 / ARID2,I+P,ARID2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,28,24.347826086956523,61,18,29.508196721311474,5.160370634354951,1.2986518148992632,0.6053161631136502,2.7448978004501887,1.3057067957249446,0.3848309674478087,0.4752557793064101,0.5940697241330126,0.8514999379239848,Not significant,0.22616258022222246,28/115,18/61,24.3% vs 29.5%,I+P
sample_type_pooled,Aatk,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Aatk / AATK,Initiation (I),AATK,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,7,6.086956521739131,32,10,31.25,25.163043478260867,6.883015598126811,2.1079225582815817,23.883042761754762,6.751111111111111,2.7551249632850463,4.297061850373357e-4,0.002578237110224014,0.006159121985535145,Metastatic-associated,2.588677144807823,7/115,10/32,6.1% vs 31.2%,Initiation (I)
sample_type_pooled,Bmper,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Bmper / BMPER,Initiation (I),BMPER,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,12,10.434782608695652,32,9,28.125,17.690217391304348,3.324336299237601,1.0993856313961967,9.819673626172024,3.3472340425531915,1.7429694294905487,0.019853987292555025,0.05786069914476508,0.1403492856178148,Not significant,1.2376163229714947,12/115,9/32,10.4% vs 28.1%,Initiation (I)
sample_type_pooled,Cep170b,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Cep170b / CEP170B,Initiation (I),CEP170B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,32,14,43.75,35.05434782608695,8.001129433773858,2.827926437374554,23.682531580409954,7.8751608751608755,2.977309395427047,1.7234666013937317e-5,1.7234666013937316e-4,3.705453192996523e-4,Metastatic-associated,3.7635971282531018,10/115,14/32,8.7% vs 43.8%,Initiation (I)
sample_type_pooled,Cldn18,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Cldn18 / CLDN18,Initiation (I),CLDN18,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,7,6.086956521739131,32,2,6.25,0.16304347826086918,1.0283746166747296,0.09928476685562193,5.791607224086994,1.185792349726776,0.24585139416043683,1,1,1,Not significant,-0,7/115,2/32,6.1% vs 6.2%,Initiation (I)
sample_type_pooled,Dennd1c,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Dennd1c / DENND1C,Initiation (I),DENND1C,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,7,6.086956521739131,32,7,21.875,15.78804347826087,4.263716386644037,1.1623254792397446,15.715927243468668,4.254901960784314,2.089125890472984,0.01365083688139878,0.05119063830524542,0.1173971971800295,Not significant,1.290809455120246,7/115,7/32,6.1% vs 21.9%,Initiation (I)
sample_type_pooled,Ezh1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Ezh1 / EZH1,Initiation (I),EZH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,12,10.434782608695652,32,12,37.5,27.065217391304348,5.0741793384755125,1.807375184106122,14.434650367404144,5.048780487804878,2.3359349528812414,7.325748006631834e-4,0.003662874003315917,0.009000204693861967,Metastatic-associated,2.4361780200757654,12/115,12/32,10.4% vs 37.5%,Initiation (I)
sample_type_pooled,Folh1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Folh1 / FOLH1,Initiation (I),FOLH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,32,9,28.125,15.951086956521738,2.7989840678468885,0.9471361426754555,7.985090362195786,2.8297872340425534,1.5006935838235522,0.05011440860607235,0.1002288172121447,0.2394355077845679,Not significant,0.9990073946673458,14/115,9/32,12.2% vs 28.1%,Initiation (I)
sample_type_pooled,Foxp4,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,10,8.695652173913043,32,3,9.375,0.679347826086957,1.0855947039009592,0.18032081598024752,4.5971222980223905,1.192090395480226,0.2534936386241877,0.9999999999999999,1,1,Not significant,-0,10/115,3/32,8.7% vs 9.4%,Initiation (I)
sample_type_pooled,Kndc1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,14,12.173913043478262,32,19,59.375,47.201086956521735,10.300221037244205,3.9075704776588247,28.575275098149188,10.11111111111111,3.3378696387563838,1.733016176163695e-7,5.199048528491085e-6,1.4903939115007777e-5,Metastatic-associated,5.284076128795016,14/115,19/32,12.2% vs 59.4%,Initiation (I)
