study_id,endpoint_group,gene_symbol,gene_label,candidate_group,human_symbols,n_profiled,n_mutated,prevalence_pct,comparison_cohort
cscc_dfarber_2015,Metastasis,Arid2,Arid2 / ARID2,I+P,ARID2,29,8,27.586206896551722,DFCI
cscc_dfarber_2015,Metastasis,Rad51b,Rad51b / RAD51B,Initiation (I),RAD51B,29,0,0,DFCI
cscc_dfarber_2015,Metastasis,Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,29,5,17.24137931034483,DFCI
cscc_dfarber_2015,Metastasis,Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,29,14,48.275862068965516,DFCI
cscc_dfarber_2015,Metastasis,Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,29,4,13.793103448275861,DFCI
cscc_hgsc_bcm_2014,Primary,Arid2,Arid2 / ARID2,I+P,ARID2,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Arid2,Arid2 / ARID2,I+P,ARID2,7,2,28.571428571428573,HGSC
cscc_hgsc_bcm_2014,Primary,Aatk,Aatk / AATK,Initiation (I),AATK,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Aatk,Aatk / AATK,Initiation (I),AATK,7,2,28.571428571428573,HGSC
cscc_hgsc_bcm_2014,Primary,Bmper,Bmper / BMPER,Initiation (I),BMPER,32,6,18.75,HGSC
cscc_hgsc_bcm_2014,Metastasis,Bmper,Bmper / BMPER,Initiation (I),BMPER,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Cep170b,Cep170b / CEP170B,Initiation (I),CEP170B,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Cep170b,Cep170b / CEP170B,Initiation (I),CEP170B,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Cldn18,Cldn18 / CLDN18,Initiation (I),CLDN18,32,2,6.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Cldn18,Cldn18 / CLDN18,Initiation (I),CLDN18,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Dennd1c,Dennd1c / DENND1C,Initiation (I),DENND1C,32,2,6.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Dennd1c,Dennd1c / DENND1C,Initiation (I),DENND1C,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Ezh1,Ezh1 / EZH1,Initiation (I),EZH1,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Ezh1,Ezh1 / EZH1,Initiation (I),EZH1,7,3,42.857142857142854,HGSC
cscc_hgsc_bcm_2014,Primary,Folh1,Folh1 / FOLH1,Initiation (I),FOLH1,32,7,21.875,HGSC
cscc_hgsc_bcm_2014,Metastasis,Folh1,Folh1 / FOLH1,Initiation (I),FOLH1,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Foxp4,Foxp4 / FOXP4,Initiation (I),FOXP4,32,6,18.75,HGSC
cscc_hgsc_bcm_2014,Metastasis,Foxp4,Foxp4 / FOXP4,Initiation (I),FOXP4,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Kndc1,Kndc1 / KNDC1,Initiation (I),KNDC1,32,7,21.875,HGSC
cscc_hgsc_bcm_2014,Metastasis,Kndc1,Kndc1 / KNDC1,Initiation (I),KNDC1,7,3,42.857142857142854,HGSC
cscc_hgsc_bcm_2014,Primary,Ophn1,Ophn1 / OPHN1,Initiation (I),OPHN1,32,0,0,HGSC
cscc_hgsc_bcm_2014,Metastasis,Ophn1,Ophn1 / OPHN1,Initiation (I),OPHN1,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Otog,Otog / OTOG,Initiation (I),OTOG,32,0,0,HGSC
cscc_hgsc_bcm_2014,Metastasis,Otog,Otog / OTOG,Initiation (I),OTOG,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Pkp4,Pkp4 / PKP4,Initiation (I),PKP4,32,6,18.75,HGSC
cscc_hgsc_bcm_2014,Metastasis,Pkp4,Pkp4 / PKP4,Initiation (I),PKP4,7,2,28.571428571428573,HGSC
cscc_hgsc_bcm_2014,Primary,Plce1,Plce1 / PLCE1,Initiation (I),PLCE1,32,16,50,HGSC
cscc_hgsc_bcm_2014,Metastasis,Plce1,Plce1 / PLCE1,Initiation (I),PLCE1,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Ppp1r14d,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,32,4,12.5,HGSC
cscc_hgsc_bcm_2014,Metastasis,Ppp1r14d,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Rad51b,Rad51b / RAD51B,Initiation (I),RAD51B,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Rad51b,Rad51b / RAD51B,Initiation (I),RAD51B,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Rasd2,Rasd2 / RASD2,Initiation (I),RASD2,32,2,6.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Rasd2,Rasd2 / RASD2,Initiation (I),RASD2,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,32,4,12.5,HGSC
cscc_hgsc_bcm_2014,Metastasis,Spats2l,Spats2l / SPATS2L,Initiation (I),SPATS2L,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,32,2,6.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Srgap1,Srgap1 / SRGAP1,Initiation (I),SRGAP1,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,32,3,9.375,HGSC
cscc_hgsc_bcm_2014,Metastasis,Tmprss9,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Ube2d2a,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,32,0,0,HGSC
cscc_hgsc_bcm_2014,Metastasis,Ube2d2a,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Usp3,Usp3 / USP3,Initiation (I),USP3,32,1,3.125,HGSC
cscc_hgsc_bcm_2014,Metastasis,Usp3,Usp3 / USP3,Initiation (I),USP3,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,32,24,75,HGSC
cscc_hgsc_bcm_2014,Metastasis,Xirp2,Xirp2 / XIRP2,Initiation (I),XIRP2,7,4,57.142857142857146,HGSC
cscc_hgsc_bcm_2014,Primary,Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,32,18,56.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Csmd2,Csmd2 / CSMD2,Predisposition,CSMD2,7,4,57.142857142857146,HGSC
cscc_hgsc_bcm_2014,Primary,Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,32,6,18.75,HGSC
cscc_hgsc_bcm_2014,Metastasis,Erbb2,Erbb2 / ERBB2,Predisposition,ERBB2,7,1,14.285714285714286,HGSC
cscc_hgsc_bcm_2014,Primary,Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,32,10,31.25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Huwe1,Huwe1 / HUWE1,Predisposition,HUWE1,7,3,42.857142857142854,HGSC
cscc_hgsc_bcm_2014,Primary,Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,32,27,84.375,HGSC
cscc_hgsc_bcm_2014,Metastasis,Lrp1b,Lrp1b / LRP1B,Predisposition,LRP1B,7,7,100,HGSC
cscc_hgsc_bcm_2014,Primary,Pard3,Pard3 / PARD3,Predisposition,PARD3,32,8,25,HGSC
cscc_hgsc_bcm_2014,Metastasis,Pard3,Pard3 / PARD3,Predisposition,PARD3,7,4,57.142857142857146,HGSC
cscc_hgsc_bcm_2014,Primary,Psme4,Psme4 / PSME4,Predisposition,PSME4,32,3,9.375,HGSC
cscc_hgsc_bcm_2014,Metastasis,Psme4,Psme4 / PSME4,Predisposition,PSME4,7,0,0,HGSC
cscc_hgsc_bcm_2014,Primary,Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,32,5,15.625,HGSC
cscc_hgsc_bcm_2014,Metastasis,Ptch1,Ptch1 / PTCH1,Predisposition,PTCH1,7,1,14.285714285714286,HGSC
cscc_ranson_2022,Metastasis,Arid2,Arid2 / ARID2,I+P,ARID2,25,8,32,Ranson
cscc_ranson_2022,Metastasis,Aatk,Aatk / AATK,Initiation (I),AATK,25,8,32,Ranson
cscc_ranson_2022,Metastasis,Bmper,Bmper / BMPER,Initiation (I),BMPER,25,9,36,Ranson
cscc_ranson_2022,Metastasis,Cep170b,Cep170b / CEP170B,Initiation (I),CEP170B,25,14,56,Ranson
cscc_ranson_2022,Metastasis,Cldn18,Cldn18 / CLDN18,Initiation (I),CLDN18,25,2,8,Ranson
cscc_ranson_2022,Metastasis,Dennd1c,Dennd1c / DENND1C,Initiation (I),DENND1C,25,6,24,Ranson
cscc_ranson_2022,Metastasis,Ezh1,Ezh1 / EZH1,Initiation (I),EZH1,25,9,36,Ranson
cscc_ranson_2022,Metastasis,Folh1,Folh1 / FOLH1,Initiation (I),FOLH1,25,9,36,Ranson
cscc_ranson_2022,Metastasis,Foxp4,Foxp4 / FOXP4,Initiation (I),FOXP4,25,3,12,Ranson
cscc_ranson_2022,Metastasis,Kndc1,Kndc1 / KNDC1,Initiation (I),KNDC1,25,16,64,Ranson
cscc_ranson_2022,Metastasis,Ophn1,Ophn1 / OPHN1,Initiation (I),OPHN1,25,2,8,Ranson
cscc_ranson_2022,Metastasis,Otog,Otog / OTOG,Initiation (I),OTOG,25,17,68,Ranson
cscc_ranson_2022,Metastasis,Pkp4,Pkp4 / PKP4,Initiation (I),PKP4,25,7,28,Ranson
cscc_ranson_2022,Metastasis,Plce1,Plce1 / PLCE1,Initiation (I),PLCE1,25,17,68,Ranson
cscc_ranson_2022,Metastasis,Ppp1r14d,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,25,0,0,Ranson
