iteration,candidate_group,exclude_candidates_from_null,null_statistic,observed_statistic,observed_minus_null_statistic
1,All candidates,TRUE,0.0495,0.067,0.0175
2,All candidates,TRUE,0.044,0.067,0.023000000000000007
3,All candidates,TRUE,0.042,0.067,0.025
4,All candidates,TRUE,0.04425,0.067,0.022750000000000006
5,All candidates,TRUE,0.0545,0.067,0.012500000000000004
6,All candidates,TRUE,0.0465,0.067,0.020500000000000004
7,All candidates,TRUE,0.05425,0.067,0.012750000000000004
8,All candidates,TRUE,0.055,0.067,0.012000000000000004
9,All candidates,TRUE,0.04425,0.067,0.022750000000000006
10,All candidates,TRUE,0.0495,0.067,0.0175
11,All candidates,TRUE,0.048,0.067,0.019000000000000003
12,All candidates,TRUE,0.05,0.067,0.017
13,All candidates,TRUE,0.045,0.067,0.022000000000000006
14,All candidates,TRUE,0.05,0.067,0.017
15,All candidates,TRUE,0.05275,0.067,0.014250000000000006
16,All candidates,TRUE,0.05475,0.067,0.012250000000000004
17,All candidates,TRUE,0.039,0.067,0.028000000000000004
18,All candidates,TRUE,0.046,0.067,0.021000000000000005
19,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
20,All candidates,TRUE,0.0545,0.067,0.012500000000000004
21,All candidates,TRUE,0.04825,0.067,0.018750000000000003
22,All candidates,TRUE,0.0515,0.067,0.015500000000000007
23,All candidates,TRUE,0.04375,0.067,0.023250000000000007
24,All candidates,TRUE,0.058,0.067,0.009000000000000001
25,All candidates,TRUE,0.0495,0.067,0.0175
26,All candidates,TRUE,0.0445,0.067,0.022500000000000006
27,All candidates,TRUE,0.0415,0.067,0.025500000000000002
28,All candidates,TRUE,0.039,0.067,0.028000000000000004
29,All candidates,TRUE,0.044,0.067,0.023000000000000007
30,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
31,All candidates,TRUE,0.056,0.067,0.011000000000000003
32,All candidates,TRUE,0.046,0.067,0.021000000000000005
33,All candidates,TRUE,0.0455,0.067,0.021500000000000005
34,All candidates,TRUE,0.053,0.067,0.014000000000000005
35,All candidates,TRUE,0.0515,0.067,0.015500000000000007
36,All candidates,TRUE,0.0455,0.067,0.021500000000000005
37,All candidates,TRUE,0.057999999999999996,0.067,0.009000000000000008
38,All candidates,TRUE,0.062,0.067,0.0050000000000000044
39,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
40,All candidates,TRUE,0.048,0.067,0.019000000000000003
41,All candidates,TRUE,0.048,0.067,0.019000000000000003
42,All candidates,TRUE,0.0535,0.067,0.013500000000000005
43,All candidates,TRUE,0.055,0.067,0.012000000000000004
44,All candidates,TRUE,0.0505,0.067,0.0165
45,All candidates,TRUE,0.049,0.067,0.018000000000000002
46,All candidates,TRUE,0.049,0.067,0.018000000000000002
47,All candidates,TRUE,0.0475,0.067,0.019500000000000003
48,All candidates,TRUE,0.0405,0.067,0.026500000000000003
49,All candidates,TRUE,0.041,0.067,0.026000000000000002
50,All candidates,TRUE,0.041999999999999996,0.067,0.02500000000000001
51,All candidates,TRUE,0.052500000000000005,0.067,0.014499999999999999
52,All candidates,TRUE,0.0505,0.067,0.0165
53,All candidates,TRUE,0.056499999999999995,0.067,0.01050000000000001
54,All candidates,TRUE,0.05,0.067,0.017
55,All candidates,TRUE,0.057749999999999996,0.067,0.009250000000000008
56,All candidates,TRUE,0.055,0.067,0.012000000000000004
57,All candidates,TRUE,0.051000000000000004,0.067,0.016
58,All candidates,TRUE,0.042499999999999996,0.067,0.024500000000000008
59,All candidates,TRUE,0.0525,0.067,0.014500000000000006
60,All candidates,TRUE,0.049,0.067,0.018000000000000002
61,All candidates,TRUE,0.058499999999999996,0.067,0.008500000000000008
62,All candidates,TRUE,0.055,0.067,0.012000000000000004
63,All candidates,TRUE,0.0595,0.067,0.007500000000000007
64,All candidates,TRUE,0.05,0.067,0.017
65,All candidates,TRUE,0.047,0.067,0.020000000000000004
66,All candidates,TRUE,0.0465,0.067,0.020500000000000004
67,All candidates,TRUE,0.054,0.067,0.013000000000000005
68,All candidates,TRUE,0.045,0.067,0.022000000000000006
69,All candidates,TRUE,0.0475,0.067,0.019500000000000003
70,All candidates,TRUE,0.0485,0.067,0.018500000000000003
