recurrence_n_skin_samples,n_eligible_genes_total,n_eligible_candidate_genes,n_noncandidate_genes,genes_in_pool,candidate_genes_in_null_bin,n_candidate_genes,candidate_genes_in_bin
1,1767,20,1747,1110059E24Rik;1700057G04Rik;1810046K07Rik;2010300C02Rik;2310003L06Rik;2310050C09Rik;2410004P03Rik;2700049A03Rik;3425401B19Rik;4930447A16Rik;4930516K23Rik;4930578I06Rik;4932438A13Rik;5430427O19Rik;6030458C11Rik;6430571L13Rik;6430628N08Rik;8030474K03Rik;9130008F23Rik;A3galt2;A530032D15Rik;A530064D06Rik;Aadac;Aadacl4fm5;Aars;Aatk;Abca1;Abca13;Abca16;Abcb1b;Abcc1;Abcc3;Abcc9;Abcg4;Abcg8;Abhd13;Abhd16a;Abhd17b;Acad10;Acad11;Acadsb;Acan;Ache;Acin1;Acnat1;Acod1;Acot7;Acox1;Acp7;Acsbg1;Acsbg2;Acsbg3;Acsf2;Acss3;Acvrl1;Adam17;Adam33;Adam9;Adamts15;Adamts20;Adamts5;Adamtsl3;Adcy3;Adcy4;Adcy6;Adcyap1r1;Add1;Add3;Adgrb2;Adh5;Adipoq;Adora2b;Adprh;Adssl1;Afap1;Afdn;Afg3l1;Aggf1;Agmo;Agt;Ahctf1;Aifm2;Ajm1;Ak1;Akr1c12;Akr1d1;Aldh1b1;Aldh6a1;Aldh9a1;Alk;Alpi;Als2;Alx3;Ambra1;Amer1;Amfr;Amotl1;Amt;Anapc7;Angptl6;Ank2;Ankhd1;Ankrd11;Ankrd50;Ankrd6;Ankrd65;Anks1;Anks6;Ano2;Ano6;Anxa1;Ap2a2;Ap3b2;Ap5b1;Apaf1;Apba2;Apbb2;Apbb3;Apc2;Apol10b;Apol11a;Aqr;Arap1;Arc;Arfgef3;Arhgap12;Arhgap21;Arhgap23;Arhgap25;Arhgap31;Arhgap44;Arhgap5;Arhgef11;Arhgef12;Arhgef19;Arhgef40;Arid3b;Arl14ep;Arl16;Arl5c;Armc6;Armcx2;Arpc1b;Art2b;Asb8;Asic2;Asic3;Aspdh;Astn1;Asxl1;Atg4c;Atp1a1;Atp2b2;Atp6v0a2;Atp6v0e2;Atp6v1h;Atp8b3;Atp8b4;Atp8b5;Atpaf2;Atrn;Atrnl1;Atxn7;AU040320;Avil;Avpr2;B3galt2;B4galnt1;B4galnt4;B4galt7;Bag5;Baiap3;Bap1;Barhl2;Baz1a;Baz2a;Bbs7;Bcas3;Bcl7a;Bclaf3;Bend5;Bik;Bmper;Bnc1;Bod1l;Bola1;Bpifb1;Bpifb4;Brinp2;Brip1;Brwd1;Bst2;Btbd18;Btbd7;C1qc;C1s2;C2cd5;C87977;C8g;Cabs1;Cacna1b;Cacna1e;Cacna1f;Cacna2d1;Cacna2d4;Cactin;Cad;Cadps;Caln1;Camk2n1;Capn8;Capn9;Caprin2;Carmil1;Casc1;Casd1;Casp12;Casp9;Casq2;Catsper1;Cbr4;Cbwd1;Cbx2;Cbx4;Ccdc106;Ccdc110;Ccdc116;Ccdc120;Ccdc13;Ccdc151;Ccdc155;Ccdc158;Ccdc175;Ccdc22;Ccdc28b;Ccdc8;Ccdc85a;Ccdc97;Ccdc9b;Ccnjl;Ccnq;Ccnt2;Cd163l1;Cd274;Cd28;Cd300ld2;Cd47;Cd6;Cdan1;Cdc16;Cdc25a;Cdc42bpa;Cdca7;Cdh10;Cdh15;Cdh5;Cdk3;Cdk5r2;Cdkn2b;Cdkn2d;Cdon;Ceacam16;Celf1;Celsr3;Cenpf;Cenpj;Cep112;Cep170b;Cep19;Cep89;Ces2b;Cfap57;Cfc1;Cfhr1;Chat;Chd1;Chd4;Chd5;Chd7;Chia1;Chrm2;Chrna5;Chrna7;Chrng;Chst7;Ciapin1;Cilp;Ckap4;Ckap5;Clca3b;Clcn3;Cldn18;Cldn3;Clec4a4;Clic4;Clip1;Clip2;Clk3;Clock;Clptm1;Clptm1l;Clu;Clybl;Cmklr1;Cmss1;Cnep1r1;Cnga4;Cnksr1;Cntnap1;Cntrob;Cobl;Col13a1;Col14a1;Col16a1;Col18a1;Col25a1;Col5a1;Col6a5;Colgalt1;Copa;Cope;Cops3;Cpa5;Cpe;Cpn1;Cpne3;Cpne4;Cpsf3;Cramp1l;Crb2;Creb5;Creg2;Crisp3;Crybg2;Csmd1;Ctdnep1;Cwc15;Cxcr1;Cxcr4;Cyp1a1;Cyp1a2;Cyp2c39;Cyp4a12b;Cyp4a29;Cyp4x1;Cyp8b1;D130043K22Rik;D430041D05Rik;D630045J12Rik;D930020B18Rik;Daam1;Dach1;Dapk3;Dbnl;Dcaf1;Dcc;Dctn2;Dda1;Ddb1;Ddhd1;Ddn;Ddx23;Ddx4;Ddx59;Ddx60;Dennd1c;Derl1;Dgke;Dgki;Dhfr;Dhtkd1;Dhx36;Dhx58;Diaph1;Diaph3;Dido1;Dio2;Dip2a;Dip2b;Dld;Dlec1;Dmac2l;Dna2;Dnah1;Dnah11;Dnah17;Dnah2;Dnah3;Dnah6;Dnah7a;Dnah8;Dnaic2;Dnajc12;Dnajc21;Dnase2b;Dnm1;Dnm1l;Dock1;Dock10;Dock7;Dock8;Dok3;Dok7;Dop1b;Doxl2;Dph1;Dpysl5;Dsg1a;Dtna;Dtx2;Dusp16;Dusp22;Dyrk1b;Dysf;E230025N22Rik;Ebf1;Ece1;Ecel1;Echs1;Ecpas;Edc3;Edc4;Eef1a1;Efcab5;Efl1;Egfl6;Egr1;Egr2;Ehd2;Ehmt2;Eif2ak1;Eif2b5;Eif3a;Eif3l;Eif4a3l1;Elavl3;Elfn2;Ell;Elmsan1;Eln;Elp1;Elp3;Eme1;Emilin1;Emsy;Enam;Eng;Enho;Enpp2;Entpd6;Entpd8;Epb41l4a;Epha8;Ephb1;Epn3;Eprs;Eps8;Ercc2;Ergic1;Ergic2;Ermp1;Esco2;Espl1;Espnl;Etl4;Evc;Evpl;Exoc1;Exoc4;Exoc6;Exoc6b;Ext1;Extl1;Ezh1;Ezh2;F13b;F2;Fads2;Fads3;Fam126a;Fam131c;Fam135a;Fam151a;Fam155a;Fam160a1;Fam174b;Fam189a1;Fam193b;Fam221a;Fam227a;Fam49a;Fam76a;Fam83g;Fam90a1a;Fancd2;Fanci;Farsa;Fasn;Fastkd1;Fat2;Fat3;Fbh1;Fbn1;Fbxl8;Fbxo10;Fbxo25;Fbxo39;Fbxo41;Fbxo43;Fbxw10;Fbxw16;Fbxw20;Fcgbp;Fdft1;Fech;Fen1;Fer1l4;Fgb;Fgd5;Fgfr1;Fgfr3;Fgl2;Fibp;Fis1;Fkbp15;Flnb;Flt4;Fndc1;Fndc3c1;Foxj2;Foxj3;Foxk1;Foxn4;Foxo3;Foxp1;Foxp4;Foxs1;Fras1;Frem1;Frem3;Frmd4a;Fryl;Fscn1;Fthl17f;Fxn;Fyco1;Fzd1;Fzd3;Fzd9;Gabra6;Gabrg1;Gabrr2;Galm;Galnt16;Galnt9;Garnl3;Gatad2a;Gba;Gba2;Gbp11;Gbp7;Gckr;Gcnt7;Gdap2;Gdf3;Gen1;Gfap;Gfra3;Gga2;Ggnbp1;Ghrhr;Gigyf1;Git1;Gja3;Gja8;Gk5;Glb1l3;Gldc;Glg1;Gli3;Glrp1;Glud1;Gm10131;Gm10319;Gm10434;Gm10718;Gm10719;Gm1110;Gm11564;Gm11567;Gm11568;Gm11569;Gm11639;Gm12258;Gm14698;Gm15429;Gm16026;Gm17019;Gm17535;Gm18596;Gm3285;Gm3486;Gm44579;Gm4553;Gm4884;Gm49391;Gm4952;Gm5114;Gm5442;Gm5458;Gm5478;Gm6588;Gm7579;Gm7889;Gm8122;Gm884;Gmeb1;Gmip;Gna11;Gnb1;Gnb1l;Gnptg;Gp1ba;Gpatch2l;Gpr143;Gpr149;Gpr162;Gpr26;Gpr34;Gpr39;Gpt;Gramd4;Greb1l;Grem1;Grem2;Grik1;Grin2c;Grip2;Gripap1;Grk2;Grm1;Grm2;Gsdmc;Gse1;Gss;Gstk1;Gstm2;Gtf2h3;Gtf2h4;Gtpbp1;Gtpbp8;Guk1;Gulo;Gys1;H2al1n;H2ax;H2bc11;H2bc12;H2bc18;H2bc3;H2bc6;H4c1;Hacd2;Hadha;Hamp2;Has1;Hc;Hcn1;Hdac6;Hdc;Heatr5a;Hectd1;Helb;Helz2;Heph;Hes1;Hes3;Hes6;Hhat;Hip1;Hipk1;Hipk2;Hivep3;Hk2;Hmbs;Hmgcr;Hmox2;Hnrnpl;Hook2;Hook3;Hoxa1;Hoxa3;Hrnr;Hsd17b10;Hsd17b3;Hsd3b1;Hspd1;Hspg2;Htr3a;Htr4;Htr6;Htra3;Htt;Iba57;Ica1;Ifi203;Ifi207;Ift43;Igbp1b;Igdcc4;Igf1r;Igfbp4;Ighv1-18;Ighv1-63;Ighv1-80;Ighv3-4;Ighv6-7;Ighv7-3;Igkv14-111;Igkv4-59;Igsf1;Igsf10;Il17rb;Il1rapl1;Il21r;Il24;Il2rb;Ilf3;Impa2;Incenp;Inpp5d;Insyn1;Intu;Invs;Ip6k2;Ippk;Iqca;Iqch;Irx4;Isoc2a;Isx;Isyna1;Itfg1;Itfg2;Itga4;Itgae;Itgam;Itgax;Itih4;Ivd;Jak1;Jakmip2;Jph4;Kalrn;Kank1;Kbtbd13;Kbtbd6;Kcnd3;Kcne3;Kcnj2;Kcns1;Kctd11;Kctd19;Kctd5;Kctd7;Kdm4c;Kdm6b;Keap1;Kel;Kera;Kif12;Kif20a;Kif21b;Kif26a;Kif26b;Kif5a;Kif7;Kir3dl2;Kiz;Klf9;Klhl13;Klhl26;Klhl31;Klhl38;Klhl4;Klk12;Klk5;Kmt2a;Kmt2b;Kmt2e;Kndc1;Knl1;Krba1;Kremen2;Krit1;Krt2;Krt28;Krt34;Krt4;Krt78;Krt84;Krt90;Krtap10-10;Krtap16-1;Krtap19-1;Krtap19-3;Krtap4-1;Krtap4-13;Krtap4-8;Krtap5-3;Krtap5-5;Krtap9-3;L3mbtl2;L3mbtl3;Lama5;Lamb1;Lamb2;Lamp2;Laptm5;Lat;Lax1;Lbhd2;Lbp;Lce1c;Lcn10;Ldb3;Ldhb;Ldlr;Ldlrad1;Lfng;Lgi3;Lgr6;Lhcgr;Lin28b;Lins1;Lmbrd1;Lmx1a;Lonrf3;Lox;Lpcat1;Lpcat4;Lpgat1;Lpin3;Lpo;Lrch2;Lrig3;Lrit1;Lrit2;Lrp11;Lrp12;Lrp4;Lrp5;Lrp6;Lrpprc;Lrrc14b;Lrrc26;Lrrc6;Lrriq4;Lrrn2;Lrwd1;Lsamp;Lsg1;Lsm14b;Lta4h;Ltbp4;Ltv1;Ly6d;Ly9;Lzts2;Mab21l2;Magea2;Magee1;Mamdc2;Mamdc4;Man2a1;Man2c1;Map2k5;Map3k6;Map4k1;Map6;Map7;Mapk10;Mapk13;Mapk8ip2;Marchf6;Marchf8;Marco;Marf1;Mars1;Mau2;Mbd3;Mbd5;Mbp;Mbtd1;Mc5r;Mcc;Mcf2;Mcm2;Mcm3ap;Mcm8;Mcpt4;Mctp2;Mdh1b;Me2;Mea1;Med13;Megf6;Megf8;Meis1;Meltf;Meox2;Mfsd1;Mfsd4a;Mga;Mgarp;Mgat3;Mgat4e;Mgat4f;Mgrn1;Mib1;Mier2;Mier3;Mill1;Mlana;Mlxipl;Mmp10;Mmp17;Mmp9;Mmrn2;Mn1;Mnat1;Mocs3;Mogat1;Mon2;Morf4l1;Moxd2;Mpp1;Mrc1;Mrgprb4;Mroh1;Mroh2a;Mrps10;Ms4a14;Msrb2;Mtcl1;Mtf2;Mtg1;Mtmr10;Mtmr12;Mtmr14;Mtmr6;Muc20;Muc5ac;Mx2;Myc;Mycs;Myef2;Myh11;Myh13;Myh3;Myh4;Myh6;Mymk;Myo18a;Myo18b;Myo1e;Myo3a;Myo5b;Myo5c;Myoc;Myom2;Myom3;Myorg;Mysm1;N4bp2;Naa25;Naaladl1;Naf1;Naip1;Nap1l1;Nap1l2;Nap1l3;Nap1l4;Nav2;Naxd;Nbas;Ncam2;Ncaph2;Nck1;Nckap1;Nckap5l;Ncor2;Ndc80;Ndfip2;Ndn;Ndst1;Ndufv3;Nebl;Nek7;Net1;Neu2;Neurl2;Nfasc;Nfatc2ip;Nfe2;Nfe2l3;Nfkbid;Nfxl1;Nfya;Nhs;Nid2;Nin;Ninl;Nkpd1;Nle1;Nme9;Nmt2;Nmur2;Noc3l;Nol12;Nol4;Nop53;Nova1;Npas3;Npffr1;Npnt;Npr2;Nptn;Nptx1;Npy5r;Nr2f6;Nr3c1;Nr3c2;Nr4a1;Nrg3;Nrp1;Nrxn1;Nsmce3;Nsun3;Nt5dc3;Ntrk2;Ntrk3;Nubp2;Nudt4;Nup153;Nup205;Nup210;Nup50;Nup85;Nxnl2;Nxph3;Nyap1;Nynrin;Oas1c;Oas2;Oas3;Ocstamp;Ofcc1;Olfr1023;Olfr1087;Olfr1107;Olfr1126;Olfr1167;Olfr1178;Olfr1197;Olfr1214;Olfr1231;Olfr1253;Olfr1305;Olfr1309;Olfr1340;Olfr1364;Olfr1369-ps1;Olfr1386;Olfr1388;Olfr1396;Olfr1444;Olfr1469;Olfr149;Olfr1513;Olfr168;Olfr170;Olfr175;Olfr275;Olfr342;Olfr356;Olfr365;Olfr372;Olfr374;Olfr391;Olfr479;Olfr485;Olfr512;Olfr518;Olfr524;Olfr532;Olfr585;Olfr601;Olfr654;Olfr661;Olfr739;Olfr745;Olfr770;Olfr782;Olfr801;Olfr829;Olfr872;Olfr877;Olfr937;Olfr952;Olfr965;Olfr99;Omt2a;Oplah;Opn3;Opn4;Osbpl9;Otog;Otop2;Otulinl;Oxa1l;Oxct1;P3h1;P3h2;P4ha2;Pacs1;Pak6;Palld;Pank1;Pappa;Pappa2;Papss2;Paqr5;Paqr9;Pard3b;Pard6a;Parp8;Patl1;Pax7;Pbx4;Pcbd1;Pcdh18;Pcdhb11;Pcdhb2;Pcdhb4;Pcdhga11;Pced1b;Pck1;Pck2;Pcnt;Pcnx;Pcnx2;Pcnx3;Pcsk1;Pcsk5;Pdc;Pde9a;Pdhx;Pdlim5;Pdxp;Perm1;Pgap1;Pgbd5;Phactr3;Phf12;Phf21b;Phf7;Phka2;Phldb1;Phldb3;Phtf2;Piezo1;Pigq;Pigu;Pik3c2g;Pik3ca;Pik3r5;Pikfyve;Pim3;Pinx1;Pitx1;Piwil1;Pkd1;Pkd1l3;Pkd2;Pkn1;Pkp4;Plb1;Plcd4;Plce1;Plec;Plekha4;Plekhg3;Plp1;Plpp4;Plxna3;Plxnb1;Plxnb2;Plxnb3;Plxnd1;Pmm1;Pnma1;Pnoc;Pnpla6;Podn;Pogz;Pola1;Pole;Polg;Polr1a;Polr2b;Polr3a;Polrmt;Pomc;Popdc2;Porcn;Pot1a;Pou1f1;Pou2f2;Ppargc1b;Ppm1d;Ppp1r12b;Ppp1r14d;Ppp1r3g;Ppp3cb;Ppp3cc;Ppp4r1;Pprc1;Ppt1;Prdm13;Prdx6b;Prelp;Prg4;Prh1;Prkcg;Prkdc;Prl2c2;Prl7b1;Prmt1;Prodh;Prok1;Pros1;Proser2;Prpf40a;Prpf8;Prrc2b;Prrg4;Prrt4;Prss2;Prss22;Prss34;Psg20;Psma1;Psmc1;Ptchd4;Ptprd;Ptprk;Ptprn2;Ptpro;Ptprq;Ptprs;Ptpru;Pttg1;Pum2;Pum3;Pwp1;Pygb;Pygm;Qpct;Qsox1;Qtrt1;Rab8b;Rabl3;Rad51b;Rad54l;Rad9a;Rai14;Ralgapa1;Ralgps2;Ranbp2;Ranbp3;Rap1gds1;Rasal3;Rasd2;Raver1;Rbbp6;Rbm10;Rbm27;Rbm3;Rbm41;Rbm47;Rbms1;Rbms3;Rbpj;Rbsn;Rcl1;Rdh5;Reck;Recql;Recql4;Reps1;Resp18;Retsat;Rfc3;Rfc4;Rfx3;Rgl3;Rgs16;Rgsl1;Rhbdd2;Rimklb;Rims4;Rin3;Riok2;Rnf214;Rnf216;Rnf31;Rnf38;Rnf39;Rngtt;Rnps1;Ror2;Rpap2;Rph3al;Rpl11;Rpn1;Rps2;Rps6ka5;Rreb1;Rrp1;Rtl5;Rtl6;Rtn3;Rtn4r;Rtp3;Rxfp4;Ryr1;Ryr3;Sac3d1;Sacs;Samhd1;Sart3;Sash3;Satb1;Sbf1;Scaf11;Scamp3;Scfd1;Scg3;Scgb1b3;Scn7a;Scn8a;Scnn1g;Scrib;Scube1;Sdhaf4;Sdk1;Sdk2;Sec14l1;Sec14l2;Sec14l3;Sec16a;Sec22c;Sec23ip;Sec24b;Sec31b;Sell;Selplg;Sema3g;Sema6c;Sema7a;Serpina10;Serpina1d;Serpina3k;Serpinb6e;Sfpq;Sfr1;Sft2d2;Sgcg;Sgo1;Sgsm1;Sgsm2;Sh2d3c;Sh3kbp1;Sh3pxd2a;Sh3pxd2b;Sh3rf1;Sh3tc2;Shc4;Shd;Shisa3;Shisa9;Shpk;Shprh;Shroom3;Siglecg;Sik1;Simc1;Sin3b;Sipa1;Sipa1l2;Sipa1l3;Sirt6;Skor1;Sla;Slamf7;Slc12a3;Slc13a1;Slc14a2;Slc15a5;Slc17a6;Slc17a9;Slc22a16;Slc22a19;Slc24a5;Slc25a19;Slc25a31;Slc25a45;Slc26a8;Slc26a9;Slc28a1;Slc29a4;Slc2a6;Slc34a3;Slc35a5;Slc35f6;Slc35g1;Slc3a2;Slc45a1;Slc4a11;Slc52a2;Slc5a4b;Slc6a19;Slc6a6;Slc7a15;Slc9a1;Slco1a4;Slf2;Slfn1;Slfn14;Slfn4;Slfn5;Slk;Smad2;Smarcc1;Smcr8;Smg9;Smpd4;Smtn;Snapc4;Sned1;Snf8;Snph;Snta1;Snupn;Snx21;Snx30;Snx4;Soga1;Son;Sos2;Spa17;Spag1;Spag9;Sparc;Spata46;Spatc1l;Spats2l;Speer4a;Spice1;Sppl3;Sprr1b;Sprr2g;Spryd3;Spta1;Sptan1;Spz1;Srgap1;Srgap2;Srpk3;Srpx;Srrm3;Ss18l1;Ssh2;Ssh3;Ssmem1;Sspo;Ssxb10;St18;St3gal5;St3gal6;St8sia5;Stac2;Stat5b;Stk25;Stk36;Stmn1;Stoml1;Ston2;Stx16;Sucla2;Sun3;Supt5;Suz12;Swsap1;Sycp2l;Syn1;Syngr1;Synpo;Synpo2l;Taar2;Taar7e;Tab3;Tacc3;Taf15;Taf5l;Tango2;Tarbp1;Tas1r1;Tas1r3;Tas2r102;Tas2r130;Tas2r134;Tas2r137;Tatdn2;Tbc1d13;Tbc1d22a;Tbc1d5;Tbc1d8;Tbx15;Tbx18;Tbx2;Tcf3;Tcp10a;Tctex1d2;Tead1;Tefm;Tenm1;Tert;Tet2;Tet3;Tex11;Tex261;Tex43;Tex44;Tfap2c;Tfdp2;Tg;Tgm5;Thada;Thap1;Thbs4;Thop1;Tiam1;Tiam2;Timeless;Timmdc1;Tjp1;Tktl1;Tmbim7;Tmc2;Tmc3;Tmc4;Tmem120a;Tmem130;Tmem131;Tmem176a;Tmem178b;Tmem179b;Tmem201;Tmem211;Tmem214;Tmem219;Tmem29;Tmem43;Tmprss11b;Tmprss6;Tmprss9;Tnc;Tnfrsf26;Tnfsf15;Tnik;Tnn;Tnpo3;Tnrc6b;Tnrc6c;Tns3;Tob1;Tonsl;Topors;Tor4a;Tpsab1;Trabd;Trarg1;Trem3;Trgv3;Trim14;Trim21;Trim28;Trim30c;Trim40;Trim62;Trim9;Trip12;Trmt1;Trmt2a;Trpc4;Trpc5os;Trpm1;Trpm2;Trpv4;Trpv6;Tsc22d4;Tsg101;Tshz2;Tsnaxip1;Tspan10;Tspan3;Tssk4;Ttc21a;Ttc23;Ttc24;Ttc39c;Ttc7;Ttf2;Ttll3;Tubgcp2;Tubgcp5;Tubgcp6;Txndc15;Txndc2;Txndc5;Tyms;Uba1;Uba3;Uba7;Ubash3b;Ube2b;Ube2d2a;Ube4b;Ubl7;Ubr4;Unc13b;Unc5d;Unk;Upf1;Upk3a;Ush1c;Ush2a;Usp11;Usp17lc;Usp17ld;Usp2;Usp20;Usp22;Usp25;Usp29;Usp3;Usp34;Ust;Uxs1;Vamp5;Vasn;Vav1;Vcan;Vcl;Veph1;Vgll1;Vmn1r15;Vmn1r174;Vmn1r18;Vmn1r218;Vmn1r22;Vmn1r30;Vmn1r50;Vmn1r72;Vmn1r74;Vmn2r104;Vmn2r106;Vmn2r121;Vmn2r128;Vmn2r23;Vmn2r44;Vmn2r6;Vmn2r73;Vmn2r81;Vnn1;Vnn3;Vpreb1;Vps11;Vps18;Vps4a;Vps9d1;Vstm5;Vwa8;Vwc2;Washc2;Wdhd1;Wdr17;Wdr4;Wdr46;Wdr59;Wdr81;Wdr90;Wfs1;Whrn;Wnt16;Wscd1;Xcl1;Xirp2;Xkr8;Xrra1;Yeats4;Yipf5;Zbtb16;Zbtb22;Zbtb38;Zbtb40;Zbtb7b;Zc3h12c;Zc4h2;Zcchc24;Zdhhc22;Zdhhc23;Zer1;Zfc3h1;Zfhx2;Zfhx4;Zfp101;Zfp112;Zfp236;Zfp267;Zfp300;Zfp365;Zfp36l1;Zfp36l3;Zfp398;Zfp438;Zfp607a;Zfp608;Zfp618;Zfp623;Zfp626;Zfp644;Zfp677;Zfp68;Zfp687;Zfp69;Zfp777;Zfp831;Zfp865;Zfp955b;Zfp957;Zfp978;Zfpm2;Zfr2;Zfyve1;Zfyve26;Zic1;Zic5;Zkscan17;Zpld1;Zranb3;Zrsr2;Zscan20;Zswim2;Zyg11b,Aatk;Bmper;Cep170b;Cldn18;Dennd1c;Ezh1;Foxp4;Kndc1;Otog;Pkp4;Plce1;Ppp1r14d;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2,24,Aatk;Arid2;Bmper;Cep170b;Cldn18;Dennd1c;Erbb2;Ezh1;Foxp4;Kndc1;Lrp1b;Otog;Pkp4;Plce1;Ppp1r14d;Ptch1;Rad51b;Rasd2;Spats2l;Srgap1;Tmprss9;Ube2d2a;Usp3;Xirp2
2,168,2,166,2310034C09Rik;2610005L07Rik;Abcb11;Abcb4;Adam20;Adamts7;Adgrv1;Ash1l;Asic4;Baiap2l2;Blm;Bmpr2;Brpf3;C1s1;Cacna1h;Calhm4;Camk2g;Cars;Cdh1;Cdh11;Cep250;Clgn;Cnot1;Col6a3;Col7a1;Cped1;Cplane1;Csnk2b;Cul3;Cul9;Cx3cr1;Cyp24a1;Cyp2b19;Cyp2b9;Deup1;Disp3;Dmrtc1b;Dpy19l4;Dusp8;Eef2;Efcab6;Eif4g3;Enc1;Epha4;Eya2;F5;Fbxw25;Fgfr2;Folh1;Foxa1;Foxp2;Gli2;Gls2;Gm11563;Gm11595;Gm11596;Gm1989;Gm2022;Gm49918;Gm8159;Gpd2;Grm3;Grm8;Gsto2;Gucy2d;Hdhd5;Hectd4;Helz;Herc6;Hmmr;Hnrnpu;Ighmbp2;Ints6;Itpr3;Kcna7;Kcnk3;Kdm2a;Kif1b;Klhl40;Krt81;Krtap13;Krtap21-1;Krtap4-2;Krtap4-7;Krtap9-1;Lats1;Lpin2;Lrig1;Ltf;Lyst;Mamld1;Micall2;Morc1;Mst1r;Muc5b;Muc6;Mycbp2;Myo7a;Neurl4;Nlrp4b;Nras;Nwd1;Obscn;Olfr1228;Olfr292;Ophn1;Ovgp1;Paxip1;Pcsk7;Pecam1;Phf13;Plekhg1;Plk2;Ppl;Prdm9;Psme1;Rapgef3;Rcn3;Rexo5;Rgs12;Rgs3;Rpgrip1;Rpl10;Sarm1;Scamp4;Scn10a;Scn2a;Setd2;Setx;Sfmbt2;Sh3tc1;Slc14a1;Slc26a1;Slc34a1;Slc4a8;Slc5a10;Smad4;Smr3a;Snu13;Snx25;Stab1;Stag3;Syne3;Szt2;Taar7a;Taf2;Tenm3;Tgm7;Tln1;Tmprss13;Tns1;Tnxb;Trappc9;Trio;Tro;Ttc22;Ube2j1;Unc13c;Usp24;Usp37;Vmn1r211;Vmn2r10;Vmn2r116;Vmn2r82;Wdr75;Wdr78;Wdr89;Zfp729b,Folh1;Ophn1,6,Csmd2;Folh1;Huwe1;Ophn1;Pard3;Psme4
3,63,0,63,1700013H16Rik;2310057N15Rik;Abcc2;Adcy10;AW822073;Bahcc1;Bud13;Card11;Cdkn2a;Cdv3;Cntnap4;Col12a1;Copb2;D6Ertd527e;Dchs1;Dclre1a;Dnah10;Dnah5;Duxf3;Epha2;Ephb2;Gm10220;Gm10354;Gm11168;Gm45618;H2bc15;H2bc7;H2bc9;Hmcn2;Hsp90ab1;Kcnh5;Kdm6a;Kdr;Krt5;Krt6a;Krt82;Krtap1-3;Krtap4-9;Lrrc37a;Myh10;Nf1;Nlrp6;Pcdha1;Prex2;Prpmp5;Rbm12;Ripk2;Ros1;Sirpb1b;Slc39a6;Sp140;Sparcl1;Speer4f2;Synm;Tecpr1;Tnr;Tsc1;Vmn2r114;Wdr41;Wnk1;Zfp457;Zfp458;Zscan18,,0,
4,32,0,32,2300002M23Rik;AC167036.1;Akt1;Arcn1;Atp2a2;Atrx;Aurka;Brca2;Crebbp;Ctcf;Dclk1;Dicer1;Erbb4;Fbxo21;Fscb;Gm10722;Gm11559;Gm13212;Gm42416;Gm5591;Krtap9-5;Mageb4;Nfe2l2;Peg10;Ran;Rasa1;Rptn;Sall1;Slit3;Vmn2r89;Zfp750;Zfp982,,0,
5,30,1,29,Adam10;Arid1a;Braf;Cacna1d;Chuk;Cobll1;Cyp3a44;Dmxl2;Gcn1;Gtf3c5;H2bc13;H2bc21;H2bc4;H2bc8;Hist1h2bp;Irf6;Kit;Krtap4-6;Notch3;Ptch1;Rrs1;Scn1a;Scn5a;Sfi1;Tgfbr2;Ttn;Vmn2r115;Wnk2;Wwc1;Zfp423,Ptch1,0,
6,18,0,18,Abcb1a;Ajuba;Atm;Bicra;Brpf1;Dnm2;Egfr;Gm15114;Gm21738;Hmcn1;Kdm5b;Krtap5-2;Mtor;Myof;Plcb1;Scn9a;Spen;Vmn2r-ps159,,0,
7,24,2,22,Akap9;Apob;C130026I21Rik;Ddr2;Dnmt3a;Erbb3;Fat1;Fn1;Gm10800;H2bc1;H2bu2;Mllt3;Muc4;Nup214;Pard3;Pkhd1;Psme4;Rhbdf2;Scn11a;Scn4a;Trp63;Usp9x;Vhl;Zfp521,Pard3;Psme4,0,
8,17,1,16,Bcl11b;Eif2d;Gm10471;Gm11555;Insrr;Iqgap1;Lrp1b;Lrp2;Mcm7;Myh9;Nf2;Notch4;Pcdha5;Pten;Ptprt;Sf3a3;Spin2f,Lrp1b,0,
9,13,1,12,Aff3;Erbb2;Fat4;Flt3;Gm10801;Grin2a;Kmt2c;Lrp1;Nsd1;Rexo1;Scn3a;Smarca4;Vps13b,Erbb2,0,
10,9,2,7,Arid2;Arid5b;Bbs9;Ep300;Huwe1;Krtap4-16;Nav3;Vmn2r117;Zfhx3,Arid2;Huwe1,0,
