Gene,Candidate group,Median VAF,Empiric P-value
Cep170b,Initiation,0.053,0.37246275372462756
Ube2d2a,Initiation,0.053,0.37246275372462756
Ophn1,Initiation,0.053500000000000006,0.31666833316668336
Dennd1c,Initiation,0.055,0.24127587241275872
Rasd2,Initiation,0.055,0.24127587241275872
Folh1,Initiation,0.057499999999999996,0.11158884111588842
Bmper,Initiation,0.061,0.0370962903709629
Srgap1,Initiation,0.063,0.0184981501849815
Xirp2,Initiation,0.063,0.0184981501849815
Cldn18,Initiation,0.065,0.0052994700529947
Plce1,Initiation,0.065,0.0052994700529947
Ppp1r14d,Initiation,0.067,0.0018998100189981002
Tmprss9,Initiation,0.071,2.9997000299970003e-4
Otog,Initiation,0.072,9.999000099990002e-5
Rad51b,Initiation,0.073,9.999000099990002e-5
Aatk,Initiation,0.077,9.999000099990002e-5
Ezh1,Initiation,0.077,9.999000099990002e-5
Usp3,Initiation,0.082,9.999000099990002e-5
Kndc1,Initiation,0.083,9.999000099990002e-5
Spats2l,Initiation,0.083,9.999000099990002e-5
Foxp4,Initiation,0.097,9.999000099990002e-5
Pkp4,Initiation,0.097,9.999000099990002e-5
Arid2,I+P,0.061,0.0370962903709629
Pard3,Predisposition,0.0495,0.6036396360363964
Huwe1,Predisposition,0.0505,0.5365463453654634
Ptch1,Predisposition,0.067,0.0018998100189981002
Erbb2,Predisposition,0.068,0.0011998800119988001
Csmd2,Predisposition,0.0715,9.999000099990002e-5
Lrp1b,Predisposition,0.075,9.999000099990002e-5
Psme4,Predisposition,0.079,9.999000099990002e-5
