gene_symbol,recurrence_n_skin_samples,gene_level_mean_vaf
1110059E24Rik,1,0.059
1700013H16Rik,3,0.049666666666666665
1700057G04Rik,1,0.053
1810046K07Rik,1,0.088
2010300C02Rik,1,0.03
2300002M23Rik,4,0.03475
2310003L06Rik,1,0.097
2310034C09Rik,2,0.0295
2310050C09Rik,1,0.034
2310057N15Rik,3,0.026666666666666665
2410004P03Rik,1,0.071
2610005L07Rik,2,0.091
2700049A03Rik,1,0.091
3425401B19Rik,1,0.029
4930447A16Rik,1,0.043
4930516K23Rik,1,0.061
4930578I06Rik,1,0.071
4932438A13Rik,1,0.059
5430427O19Rik,1,0.088
6030458C11Rik,1,0.063
6430571L13Rik,1,0.1
6430628N08Rik,1,0.061
8030474K03Rik,1,0.031
9130008F23Rik,1,0.034
A3galt2,1,0.058
A530032D15Rik,1,0.037
A530064D06Rik,1,0.079
AC167036.1,4,0.04375
AU040320,1,0.1
AW822073,2,0.089
Aadac,1,0.097
Aadacl4fm5,1,0.064
Aars,1,0.026
Aatk,1,0.077
Abca1,1,0.045
Abca13,1,0.032
Abca16,1,0.059
Abcb1a,1,0.029
Abcb4,1,0.067
Abcc1,1,0.037
Abcc2,1,0.0415
Abcc3,1,0.053
Abcc9,1,0.05
Abcg4,1,0.083
Abcg8,1,0.073
Abhd13,1,0.025
Abhd16a,1,0.027
Abhd17b,1,0.053
Acad10,1,0.039
Acad11,1,0.067
Acadsb,1,0.037
Acan,1,0.036
Ache,1,0.077
Acin1,1,0.022
Acnat1,1,0.097
Acod1,1,0.034
Acot7,1,0.036
Acox1,1,0.088
Acp7,1,0.043
Acsbg1,1,0.036
Acsbg2,1,0.077
Acsbg3,1,0.048
Acsf2,1,0.028
Acss3,1,0.04
Acvrl1,1,0.05
Adam17,1,0.043
Adam20,2,0.051
Adam33,1,0.056
Adam9,1,0.033
Adamts15,1,0.047
Adamts20,1,0.083
Adamts5,1,0.053
Adamts7,2,0.074
Adamtsl3,1,0.038
Adcy3,1,0.039
Adcy4,1,0.052
Adcy6,1,0.1
Adcyap1r1,1,0.063
Add1,1,0.091
Add3,1,0.033
Adgrb2,1,0.088
Adgrv1,2,0.065
Adh5,1,0.022
Adipoq,1,0.056
Adora2b,1,0.036
Adprh,1,0.045
Adssl1,1,0.03
Afap1,1,0.063
Afdn,1,0.088
