sample_name,tissue,treatment,unique_pct,non_duplicate_mapped_reads,on_target_ratio,coverage,qcBasesMapped,y_plot_reads,above_cap_reads,y_plot_cov,above_cap_cov
hairfollicle19-a3-w19,Hair follicle,Acetone,4.684005082991482,4013120,0.28577108552267044,79.82,530688410,4013120,FALSE,79.82,FALSE
hairfollicle21-f3-w17,Hair follicle,DT,2.524796861051998,2137730,0.3803830526108726,54.23,270865038,2137730,FALSE,54.23,FALSE
hairfollicle19-a4-w19,Hair follicle,Acetone,5.374781163253281,5475959,0.3069737009119526,114.59,709220866,5475959,FALSE,114.59,FALSE
hairfollicle21-f3-w8,Hair follicle,DT,1.1406934099600265,3344265,0.19299774019488347,40.47,398430375,3344265,FALSE,40.47,FALSE
hairfollicle19-b3-w19,Hair follicle,Acetone,8.07251906364972,6444340,0.4180184552938696,190.4,865394727,6444340,FALSE,190.4,FALSE
hairfollicle19-b4-w19,Hair follicle,Acetone,4.630430565071198,4154116,0.16640425107213253,45.31,517364451,4154116,FALSE,45.31,FALSE
hairfollicle21-f4-w17,Hair follicle,DT,5.59916735409451,15546617,0.27259155355032966,261.67,1823834842,15546617,FALSE,261.67,FALSE
hairfollicle21-b5-w14,Hair follicle,DT,3.577258397148333,13640338,0.10012851653900567,92.7,1758884123,13640338,FALSE,92.7,FALSE
hairfollicle21-f4-w19,Hair follicle,DT,0.9619673671888463,1778487,0.20439775436888108,19.78,183877573,1778487,FALSE,19.78,FALSE
hairfollicle21-f4-w8,Hair follicle,DT,1.5003414181953925,1823824,0.2071705369926309,23.38,214368938,1823824,FALSE,23.38,FALSE
hairfollicle21-b5-w17,Hair follicle,DT,2.8432588833657735,3053212,0.200655817869083,41.11,389291314,3053212,FALSE,41.11,FALSE
hairfollicle21-f5-w17,Hair follicle,DT,3.877776060598248,3303029,0.218152806787753,50.48,439614110,3303029,FALSE,50.48,FALSE
hairfollicle21-b5-w8,Hair follicle,DT,3.068430881420526,7502685,0.1217027401342158,61.02,952558413,7502685,FALSE,61.02,FALSE
hairfollicle21-f6-w14,Hair follicle,DT,1.5910430856847961,3827018,0.1731343930547638,38.21,419270751,3827018,FALSE,38.21,FALSE
hairfollicle21-f6-w17,Hair follicle,DT,2.346030950909272,4212417,0.22322791775964848,54.51,463970439,4212417,FALSE,54.51,FALSE
hairfollicle21-b6-w14,Hair follicle,DT,3.7081845064534766,13556203,0.046859647342640975,39.65,1607616644,13556203,FALSE,39.65,FALSE
hairfollicle21-f6-w19,Hair follicle,DT,2.559727120353089,4288025,0.23370638632535723,64.01,520394611,4288025,FALSE,64.01,FALSE
hairfollicle21-f6-w8,Hair follicle,DT,7.922962344158143,13233856,0.08319044049744721,57.75,1318872978,13233856,FALSE,57.75,FALSE
hairfollicle21-b6-w17,Hair follicle,DT,5.007910777927377,4869287,0.17232238636681219,57.82,637525259,4869287,FALSE,57.82,FALSE
hairfollicle21-f7-w14,Hair follicle,DT,0.7948147208085636,1672194,0.23396366350961162,18.77,152444497,1672194,FALSE,18.77,FALSE
hairfollicle21-b6-w8,Hair follicle,DT,1.4178414551586374,4941353,0.1991557852887747,63.6,606777628,4941353,FALSE,63.6,FALSE
hairfollicle21-f7-w17,Hair follicle,DT,1.3416465140001492,1308365,0.14677424932714594,7.8,100917130,1308365,FALSE,7.8,FALSE
hairfollicle21-f7-w19,Hair follicle,DT,0.8022613249944461,1937034,0.20443514137225124,23.74,220637747,1937034,FALSE,23.74,FALSE
hairfollicle21-b7-w14,Hair follicle,DT,2.3601861513125195,2634185,0.10162307934891791,6.23,116432262,2634185,FALSE,6.23,FALSE
