sample_name,tissue,treatment,unique_pct,non_duplicate_mapped_reads,on_target_ratio,coverage,qcBasesMapped,last_cycle
hairfollicle03-a3,Hair follicle,DT,21.253992752442464,11440965,0.5807421052465191,7.29,619670299,TRUE
hairfollicle03-c5,Hair follicle,DT,6.04479898479865,2339034,0.5092187055009265,1.3,125789136,TRUE
hairfollicle03-e6,Hair follicle,DT,31.573278067390387,7158430,0.6101488261357689,4.37,353895569,TRUE
hairfollicle03-e7,Hair follicle,DT,10.415102743632502,2300892,0.4141499287390743,0.93,110717759,TRUE
skin03-a3,Skin,DT,75.31956735496559,6128,0.7821270286386566,0,310245,TRUE
skin03-c5,Skin,DT,69.32424374647039,18507745,0.76033608363661,14.44,937769429,TRUE
skin03-f5,Skin,DT,67.46454398281188,19737118,0.7506338636620543,15.21,1000303043,TRUE
skin03-e6,Skin,DT,74.67505632278649,20313872,0.7630865957662233,15.94,1031411510,TRUE
skin03-f6,Skin,DT,67.59197317643057,20029962,0.7837859483704389,16.07,1012352321,TRUE
skin03-g6,Skin,DT,70.41778726469539,21815246,0.7705681336034793,17.24,1104284056,TRUE
skin03-e7,Skin,DT,75.84681461054767,24692513,0.7731133777085424,19.63,1253319165,TRUE
skin03-f7,Skin,DT,67.06383162982996,20289049,0.7626339838216064,15.88,1027731825,TRUE
skin04-g2,Skin,DT,71.99409245207077,23353317,0.7880516659143673,18.89,1183613389,TRUE
skin04-b5,Skin,DT,66.91397564771927,20648241,0.77030591433416,16.33,1046321451,TRUE
skin04-b6,Skin,DT,74.37801635495582,20076434,0.7844997427106442,16.16,1016771561,TRUE
skin05-a6,Skin,DT,71.98261204055821,22773848,0.7786270356051994,18.2,1154221789,TRUE
skin05-b6,Skin,DT,73.86618913554379,25998379,0.7809759030737605,20.81,1315347430,TRUE
skin05-b7,Skin,DT,66.34505317383977,26029164,0.7788582154175047,20.76,1315926737,TRUE
skin09-b2,Skin,Acetone,71.06394263083085,28628444,0.799794165748178,23.5,1450396119,TRUE
hairfollicle03-f5,Hair follicle,DT,5.3273466748413565,1467775,0.3494824048893459,0.52,73260352,TRUE
hairfollicle03-f6-t2,Hair follicle,DT,35.649067258899116,12828627,0.5796229077224946,8.07,687495861,TRUE
hairfollicle03-g6-t2,Hair follicle,DT,13.676114205689581,2779691,0.4377208404599463,1.2,135533645,TRUE
hairfollicle03-f7-t2,Hair follicle,DT,9.48096192055686,1212453,0.49285801681831853,0.57,57047320,TRUE
hairfollicle04-g2-t2,Hair follicle,DT,23.474872207327483,6862477,0.5802568671506282,4.29,364921477,TRUE
hairfollicle04-b5-t2,Hair follicle,DT,11.322658058779727,2468428,0.49928258658781,1.31,129184928,TRUE
hairfollicle04-b6-t2,Hair follicle,DT,11.387047194653778,2715023,0.5084971101279699,1.47,142887815,TRUE
hairfollicle05-a6-t2,Hair follicle,DT,24.213329884413575,5593978,0.5832086012,3.52,297882342,TRUE
hairfollicle05-b6-t2,Hair follicle,DT,31.69650622727769,7594810,0.46946681693507625,3.87,407454014,TRUE
hairfollicle05-c6,Hair follicle,DT,21.706410716891202,17929576,0.4470791668359118,8.71,961401351,TRUE
hairfollicle05-b7-t2,Hair follicle,DT,14.66466073220085,1743246,0.35972292640177367,0.66,89935238,TRUE
hairfollicle09-b2-t2,Hair follicle,Acetone,16.329841482459287,5841223,0.44950013242757875,2.79,306205100,TRUE
hairfollicle09-a4-t2,Hair follicle,Acetone,16.423601379991585,4403361,0.559388337630638,2.57,226863523,TRUE
skin05-c6,Skin,DT,74.98956019414906,27769639,0.7380398179740637,22.52,1506300946,TRUE
skin09-a4,Skin,Acetone,73.06482989958637,33456824,0.735563341569256,27,1811897374,TRUE
hairfollicle04-c2-t3,Hair follicle,DT,35.61735377280034,109838814,0.8032322209285448,243.05,14937876546,TRUE
hairfollicle04-c4-t3,Hair follicle,DT,37.405499367903836,117550498,0.3927631878912133,129.71,16303186766,TRUE
hairfollicle04-c5-t3,Hair follicle,DT,43.15332626331435,116816005,0.7447396983748338,247.02,16374107777,TRUE
hairfollicle04-c6-t3,Hair follicle,DT,25.551496400614347,67800400,0.691000379513967,131.97,9428019285,TRUE
skin04-c2-t2,Skin,DT,41.78482197576809,148153810,0.8540828365716843,339.82,19641859132,TRUE
skin04-c4-t2,Skin,DT,43.2535525879156,114989509,0.8564138344785571,268.71,15489776121,TRUE
skin04-c5-t2,Skin,DT,37.33128108365845,116877564,0.8577057197780222,265.26,15267866246,TRUE
skin04-c6-t2,Skin,DT,29.26118238772325,107547118,0.8452379425678392,241.86,14126227457,TRUE
hairfollicle05-b1-t3,Hair follicle,DT,8.664403299577563,18251019,0.6175546198501519,31.16,2490775874,TRUE
hairfollicle05-b5-t3,Hair follicle,DT,13.927973338961001,33734013,0.6947457199568365,66.05,4693201618,TRUE
hairfollicle05-c7-t2,Hair follicle,DT,11.550487511199078,26753442,0.6057771311934659,43.25,3524415167,TRUE
hairfollicle05-e5-t3,Hair follicle,DT,36.83855941392531,102516314,0.6644134807762353,184.75,13727497495,TRUE
skin05-b1-t2,Skin,DT,45.99322379272205,128261512,0.8693682089396847,296.21,16820586690,TRUE
skin05-b5-t2,Skin,DT,42.390162700065304,135199683,0.8680705244489587,310.82,17676137317,TRUE
skin05-e5-t2,Skin,DT,31.148472222667053,120108878,0.8518727174726507,271.58,15738717495,TRUE
skin05-c7-t2,Skin,DT,56.29423841625249,230521961,0.6588300991632906,400.92,30041374309,TRUE
