sample_name,tissue,time,category,muts_per_mbp
hairfollicle21-b5-w17,Hair follicle,Week 17,Visually normal,3.965188814360962
hairfollicle21-b5-w8,Hair follicle,Week 8,Visually normal,0.6688441258764645
hairfollicle21-b6-w14,Hair follicle,Week 14,SCC,8.124454830616196
hairfollicle21-b6-w17,Hair follicle,Week 17,SCC,0.8930788177779841
hairfollicle21-b6-w8,Hair follicle,Week 8,SCC,2.4747482871648416
hairfollicle21-b7-w14,Hair follicle,Week 14,SCC,0
hairfollicle21-b7-w17,Hair follicle,Week 17,SCC,0
hairfollicle21-b7-w8,Hair follicle,Week 8,SCC,9.374935547318112
hairfollicle21-c1-w17,Hair follicle,Week 17,Visually normal,3.227579306554586
hairfollicle21-c2-w17,Hair follicle,Week 17,Visually normal,0.5921979694123827
hairfollicle21-c3-w17,Hair follicle,Week 17,Visually normal,1.229446422077317
hairfollicle21-c5-w14,Hair follicle,Week 14,Visually normal,2.3704389790993408
hairfollicle21-c5-w17,Hair follicle,Week 17,Visually normal,2.9587564149537524
hairfollicle21-c6-w14,Hair follicle,Week 14,SCC,1.5634577780794199
hairfollicle21-c6-w17,Hair follicle,Week 17,SCC,1.3881022975869228
hairfollicle21-c6-w8,Hair follicle,Week 8,SCC,1.4117225202917465
hairfollicle21-c7-w14,Hair follicle,Week 14,SCC,11.846469752013899
hairfollicle21-c7-w17,Hair follicle,Week 17,SCC,1.345771853989137
hairfollicle21-c7-w8,Hair follicle,Week 8,SCC,5.085397515744195
hairfollicle21-d1-w14,Hair follicle,Week 14,Visually normal,0
hairfollicle21-d1-w17,Hair follicle,Week 17,Papilloma,4.425928800236009
hairfollicle21-d1-w8,Hair follicle,Week 8,Visually normal,3.2368260621198264
hairfollicle21-d2-w17,Hair follicle,Week 17,Papilloma,1.1276785890485495
hairfollicle21-d2-w8,Hair follicle,Week 8,Papilloma,1.555767255144274
hairfollicle21-d3-w17,Hair follicle,Week 17,Visually normal,0
hairfollicle21-d3-w8,Hair follicle,Week 8,Visually normal,1.1818393833004521
hairfollicle21-d4-w14,Hair follicle,Week 14,Visually normal,1.13770820060071
hairfollicle21-d4-w17,Hair follicle,Week 17,Visually normal,1.8986023657753848
hairfollicle21-d4-w8,Hair follicle,Week 8,Visually normal,0.9922618459940157
hairfollicle21-d5-w17,Hair follicle,Week 17,Papilloma,1.3655475094461749
