gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
1,1,Hair follicle,291,1.098901098901099
2,2,Hair follicle,1333,5.033797817302972
2,2,Skin,1,0.0037762924360862505
3,3,Hair follicle,1184,4.471130244326121
3,3,Skin,1,0.0037762924360862505
4,4,Hair follicle,1346,5.082889618972093
4,4,Skin,6,0.022657754616517502
5,5,Hair follicle,1145,4.323854839318757
5,5,Skin,1,0.0037762924360862505
6,6,Hair follicle,1173,4.429591027529172
6,6,Skin,9,0.03398663192477625
7,7,Hair follicle,1028,3.8820286242966655
7,7,Skin,17,0.06419697141346625
8,8,Hair follicle,869,3.281598126958952
8,8,Skin,260,0.9818360333824251
9,9,Hair follicle,853,3.2211774479815714
9,9,Skin,289,1.0913485140289263
10,10,Hair follicle,714,2.696272799365583
10,10,Skin,225,0.8496657981194063
11,11,Hair follicle,625,2.3601827725539066
11,11,Skin,257,0.9705071560741664
12,12,Hair follicle,579,2.186473320493939
12,12,Skin,197,0.7439296099089913
13,13,Hair follicle,445,1.6804501340583815
13,13,Skin,193,0.7288244401646463
14,14,Hair follicle,399,1.506740681998414
14,14,Skin,164,0.6193119595181451
15,15-49,Hair follicle,325,1.2272950417280315
15,15-49,Skin,175,0.6608511763150938
16,15-49,Hair follicle,278,1.0498092972319777
16,15-49,Skin,179,0.6759563460594389
17,15-49,Hair follicle,276,1.042256712359805
17,15-49,Skin,111,0.4191684604055738
18,15-49,Hair follicle,237,0.8949813073524413
18,15-49,Skin,124,0.46826026207469507
19,15-49,Hair follicle,208,0.7854688267059401
19,15-49,Skin,163,0.6155356670820589
20,15-49,Hair follicle,198,0.7477059023450776
20,15-49,Skin,79,0.2983271024508138
21,15-49,Hair follicle,167,0.6306408368264038
21,15-49,Skin,92,0.34741890411993503
22,15-49,Hair follicle,178,0.6721800536233526
22,15-49,Skin,91,0.3436426116838488
23,15-49,Hair follicle,135,0.5097994788716438
23,15-49,Skin,119,0.44937879989426377
24,15-49,Hair follicle,152,0.5739964502851101
24,15-49,Skin,58,0.21902496129300253
25,15-49,Hair follicle,126,0.47581284694686754
25,15-49,Skin,54,0.20391979154865755
26,15-49,Hair follicle,118,0.44560250745817753
26,15-49,Skin,46,0.17370945205996752
27,15-49,Hair follicle,99,0.3738529511725388
27,15-49,Skin,60,0.22657754616517506
28,15-49,Hair follicle,117,0.4418262150220913
28,15-49,Skin,52,0.19636720667648502
29,15-49,Hair follicle,97,0.3663003663003663
29,15-49,Skin,54,0.20391979154865755
30,15-49,Hair follicle,93,0.3511951965560213
30,15-49,Skin,48,0.18126203693214002
31,15-49,Hair follicle,77,0.2907745175786413
31,15-49,Skin,39,0.14727540500736377
32,15-49,Hair follicle,81,0.3058796873229863
32,15-49,Skin,47,0.17748574449605378
33,15-49,Hair follicle,89,0.3360900268116763
33,15-49,Skin,42,0.1586042823156225
34,15-49,Hair follicle,62,0.23413013103734753
34,15-49,Skin,50,0.18881462180431252
35,15-49,Hair follicle,65,0.24545900834560627
35,15-49,Skin,42,0.1586042823156225
36,15-49,Hair follicle,74,0.27944564027038254
36,15-49,Skin,31,0.11706506551867377
37,15-49,Hair follicle,58,0.21902496129300253
37,15-49,Skin,31,0.11706506551867377
38,15-49,Hair follicle,47,0.17748574449605378
38,15-49,Skin,26,0.09818360333824251
39,15-49,Hair follicle,60,0.22657754616517506
39,15-49,Skin,36,0.135946527699105
40,15-49,Hair follicle,64,0.24168271590952004
40,15-49,Skin,28,0.10573618821041501
41,15-49,Hair follicle,72,0.27189305539821
41,15-49,Skin,22,0.08307843359389751
42,15-49,Hair follicle,66,0.2492353007816925
42,15-49,Skin,28,0.10573618821041501
43,15-49,Hair follicle,51,0.1925909142403988
43,15-49,Skin,41,0.15482798987953628
44,15-49,Hair follicle,53,0.20014349911257126
44,15-49,Skin,32,0.12084135795476002
45,15-49,Hair follicle,48,0.18126203693214002
45,15-49,Skin,46,0.17370945205996752
46,15-49,Hair follicle,46,0.17370945205996752
46,15-49,Skin,29,0.10951248064650126
47,15-49,Hair follicle,54,0.20391979154865755
47,15-49,Skin,19,0.07174955628563877
48,15-49,Hair follicle,48,0.18126203693214002
48,15-49,Skin,22,0.08307843359389751
49,15-49,Hair follicle,42,0.1586042823156225
49,15-49,Skin,16,0.06042067897738001
50,50-99,Hair follicle,47,0.17748574449605378
50,50-99,Skin,11,0.041539216796948754
51,50-99,Hair follicle,54,0.20391979154865755
51,50-99,Skin,32,0.12084135795476002
52,50-99,Hair follicle,45,0.16993315962388128
52,50-99,Skin,19,0.07174955628563877
53,50-99,Hair follicle,55,0.2076960839847438
53,50-99,Skin,16,0.06042067897738001
54,50-99,Hair follicle,50,0.18881462180431252
54,50-99,Skin,17,0.06419697141346625
55,50-99,Hair follicle,50,0.18881462180431252
55,50-99,Skin,14,0.05286809410520751
56,50-99,Hair follicle,58,0.21902496129300253
56,50-99,Skin,17,0.06419697141346625
57,50-99,Hair follicle,36,0.135946527699105
57,50-99,Skin,13,0.049091801669121256
58,50-99,Hair follicle,34,0.1283939428269325
58,50-99,Skin,15,0.056644386541293765
59,50-99,Hair follicle,37,0.13972282013519127
59,50-99,Skin,6,0.022657754616517502
60,50-99,Hair follicle,33,0.12461765039084625
60,50-99,Skin,17,0.06419697141346625
61,50-99,Hair follicle,32,0.12084135795476002
61,50-99,Skin,14,0.05286809410520751
62,50-99,Hair follicle,28,0.10573618821041501
62,50-99,Skin,17,0.06419697141346625
63,50-99,Hair follicle,29,0.10951248064650126
63,50-99,Skin,23,0.08685472602998376
64,50-99,Hair follicle,32,0.12084135795476002
64,50-99,Skin,12,0.045315509233035005
65,50-99,Hair follicle,28,0.10573618821041501
65,50-99,Skin,10,0.03776292436086251
66,50-99,Hair follicle,35,0.13217023526301877
66,50-99,Skin,5,0.018881462180431255
67,50-99,Hair follicle,17,0.06419697141346625
67,50-99,Skin,15,0.056644386541293765
68,50-99,Hair follicle,32,0.12084135795476002
68,50-99,Skin,11,0.041539216796948754
69,50-99,Hair follicle,24,0.09063101846607001
69,50-99,Skin,9,0.03398663192477625
70,50-99,Hair follicle,28,0.10573618821041501
70,50-99,Skin,28,0.10573618821041501
71,50-99,Hair follicle,32,0.12084135795476002
71,50-99,Skin,7,0.026434047052603753
72,50-99,Hair follicle,23,0.08685472602998376
72,50-99,Skin,11,0.041539216796948754
73,50-99,Hair follicle,21,0.07930214115781126
73,50-99,Skin,9,0.03398663192477625
74,50-99,Hair follicle,31,0.11706506551867377
74,50-99,Skin,5,0.018881462180431255
75,50-99,Hair follicle,17,0.06419697141346625
75,50-99,Skin,7,0.026434047052603753
76,50-99,Hair follicle,25,0.09440731090215626
76,50-99,Skin,9,0.03398663192477625
77,50-99,Hair follicle,23,0.08685472602998376
77,50-99,Skin,10,0.03776292436086251
78,50-99,Hair follicle,19,0.07174955628563877
78,50-99,Skin,3,0.011328877308258751
79,50-99,Hair follicle,30,0.11328877308258753
79,50-99,Skin,5,0.018881462180431255
80,50-99,Hair follicle,19,0.07174955628563877
80,50-99,Skin,8,0.030210339488690004
81,50-99,Hair follicle,24,0.09063101846607001
81,50-99,Skin,6,0.022657754616517502
82,50-99,Hair follicle,16,0.06042067897738001
82,50-99,Skin,10,0.03776292436086251
83,50-99,Hair follicle,18,0.0679732638495525
83,50-99,Skin,9,0.03398663192477625
84,50-99,Hair follicle,18,0.0679732638495525
84,50-99,Skin,11,0.041539216796948754
85,50-99,Hair follicle,14,0.05286809410520751
85,50-99,Skin,5,0.018881462180431255
86,50-99,Hair follicle,21,0.07930214115781126
86,50-99,Skin,8,0.030210339488690004
87,50-99,Hair follicle,22,0.08307843359389751
87,50-99,Skin,3,0.011328877308258751
88,50-99,Hair follicle,12,0.045315509233035005
88,50-99,Skin,12,0.045315509233035005
89,50-99,Hair follicle,19,0.07174955628563877
89,50-99,Skin,2,0.007552584872172501
90,50-99,Hair follicle,14,0.05286809410520751
90,50-99,Skin,8,0.030210339488690004
91,50-99,Hair follicle,17,0.06419697141346625
91,50-99,Skin,9,0.03398663192477625
92,50-99,Hair follicle,23,0.08685472602998376
92,50-99,Skin,5,0.018881462180431255
93,50-99,Hair follicle,13,0.049091801669121256
93,50-99,Skin,7,0.026434047052603753
94,50-99,Hair follicle,19,0.07174955628563877
94,50-99,Skin,6,0.022657754616517502
95,50-99,Hair follicle,18,0.0679732638495525
95,50-99,Skin,7,0.026434047052603753
96,50-99,Hair follicle,23,0.08685472602998376
96,50-99,Skin,6,0.022657754616517502
97,50-99,Hair follicle,13,0.049091801669121256
