plot_morphology,plot_group,VARIANT_CLASS,mean_ratio,sd_ratio,se_ratio,n_samples
Acetone,Acetone HF,SNV,0.7386327464313792,0.06469582997683189,0.032347914988415945,4
Acetone,Acetone HF,deletion,0.13610146195780376,0.045924183369465126,0.022962091684732563,4
Acetone,Acetone HF,insertion,0.07598162522123315,0.03297605285989544,0.01648802642994772,4
Acetone,Acetone HF,substitution,0.049284166389583856,0.027498890643037448,0.013749445321518724,4
Acetone,Acetone Skin,SNV,0.7541943160608215,0.019550344762237642,0.009775172381118821,4
Acetone,Acetone Skin,deletion,0.13397898535611713,0.030216850819974883,0.015108425409987442,4
Acetone,Acetone Skin,insertion,0.022355408744249888,0.014415711395311052,0.007207855697655526,4
Acetone,Acetone Skin,substitution,0.08947128983881145,0.01726070470915653,0.008630352354578265,4
SCC,Week 8,SNV,0.7180496441459672,0.09973105518951934,0.03526025270969947,8
SCC,Week 8,deletion,0.22449212818456088,0.11250313354866451,0.03977586431849822,8
SCC,Week 8,insertion,0.03036115124181579,0.019908593044747284,0.007038750572912069,8
SCC,Week 8,substitution,0.027097076427656182,0.018457362200344638,0.006525662987339974,8
SCC,Week 14,SNV,0.7844563774572731,0.06794095302511502,0.027736777924988833,6
SCC,Week 14,deletion,0.16782602475250566,0.07926612541152184,0.03236026019094796,6
SCC,Week 14,insertion,0.039777184989487076,0.05156004162344212,0.021049298849015866,6
SCC,Week 14,substitution,0.00794041280073417,0.008803946566953488,0.0035941961352939575,6
SCC,Week 17,SNV,0.6113268951709397,0.24395256225333686,0.07714457377545629,10
SCC,Week 17,deletion,0.3202691349575948,0.25783295210632046,0.08153393845010808,10
SCC,Week 17,insertion,0.01881856645757226,0.022751347257247947,0.007194607717032831,10
SCC,Week 17,substitution,0.04958540341389332,0.044898078964249764,0.014198019209312287,10
SCC,Week 19,SNV,0.7592975206611571,0.013148679815452325,0.009297520661157022,2
SCC,Week 19,deletion,0.16880810950413225,0.006711305322470463,0.004745609504132234,2
SCC,Week 19,insertion,0.03996642561983472,0.00977019958509305,0.006908574380165289,2
SCC,Week 19,substitution,0.03192794421487604,0.010089785552829739,0.007134555785123967,2
SCC,Skin DT,SNV,0.644572157629005,0.2652537428777081,0.09378136016197013,8
SCC,Skin DT,deletion,0.3246981100615418,0.2764379647891744,0.09773557973991662,8
SCC,Skin DT,insertion,0.026096471188541904,0.02016053429197268,0.007127825255098906,8
SCC,Skin DT,substitution,0.0046332611209113,0.005275648366003632,0.0018652233673784485,8
Papilloma,Week 8,SNV,0.7565056200275108,0.08168497929016431,0.04716084478192537,3
Papilloma,Week 8,deletion,0.19254795421978685,0.09120215091218618,0.052655586379823566,3
