sample_name,tissue,treatment,time,category,callable_mbp,coverage,mutations
hairfollicle19-a3-w19,Hair follicle,Acetone,Week 19,Acetone,4.172357,79.82,62
hairfollicle19-a4-w19,Hair follicle,Acetone,Week 19,Acetone,4.992503,114.59,526
hairfollicle19-b3-w19,Hair follicle,Acetone,Week 19,Acetone,5.944238,190.4,59
hairfollicle19-b4-w19,Hair follicle,Acetone,Week 19,Acetone,1.43302,45.31,34
hairfollicle21-b5-w17,Hair follicle,DT,Week 17,Visually normal,1.260974,41.11,57
hairfollicle21-b5-w8,Hair follicle,DT,Week 8,Visually normal,4.48535,61.02,175
hairfollicle21-b6-w14,Hair follicle,DT,Week 14,SCC,2.707874,39.65,402
hairfollicle21-b6-w17,Hair follicle,DT,Week 17,SCC,2.239444,57.82,50
hairfollicle21-b6-w8,Hair follicle,DT,Week 8,SCC,4.040815,63.6,260
hairfollicle21-b7-w14,Hair follicle,DT,Week 14,SCC,0.317452,6.23,11
hairfollicle21-b7-w17,Hair follicle,DT,Week 17,SCC,0.726865,22.2,2
hairfollicle21-b7-w8,Hair follicle,DT,Week 8,SCC,1.600011,31.37,296
hairfollicle21-c1-w17,Hair follicle,DT,Week 17,Visually normal,5.576935,225.18,133
hairfollicle21-c2-w17,Hair follicle,DT,Week 17,Visually normal,3.377249,65.04,82
hairfollicle21-c3-w17,Hair follicle,DT,Week 17,Visually normal,4.066871,75.1,81
hairfollicle21-c5-w14,Hair follicle,DT,Week 14,Visually normal,8.015393,200.15,221
hairfollicle21-c5-w17,Hair follicle,DT,Week 17,Visually normal,4.055758,105.88,100
hairfollicle21-c6-w14,Hair follicle,DT,Week 14,SCC,39.016084,287.54,198
hairfollicle21-c6-w17,Hair follicle,DT,Week 17,SCC,0.720408,28.88,29
hairfollicle21-c6-w8,Hair follicle,DT,Week 8,SCC,4.250127,60.44,195
hairfollicle21-c7-w14,Hair follicle,DT,Week 14,SCC,0.25324,35.5,35
hairfollicle21-c7-w17,Hair follicle,DT,Week 17,SCC,0.743068,21.2,7
hairfollicle21-c7-w8,Hair follicle,DT,Week 8,SCC,2.556339,39.34,309
hairfollicle21-d1-w14,Hair follicle,DT,Week 14,Visually normal,0.386389,14.37,12
hairfollicle21-d1-w17,Hair follicle,DT,Week 17,Papilloma,6.552297,2106.89,114
hairfollicle21-d1-w8,Hair follicle,DT,Week 8,Visually normal,8.959394,155.52,519
hairfollicle21-d2-w17,Hair follicle,DT,Week 17,Papilloma,1.773555,37.92,42
hairfollicle21-d2-w8,Hair follicle,DT,Week 8,Papilloma,3.856618,56.96,203
hairfollicle21-d3-w17,Hair follicle,DT,Week 17,Visually normal,0.734405,27.93,15
