gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
1,1,Hair follicle,11,0.05155847199437544
2,2,Hair follicle,429,2.010780407780642
3,3,Hair follicle,426,1.9967190063276308
4,4,Hair follicle,286,1.3405202718537614
5,5,Hair follicle,225,1.0546051089758612
5,5,Skin,2,0.00937426763534099
6,6,Hair follicle,161,0.7546285446449497
6,6,Skin,19,0.0890555425357394
7,7,Hair follicle,137,0.6421373330208577
7,7,Skin,19,0.0890555425357394
8,8,Hair follicle,75,0.3515350363252871
8,8,Skin,589,2.760721818607921
9,9,Hair follicle,59,0.27654089524255915
9,9,Skin,531,2.4888680571830326
10,10,Hair follicle,51,0.2390438247011952
10,10,Skin,530,2.4841809233653622
11,11,Hair follicle,44,0.20623388797750175
11,11,Skin,436,2.0435903445043353
12,12,Hair follicle,39,0.1827982188891493
12,12,Skin,434,2.0342160768689945
13,13,Hair follicle,42,0.19685962034216076
13,13,Skin,398,1.8654792594328569
14,14,Hair follicle,46,0.21560815561284274
14,14,Skin,382,1.790485118350129
15,15-49,Hair follicle,58,0.27185376142488865
15,15-49,Skin,324,1.51863135692524
16,15-49,Hair follicle,71,0.3327865010546051
16,15-49,Skin,298,1.3967658776658074
17,15-49,Hair follicle,57,0.26716662760721815
17,15-49,Skin,266,1.2467775955003515
18,15-49,Hair follicle,102,0.4780876494023904
18,15-49,Skin,228,1.0686665104288726
19,15-49,Hair follicle,78,0.3655964377782986
19,15-49,Skin,240,1.1249121162409188
20,15-49,Hair follicle,87,0.407780642137333
20,15-49,Skin,186,0.871806890086712
21,15-49,Hair follicle,86,0.4030935083196625
21,15-49,Skin,167,0.7827513475509726
22,15-49,Hair follicle,90,0.4218420435903445
22,15-49,Skin,157,0.7358800093742677
23,15-49,Hair follicle,125,0.5858917272088119
23,15-49,Skin,151,0.7077572064682447
24,15-49,Hair follicle,128,0.5999531286618234
24,15-49,Skin,125,0.5858917272088119
25,15-49,Hair follicle,123,0.5765174595734709
25,15-49,Skin,92,0.4312163112256855
26,15-49,Hair follicle,128,0.5999531286618234
26,15-49,Skin,126,0.5905788610264824
27,15-49,Hair follicle,143,0.6702601359268807
27,15-49,Skin,103,0.4827747832200609
28,15-49,Hair follicle,144,0.6749472697445512
28,15-49,Skin,97,0.454651980314038
29,15-49,Hair follicle,156,0.7311928755565972
29,15-49,Skin,75,0.3515350363252871
30,15-49,Hair follicle,131,0.6140145301148348
30,15-49,Skin,66,0.3093508319662526
31,15-49,Hair follicle,148,0.6936958050152332
31,15-49,Skin,81,0.37965783923131
32,15-49,Hair follicle,144,0.6749472697445512
32,15-49,Skin,48,0.22498242324818374
33,15-49,Hair follicle,150,0.7030700726505742
33,15-49,Skin,46,0.21560815561284274
34,15-49,Hair follicle,141,0.6608858682915397
34,15-49,Skin,39,0.1827982188891493
35,15-49,Hair follicle,126,0.5905788610264824
35,15-49,Skin,46,0.21560815561284274
36,15-49,Hair follicle,154,0.7218186079212562
36,15-49,Skin,28,0.13123974689477383
37,15-49,Hair follicle,139,0.6515116006561987
37,15-49,Skin,22,0.10311694398875088
38,15-49,Hair follicle,116,0.5437075228497773
38,15-49,Skin,31,0.14530114834778535
39,15-49,Hair follicle,131,0.6140145301148348
39,15-49,Skin,56,0.26247949378954766
40,15-49,Hair follicle,119,0.5577689243027889
40,15-49,Skin,17,0.0796812749003984
41,15-49,Hair follicle,104,0.4874619170377314
41,15-49,Skin,24,0.11249121162409187
42,15-49,Hair follicle,95,0.445277712678697
42,15-49,Skin,17,0.0796812749003984
43,15-49,Hair follicle,109,0.5108975861260838
43,15-49,Skin,27,0.12655261307710333
44,15-49,Hair follicle,103,0.4827747832200609
44,15-49,Skin,22,0.10311694398875088
45,15-49,Hair follicle,97,0.454651980314038
45,15-49,Skin,18,0.0843684087180689
46,15-49,Hair follicle,92,0.4312163112256855
46,15-49,Skin,11,0.05155847199437544
47,15-49,Hair follicle,92,0.4312163112256855
47,15-49,Skin,11,0.05155847199437544
48,15-49,Hair follicle,75,0.3515350363252871
48,15-49,Skin,12,0.056245605812045935
49,15-49,Hair follicle,72,0.3374736348722756
49,15-49,Skin,10,0.04687133817670495
50,50-99,Hair follicle,84,0.3937192406843215
50,50-99,Skin,7,0.03280993672369346
51,50-99,Hair follicle,74,0.3468479025076166
51,50-99,Skin,11,0.05155847199437544
52,50-99,Hair follicle,80,0.3749707054136396
52,50-99,Skin,9,0.04218420435903445
53,50-99,Hair follicle,77,0.3609093039606281
53,50-99,Skin,6,0.028122802906022967
54,50-99,Hair follicle,74,0.3468479025076166
54,50-99,Skin,6,0.028122802906022967
55,50-99,Hair follicle,61,0.2859151628779002
55,50-99,Skin,2,0.00937426763534099
56,50-99,Hair follicle,59,0.27654089524255915
56,50-99,Skin,13,0.060932739629716424
57,50-99,Hair follicle,50,0.2343566908835247
57,50-99,Skin,8,0.03749707054136396
58,50-99,Hair follicle,56,0.26247949378954766
58,50-99,Skin,8,0.03749707054136396
59,50-99,Hair follicle,69,0.3234122334192641
59,50-99,Skin,11,0.05155847199437544
60,50-99,Hair follicle,67,0.3140379657839231
60,50-99,Skin,10,0.04687133817670495
61,50-99,Hair follicle,59,0.27654089524255915
61,50-99,Skin,7,0.03280993672369346
62,50-99,Hair follicle,56,0.26247949378954766
62,50-99,Skin,7,0.03280993672369346
63,50-99,Hair follicle,61,0.2859151628779002
63,50-99,Skin,5,0.023435669088352474
64,50-99,Hair follicle,53,0.2484180923365362
64,50-99,Skin,2,0.00937426763534099
65,50-99,Hair follicle,50,0.2343566908835247
65,50-99,Skin,5,0.023435669088352474
66,50-99,Hair follicle,58,0.27185376142488865
66,50-99,Skin,2,0.00937426763534099
67,50-99,Hair follicle,49,0.2296695570658542
67,50-99,Skin,1,0.004687133817670495
68,50-99,Hair follicle,58,0.27185376142488865
68,50-99,Skin,5,0.023435669088352474
69,50-99,Hair follicle,42,0.19685962034216076
69,50-99,Skin,2,0.00937426763534099
70,50-99,Hair follicle,49,0.2296695570658542
70,50-99,Skin,3,0.014061401453011484
71,50-99,Hair follicle,40,0.1874853527068198
71,50-99,Skin,2,0.00937426763534099
72,50-99,Hair follicle,32,0.14998828216545584
72,50-99,Skin,3,0.014061401453011484
73,50-99,Hair follicle,36,0.1687368174361378
73,50-99,Skin,1,0.004687133817670495
74,50-99,Hair follicle,35,0.1640496836184673
74,50-99,Skin,4,0.01874853527068198
75,50-99,Hair follicle,26,0.12186547925943285
75,50-99,Skin,3,0.014061401453011484
76,50-99,Hair follicle,43,0.20154675415983125
76,50-99,Skin,2,0.00937426763534099
77,50-99,Hair follicle,37,0.1734239512538083
77,50-99,Skin,2,0.00937426763534099
78,50-99,Hair follicle,24,0.11249121162409187
78,50-99,Skin,1,0.004687133817670495
79,50-99,Hair follicle,37,0.1734239512538083
79,50-99,Skin,3,0.014061401453011484
80,50-99,Hair follicle,39,0.1827982188891493
80,50-99,Skin,4,0.01874853527068198
81,50-99,Hair follicle,34,0.1593625498007968
81,50-99,Skin,1,0.004687133817670495
82,50-99,Hair follicle,28,0.13123974689477383
82,50-99,Skin,8,0.03749707054136396
83,50-99,Hair follicle,33,0.1546754159831263
83,50-99,Skin,1,0.004687133817670495
84,50-99,Hair follicle,41,0.19217248652449026
84,50-99,Skin,2,0.00937426763534099
85,50-99,Hair follicle,35,0.1640496836184673
85,50-99,Skin,2,0.00937426763534099
86,50-99,Hair follicle,32,0.14998828216545584
87,50-99,Hair follicle,39,0.1827982188891493
87,50-99,Skin,2,0.00937426763534099
88,50-99,Hair follicle,23,0.10780407780642137
88,50-99,Skin,4,0.01874853527068198
89,50-99,Hair follicle,38,0.1781110850714788
89,50-99,Skin,1,0.004687133817670495
90,50-99,Hair follicle,26,0.12186547925943285
91,50-99,Hair follicle,35,0.1640496836184673
91,50-99,Skin,2,0.00937426763534099
92,50-99,Hair follicle,23,0.10780407780642137
93,50-99,Hair follicle,38,0.1781110850714788
93,50-99,Skin,1,0.004687133817670495
94,50-99,Hair follicle,42,0.19685962034216076
94,50-99,Skin,1,0.004687133817670495
95,50-99,Hair follicle,31,0.14530114834778535
95,50-99,Skin,2,0.00937426763534099
96,50-99,Hair follicle,30,0.14061401453011485
96,50-99,Skin,1,0.004687133817670495
97,50-99,Hair follicle,29,0.13592688071244433
97,50-99,Skin,3,0.014061401453011484
98,50-99,Hair follicle,33,0.1546754159831263
98,50-99,Skin,2,0.00937426763534099
99,50-99,Hair follicle,31,0.14530114834778535
99,50-99,Skin,4,0.01874853527068198
100,100-499,Hair follicle,40,0.1874853527068198
100,100-499,Skin,1,0.004687133817670495
101,100-499,Hair follicle,38,0.1781110850714788
101,100-499,Skin,1,0.004687133817670495
102,100-499,Hair follicle,37,0.1734239512538083
103,100-499,Hair follicle,36,0.1687368174361378
103,100-499,Skin,7,0.03280993672369346
104,100-499,Hair follicle,41,0.19217248652449026
105,100-499,Hair follicle,56,0.26247949378954766
105,100-499,Skin,1,0.004687133817670495
106,100-499,Hair follicle,42,0.19685962034216076
106,100-499,Skin,3,0.014061401453011484
107,100-499,Hair follicle,47,0.22029528943051324
107,100-499,Skin,1,0.004687133817670495
108,100-499,Hair follicle,48,0.22498242324818374
108,100-499,Skin,1,0.004687133817670495
109,100-499,Hair follicle,45,0.21092102179517225
110,100-499,Hair follicle,51,0.2390438247011952
110,100-499,Skin,3,0.014061401453011484
111,100-499,Hair follicle,48,0.22498242324818374
111,100-499,Skin,1,0.004687133817670495
112,100-499,Hair follicle,48,0.22498242324818374
112,100-499,Skin,1,0.004687133817670495
113,100-499,Hair follicle,44,0.20623388797750175
113,100-499,Skin,1,0.004687133817670495
114,100-499,Hair follicle,36,0.1687368174361378
115,100-499,Hair follicle,44,0.20623388797750175
115,100-499,Skin,1,0.004687133817670495
116,100-499,Hair follicle,55,0.25779235997187716
117,100-499,Hair follicle,47,0.22029528943051324
118,100-499,Hair follicle,53,0.2484180923365362
119,100-499,Hair follicle,51,0.2390438247011952
120,100-499,Hair follicle,49,0.2296695570658542
120,100-499,Skin,1,0.004687133817670495
121,100-499,Hair follicle,35,0.1640496836184673
121,100-499,Skin,1,0.004687133817670495
122,100-499,Hair follicle,47,0.22029528943051324
122,100-499,Skin,1,0.004687133817670495
123,100-499,Hair follicle,45,0.21092102179517225
124,100-499,Hair follicle,40,0.1874853527068198
124,100-499,Skin,2,0.00937426763534099
125,100-499,Hair follicle,36,0.1687368174361378
126,100-499,Hair follicle,51,0.2390438247011952
127,100-499,Hair follicle,42,0.19685962034216076
128,100-499,Hair follicle,48,0.22498242324818374
129,100-499,Hair follicle,49,0.2296695570658542
130,100-499,Hair follicle,43,0.20154675415983125
131,100-499,Hair follicle,44,0.20623388797750175
132,100-499,Hair follicle,43,0.20154675415983125
133,100-499,Hair follicle,44,0.20623388797750175
134,100-499,Hair follicle,38,0.1781110850714788
134,100-499,Skin,1,0.004687133817670495
135,100-499,Hair follicle,47,0.22029528943051324
136,100-499,Hair follicle,39,0.1827982188891493
137,100-499,Hair follicle,39,0.1827982188891493
138,100-499,Hair follicle,49,0.2296695570658542
139,100-499,Hair follicle,39,0.1827982188891493
140,100-499,Hair follicle,44,0.20623388797750175
141,100-499,Hair follicle,40,0.1874853527068198
142,100-499,Hair follicle,41,0.19217248652449026
143,100-499,Hair follicle,41,0.19217248652449026
144,100-499,Hair follicle,37,0.1734239512538083
145,100-499,Hair follicle,44,0.20623388797750175
146,100-499,Hair follicle,36,0.1687368174361378
146,100-499,Skin,2,0.00937426763534099
147,100-499,Hair follicle,30,0.14061401453011485
148,100-499,Hair follicle,44,0.20623388797750175
149,100-499,Hair follicle,47,0.22029528943051324
150,100-499,Hair follicle,36,0.1687368174361378
150,100-499,Skin,1,0.004687133817670495
151,100-499,Hair follicle,33,0.1546754159831263
152,100-499,Hair follicle,42,0.19685962034216076
153,100-499,Hair follicle,34,0.1593625498007968
153,100-499,Skin,1,0.004687133817670495
154,100-499,Hair follicle,46,0.21560815561284274
155,100-499,Hair follicle,43,0.20154675415983125
156,100-499,Hair follicle,40,0.1874853527068198
157,100-499,Hair follicle,45,0.21092102179517225
158,100-499,Hair follicle,43,0.20154675415983125
159,100-499,Hair follicle,37,0.1734239512538083
160,100-499,Hair follicle,29,0.13592688071244433
161,100-499,Hair follicle,38,0.1781110850714788
162,100-499,Hair follicle,29,0.13592688071244433
162,100-499,Skin,1,0.004687133817670495
163,100-499,Hair follicle,30,0.14061401453011485
164,100-499,Hair follicle,26,0.12186547925943285
165,100-499,Hair follicle,38,0.1781110850714788
166,100-499,Hair follicle,31,0.14530114834778535
167,100-499,Hair follicle,44,0.20623388797750175
168,100-499,Hair follicle,35,0.1640496836184673
169,100-499,Hair follicle,36,0.1687368174361378
170,100-499,Hair follicle,38,0.1781110850714788
171,100-499,Hair follicle,32,0.14998828216545584
172,100-499,Hair follicle,29,0.13592688071244433
173,100-499,Hair follicle,37,0.1734239512538083
174,100-499,Hair follicle,39,0.1827982188891493
174,100-499,Skin,2,0.00937426763534099
175,100-499,Hair follicle,36,0.1687368174361378
176,100-499,Hair follicle,35,0.1640496836184673
176,100-499,Skin,1,0.004687133817670495
177,100-499,Hair follicle,30,0.14061401453011485
178,100-499,Hair follicle,30,0.14061401453011485
179,100-499,Hair follicle,36,0.1687368174361378
180,100-499,Hair follicle,33,0.1546754159831263
181,100-499,Hair follicle,34,0.1593625498007968
181,100-499,Skin,1,0.004687133817670495
182,100-499,Hair follicle,39,0.1827982188891493
183,100-499,Hair follicle,36,0.1687368174361378
184,100-499,Hair follicle,32,0.14998828216545584
185,100-499,Hair follicle,37,0.1734239512538083
186,100-499,Hair follicle,38,0.1781110850714788
187,100-499,Hair follicle,30,0.14061401453011485
187,100-499,Skin,1,0.004687133817670495
188,100-499,Hair follicle,31,0.14530114834778535
189,100-499,Hair follicle,30,0.14061401453011485
189,100-499,Skin,1,0.004687133817670495
190,100-499,Hair follicle,34,0.1593625498007968
191,100-499,Hair follicle,30,0.14061401453011485
192,100-499,Hair follicle,40,0.1874853527068198
193,100-499,Hair follicle,38,0.1781110850714788
194,100-499,Hair follicle,27,0.12655261307710333
195,100-499,Hair follicle,38,0.1781110850714788
196,100-499,Hair follicle,29,0.13592688071244433
197,100-499,Hair follicle,28,0.13123974689477383
198,100-499,Hair follicle,34,0.1593625498007968
199,100-499,Hair follicle,32,0.14998828216545584
200,100-499,Hair follicle,41,0.19217248652449026
201,100-499,Hair follicle,23,0.10780407780642137
201,100-499,Skin,1,0.004687133817670495
202,100-499,Hair follicle,31,0.14530114834778535
203,100-499,Hair follicle,28,0.13123974689477383
204,100-499,Hair follicle,30,0.14061401453011485
205,100-499,Hair follicle,29,0.13592688071244433
206,100-499,Hair follicle,21,0.09842981017108038
207,100-499,Hair follicle,28,0.13123974689477383
208,100-499,Hair follicle,32,0.14998828216545584
209,100-499,Hair follicle,30,0.14061401453011485
210,100-499,Hair follicle,26,0.12186547925943285
211,100-499,Hair follicle,24,0.11249121162409187
212,100-499,Hair follicle,26,0.12186547925943285
213,100-499,Hair follicle,26,0.12186547925943285
214,100-499,Hair follicle,36,0.1687368174361378
215,100-499,Hair follicle,25,0.11717834544176235
216,100-499,Hair follicle,28,0.13123974689477383
217,100-499,Hair follicle,31,0.14530114834778535
218,100-499,Hair follicle,29,0.13592688071244433
219,100-499,Hair follicle,20,0.0937426763534099
220,100-499,Hair follicle,26,0.12186547925943285
221,100-499,Hair follicle,27,0.12655261307710333
222,100-499,Hair follicle,16,0.07499414108272792
223,100-499,Hair follicle,25,0.11717834544176235
224,100-499,Hair follicle,23,0.10780407780642137
225,100-499,Hair follicle,27,0.12655261307710333
226,100-499,Hair follicle,16,0.07499414108272792
227,100-499,Hair follicle,19,0.0890555425357394
228,100-499,Hair follicle,24,0.11249121162409187
229,100-499,Hair follicle,25,0.11717834544176235
230,100-499,Hair follicle,14,0.06561987344738691
231,100-499,Hair follicle,21,0.09842981017108038
232,100-499,Hair follicle,33,0.1546754159831263
233,100-499,Hair follicle,16,0.07499414108272792
233,100-499,Skin,1,0.004687133817670495
234,100-499,Hair follicle,19,0.0890555425357394
235,100-499,Hair follicle,18,0.0843684087180689
236,100-499,Hair follicle,25,0.11717834544176235
237,100-499,Hair follicle,18,0.0843684087180689
238,100-499,Hair follicle,11,0.05155847199437544
239,100-499,Hair follicle,22,0.10311694398875088
240,100-499,Hair follicle,23,0.10780407780642137
241,100-499,Hair follicle,15,0.07030700726505743
242,100-499,Hair follicle,17,0.0796812749003984
243,100-499,Hair follicle,15,0.07030700726505743
244,100-499,Hair follicle,23,0.10780407780642137
245,100-499,Hair follicle,14,0.06561987344738691
246,100-499,Hair follicle,10,0.04687133817670495
247,100-499,Hair follicle,12,0.056245605812045935
248,100-499,Hair follicle,18,0.0843684087180689
