plot_morphology,plot_group,VARIANT_CLASS,mean_ratio,sd_ratio,se_ratio,n_samples
Acetone,Hair follicle,SNV,0.9117647058823529,0,0,1
Acetone,Hair follicle,deletion,0.058823529411764705,0,0,1
Acetone,Hair follicle,insertion,0,0,0,1
Acetone,Hair follicle,substitution,0.029411764705882353,0,0,1
Acetone,Skin,SNV,0.75,0.11785113019775798,0.08333333333333337,2
Acetone,Skin,deletion,0.041666666666666664,0.05892556509887896,0.041666666666666664,2
Acetone,Skin,insertion,0,0,0,2
Acetone,Skin,substitution,0.20833333333333331,0.17677669529663687,0.12499999999999999,2
Papilloma,Hair follicle,SNV,0.9556558960123032,0.03766830903725875,0.015378022769125367,6
Papilloma,Hair follicle,deletion,0.02142991470914186,0.01702621179613507,0.0069509218588478016,6
Papilloma,Hair follicle,insertion,0.004846364370081708,0.005310961804209237,0.0021681910772872945,6
Papilloma,Hair follicle,substitution,0.018067824908473324,0.023390702524798076,0.00954921431849758,6
Papilloma,Skin,SNV,0.8957360488220025,0.045604664548501976,0.018618026339103873,6
Papilloma,Skin,deletion,0.032739305384899296,0.04080791977955737,0.016659763487390757,6
Papilloma,Skin,insertion,0.01844827065133055,0.022398103290167646,0.009143987377843967,6
Papilloma,Skin,substitution,0.053076375141767634,0.06612816981941483,0.026996712280280128,6
Visually normal,Hair follicle,SNV,0.9645159366971326,0.04554076569980468,0.012171281598572538,14
Visually normal,Hair follicle,deletion,0.008785772900298167,0.011141416283806271,0.002977668752673372,14
Visually normal,Hair follicle,insertion,0.008050846618211737,0.015812708500367974,0.004226124111807495,14
Visually normal,Hair follicle,substitution,0.018647443784357478,0.02912952628525388,0.007785193371317562,14
Visually normal,Skin,SNV,0.8519800577687325,0.16204389718926684,0.04051097429731671,16
Visually normal,Skin,deletion,0.04547703633489118,0.053330141884624246,0.013332535471156062,16
Visually normal,Skin,insertion,0.033685899704156,0.07218149824100041,0.018045374560250103,16
Visually normal,Skin,substitution,0.06885700619222032,0.12577955392304477,0.03144488848076119,16
