composition_group,mutation_nature,n,total,pct
Week 8,Synonymous,24,181,0.13259668508287292
Week 8,Gene-flanking,112,181,0.6187845303867403
Week 8,Insertion,3,181,0.016574585635359115
Week 8,Deletion,29,181,0.16022099447513813
Week 8,DBS,0,181,0
Week 8,Missense,13,181,0.0718232044198895
Week 8,Stop gain/loss,0,181,0
Week 14,Synonymous,21,212,0.09905660377358491
Week 14,Gene-flanking,134,212,0.6320754716981132
Week 14,Insertion,4,212,0.018867924528301886
Week 14,Deletion,32,212,0.1509433962264151
Week 14,DBS,0,212,0
Week 14,Missense,21,212,0.09905660377358491
Week 14,Stop gain/loss,0,212,0
Week 17,Synonymous,19,176,0.10795454545454546
Week 17,Gene-flanking,122,176,0.6931818181818182
Week 17,Insertion,2,176,0.011363636363636364
Week 17,Deletion,20,176,0.11363636363636363
Week 17,DBS,0,176,0
Week 17,Missense,13,176,0.07386363636363637
Week 17,Stop gain/loss,0,176,0
