T_null,T_obs,adjacent_minus_distal,adjacent_gt_distal_pct,p_one_sided
389,392,3,50,0.5000499950005
399,392,-7,50,0.5000499950005
388,392,4,50,0.5000499950005
394,392,-2,50,0.5000499950005
389,392,3,50,0.5000499950005
386,392,6,50,0.5000499950005
391,392,1,50,0.5000499950005
394,392,-2,50,0.5000499950005
403,392,-11,50,0.5000499950005
392,392,0,50,0.5000499950005
394,392,-2,50,0.5000499950005
376,392,16,50,0.5000499950005
390,392,2,50,0.5000499950005
398,392,-6,50,0.5000499950005
386,392,6,50,0.5000499950005
401,392,-9,50,0.5000499950005
387,392,5,50,0.5000499950005
397,392,-5,50,0.5000499950005
380,392,12,50,0.5000499950005
388,392,4,50,0.5000499950005
408,392,-16,50,0.5000499950005
399,392,-7,50,0.5000499950005
382,392,10,50,0.5000499950005
392,392,0,50,0.5000499950005
415,392,-23,50,0.5000499950005
385,392,7,50,0.5000499950005
381,392,11,50,0.5000499950005
397,392,-5,50,0.5000499950005
401,392,-9,50,0.5000499950005
395,392,-3,50,0.5000499950005
391,392,1,50,0.5000499950005
395,392,-3,50,0.5000499950005
397,392,-5,50,0.5000499950005
380,392,12,50,0.5000499950005
400,392,-8,50,0.5000499950005
398,392,-6,50,0.5000499950005
388,392,4,50,0.5000499950005
368,392,24,50,0.5000499950005
392,392,0,50,0.5000499950005
403,392,-11,50,0.5000499950005
393,392,-1,50,0.5000499950005
392,392,0,50,0.5000499950005
389,392,3,50,0.5000499950005
387,392,5,50,0.5000499950005
397,392,-5,50,0.5000499950005
400,392,-8,50,0.5000499950005
392,392,0,50,0.5000499950005
398,392,-6,50,0.5000499950005
403,392,-11,50,0.5000499950005
383,392,9,50,0.5000499950005
368,392,24,50,0.5000499950005
384,392,8,50,0.5000499950005
390,392,2,50,0.5000499950005
397,392,-5,50,0.5000499950005
400,392,-8,50,0.5000499950005
392,392,0,50,0.5000499950005
402,392,-10,50,0.5000499950005
406,392,-14,50,0.5000499950005
407,392,-15,50,0.5000499950005
390,392,2,50,0.5000499950005
391,392,1,50,0.5000499950005
377,392,15,50,0.5000499950005
371,392,21,50,0.5000499950005
378,392,14,50,0.5000499950005
383,392,9,50,0.5000499950005
411,392,-19,50,0.5000499950005
393,392,-1,50,0.5000499950005
411,392,-19,50,0.5000499950005
391,392,1,50,0.5000499950005
389,392,3,50,0.5000499950005
404,392,-12,50,0.5000499950005
382,392,10,50,0.5000499950005
402,392,-10,50,0.5000499950005
388,392,4,50,0.5000499950005
408,392,-16,50,0.5000499950005
401,392,-9,50,0.5000499950005
400,392,-8,50,0.5000499950005
411,392,-19,50,0.5000499950005
391,392,1,50,0.5000499950005
389,392,3,50,0.5000499950005
391,392,1,50,0.5000499950005
393,392,-1,50,0.5000499950005
386,392,6,50,0.5000499950005
381,392,11,50,0.5000499950005
404,392,-12,50,0.5000499950005
400,392,-8,50,0.5000499950005
392,392,0,50,0.5000499950005
397,392,-5,50,0.5000499950005
381,392,11,50,0.5000499950005
397,392,-5,50,0.5000499950005
376,392,16,50,0.5000499950005
397,392,-5,50,0.5000499950005
388,392,4,50,0.5000499950005
386,392,6,50,0.5000499950005
383,392,9,50,0.5000499950005
394,392,-2,50,0.5000499950005
400,392,-8,50,0.5000499950005
403,392,-11,50,0.5000499950005
409,392,-17,50,0.5000499950005
388,392,4,50,0.5000499950005
361,392,31,50,0.5000499950005
410,392,-18,50,0.5000499950005
396,392,-4,50,0.5000499950005
389,392,3,50,0.5000499950005
389,392,3,50,0.5000499950005
391,392,1,50,0.5000499950005
395,392,-3,50,0.5000499950005
388,392,4,50,0.5000499950005
394,392,-2,50,0.5000499950005
405,392,-13,50,0.5000499950005
384,392,8,50,0.5000499950005
359,392,33,50,0.5000499950005
384,392,8,50,0.5000499950005
391,392,1,50,0.5000499950005
385,392,7,50,0.5000499950005
377,392,15,50,0.5000499950005
389,392,3,50,0.5000499950005
402,392,-10,50,0.5000499950005
382,392,10,50,0.5000499950005
408,392,-16,50,0.5000499950005
388,392,4,50,0.5000499950005
390,392,2,50,0.5000499950005
393,392,-1,50,0.5000499950005
390,392,2,50,0.5000499950005
381,392,11,50,0.5000499950005
402,392,-10,50,0.5000499950005
382,392,10,50,0.5000499950005
378,392,14,50,0.5000499950005
376,392,16,50,0.5000499950005
395,392,-3,50,0.5000499950005
396,392,-4,50,0.5000499950005
397,392,-5,50,0.5000499950005
380,392,12,50,0.5000499950005
378,392,14,50,0.5000499950005
412,392,-20,50,0.5000499950005
388,392,4,50,0.5000499950005
383,392,9,50,0.5000499950005
403,392,-11,50,0.5000499950005
387,392,5,50,0.5000499950005
408,392,-16,50,0.5000499950005
397,392,-5,50,0.5000499950005
392,392,0,50,0.5000499950005
392,392,0,50,0.5000499950005
389,392,3,50,0.5000499950005
384,392,8,50,0.5000499950005
411,392,-19,50,0.5000499950005
387,392,5,50,0.5000499950005
376,392,16,50,0.5000499950005
400,392,-8,50,0.5000499950005
399,392,-7,50,0.5000499950005
380,392,12,50,0.5000499950005
389,392,3,50,0.5000499950005
395,392,-3,50,0.5000499950005
414,392,-22,50,0.5000499950005
398,392,-6,50,0.5000499950005
383,392,9,50,0.5000499950005
385,392,7,50,0.5000499950005
399,392,-7,50,0.5000499950005
398,392,-6,50,0.5000499950005
411,392,-19,50,0.5000499950005
400,392,-8,50,0.5000499950005
404,392,-12,50,0.5000499950005
412,392,-20,50,0.5000499950005
375,392,17,50,0.5000499950005
389,392,3,50,0.5000499950005
388,392,4,50,0.5000499950005
404,392,-12,50,0.5000499950005
405,392,-13,50,0.5000499950005
391,392,1,50,0.5000499950005
374,392,18,50,0.5000499950005
409,392,-17,50,0.5000499950005
392,392,0,50,0.5000499950005
383,392,9,50,0.5000499950005
391,392,1,50,0.5000499950005
396,392,-4,50,0.5000499950005
385,392,7,50,0.5000499950005
410,392,-18,50,0.5000499950005
396,392,-4,50,0.5000499950005
383,392,9,50,0.5000499950005
379,392,13,50,0.5000499950005
390,392,2,50,0.5000499950005
397,392,-5,50,0.5000499950005
410,392,-18,50,0.5000499950005
397,392,-5,50,0.5000499950005
374,392,18,50,0.5000499950005
380,392,12,50,0.5000499950005
388,392,4,50,0.5000499950005
397,392,-5,50,0.5000499950005
381,392,11,50,0.5000499950005
390,392,2,50,0.5000499950005
397,392,-5,50,0.5000499950005
380,392,12,50,0.5000499950005
382,392,10,50,0.5000499950005
375,392,17,50,0.5000499950005
393,392,-1,50,0.5000499950005
391,392,1,50,0.5000499950005
380,392,12,50,0.5000499950005
393,392,-1,50,0.5000499950005
406,392,-14,50,0.5000499950005
382,392,10,50,0.5000499950005
387,392,5,50,0.5000499950005
393,392,-1,50,0.5000499950005
391,392,1,50,0.5000499950005
391,392,1,50,0.5000499950005
407,392,-15,50,0.5000499950005
388,392,4,50,0.5000499950005
396,392,-4,50,0.5000499950005
388,392,4,50,0.5000499950005
387,392,5,50,0.5000499950005
410,392,-18,50,0.5000499950005
401,392,-9,50,0.5000499950005
386,392,6,50,0.5000499950005
397,392,-5,50,0.5000499950005
387,392,5,50,0.5000499950005
382,392,10,50,0.5000499950005
403,392,-11,50,0.5000499950005
402,392,-10,50,0.5000499950005
382,392,10,50,0.5000499950005
381,392,11,50,0.5000499950005
377,392,15,50,0.5000499950005
394,392,-2,50,0.5000499950005
394,392,-2,50,0.5000499950005
396,392,-4,50,0.5000499950005
379,392,13,50,0.5000499950005
397,392,-5,50,0.5000499950005
388,392,4,50,0.5000499950005
381,392,11,50,0.5000499950005
374,392,18,50,0.5000499950005
394,392,-2,50,0.5000499950005
397,392,-5,50,0.5000499950005
408,392,-16,50,0.5000499950005
399,392,-7,50,0.5000499950005
385,392,7,50,0.5000499950005
377,392,15,50,0.5000499950005
386,392,6,50,0.5000499950005
404,392,-12,50,0.5000499950005
377,392,15,50,0.5000499950005
386,392,6,50,0.5000499950005
371,392,21,50,0.5000499950005
368,392,24,50,0.5000499950005
391,392,1,50,0.5000499950005
399,392,-7,50,0.5000499950005
387,392,5,50,0.5000499950005
385,392,7,50,0.5000499950005
394,392,-2,50,0.5000499950005
385,392,7,50,0.5000499950005
382,392,10,50,0.5000499950005
397,392,-5,50,0.5000499950005
408,392,-16,50,0.5000499950005
394,392,-2,50,0.5000499950005
381,392,11,50,0.5000499950005
399,392,-7,50,0.5000499950005
396,392,-4,50,0.5000499950005
388,392,4,50,0.5000499950005
368,392,24,50,0.5000499950005
393,392,-1,50,0.5000499950005
413,392,-21,50,0.5000499950005
374,392,18,50,0.5000499950005
402,392,-10,50,0.5000499950005
373,392,19,50,0.5000499950005
388,392,4,50,0.5000499950005
381,392,11,50,0.5000499950005
407,392,-15,50,0.5000499950005
389,392,3,50,0.5000499950005
385,392,7,50,0.5000499950005
394,392,-2,50,0.5000499950005
383,392,9,50,0.5000499950005
385,392,7,50,0.5000499950005
393,392,-1,50,0.5000499950005
373,392,19,50,0.5000499950005
419,392,-27,50,0.5000499950005
394,392,-2,50,0.5000499950005
385,392,7,50,0.5000499950005
377,392,15,50,0.5000499950005
394,392,-2,50,0.5000499950005
386,392,6,50,0.5000499950005
393,392,-1,50,0.5000499950005
373,392,19,50,0.5000499950005
366,392,26,50,0.5000499950005
379,392,13,50,0.5000499950005
379,392,13,50,0.5000499950005
411,392,-19,50,0.5000499950005
399,392,-7,50,0.5000499950005
381,392,11,50,0.5000499950005
411,392,-19,50,0.5000499950005
395,392,-3,50,0.5000499950005
385,392,7,50,0.5000499950005
394,392,-2,50,0.5000499950005
386,392,6,50,0.5000499950005
390,392,2,50,0.5000499950005
414,392,-22,50,0.5000499950005
394,392,-2,50,0.5000499950005
405,392,-13,50,0.5000499950005
401,392,-9,50,0.5000499950005
386,392,6,50,0.5000499950005
387,392,5,50,0.5000499950005
391,392,1,50,0.5000499950005
387,392,5,50,0.5000499950005
383,392,9,50,0.5000499950005
391,392,1,50,0.5000499950005
391,392,1,50,0.5000499950005
372,392,20,50,0.5000499950005
374,392,18,50,0.5000499950005
394,392,-2,50,0.5000499950005
382,392,10,50,0.5000499950005
392,392,0,50,0.5000499950005
384,392,8,50,0.5000499950005
401,392,-9,50,0.5000499950005
397,392,-5,50,0.5000499950005
385,392,7,50,0.5000499950005
388,392,4,50,0.5000499950005
386,392,6,50,0.5000499950005
400,392,-8,50,0.5000499950005
402,392,-10,50,0.5000499950005
413,392,-21,50,0.5000499950005
387,392,5,50,0.5000499950005
398,392,-6,50,0.5000499950005
401,392,-9,50,0.5000499950005
381,392,11,50,0.5000499950005
396,392,-4,50,0.5000499950005
389,392,3,50,0.5000499950005
417,392,-25,50,0.5000499950005
386,392,6,50,0.5000499950005
401,392,-9,50,0.5000499950005
378,392,14,50,0.5000499950005
384,392,8,50,0.5000499950005
399,392,-7,50,0.5000499950005
388,392,4,50,0.5000499950005
395,392,-3,50,0.5000499950005
378,392,14,50,0.5000499950005
396,392,-4,50,0.5000499950005
400,392,-8,50,0.5000499950005
397,392,-5,50,0.5000499950005
395,392,-3,50,0.5000499950005
389,392,3,50,0.5000499950005
389,392,3,50,0.5000499950005
385,392,7,50,0.5000499950005
373,392,19,50,0.5000499950005
394,392,-2,50,0.5000499950005
387,392,5,50,0.5000499950005
389,392,3,50,0.5000499950005
387,392,5,50,0.5000499950005
382,392,10,50,0.5000499950005
388,392,4,50,0.5000499950005
391,392,1,50,0.5000499950005
391,392,1,50,0.5000499950005
387,392,5,50,0.5000499950005
356,392,36,50,0.5000499950005
384,392,8,50,0.5000499950005
385,392,7,50,0.5000499950005
382,392,10,50,0.5000499950005
392,392,0,50,0.5000499950005
387,392,5,50,0.5000499950005
407,392,-15,50,0.5000499950005
397,392,-5,50,0.5000499950005
371,392,21,50,0.5000499950005
397,392,-5,50,0.5000499950005
384,392,8,50,0.5000499950005
367,392,25,50,0.5000499950005
380,392,12,50,0.5000499950005
377,392,15,50,0.5000499950005
383,392,9,50,0.5000499950005
382,392,10,50,0.5000499950005
362,392,30,50,0.5000499950005
384,392,8,50,0.5000499950005
374,392,18,50,0.5000499950005
373,392,19,50,0.5000499950005
397,392,-5,50,0.5000499950005
387,392,5,50,0.5000499950005
403,392,-11,50,0.5000499950005
385,392,7,50,0.5000499950005
403,392,-11,50,0.5000499950005
383,392,9,50,0.5000499950005
409,392,-17,50,0.5000499950005
398,392,-6,50,0.5000499950005
392,392,0,50,0.5000499950005
415,392,-23,50,0.5000499950005
388,392,4,50,0.5000499950005
400,392,-8,50,0.5000499950005
391,392,1,50,0.5000499950005
390,392,2,50,0.5000499950005
391,392,1,50,0.5000499950005
385,392,7,50,0.5000499950005
392,392,0,50,0.5000499950005
389,392,3,50,0.5000499950005
389,392,3,50,0.5000499950005
407,392,-15,50,0.5000499950005
375,392,17,50,0.5000499950005
379,392,13,50,0.5000499950005
389,392,3,50,0.5000499950005
403,392,-11,50,0.5000499950005
398,392,-6,50,0.5000499950005
400,392,-8,50,0.5000499950005
398,392,-6,50,0.5000499950005
382,392,10,50,0.5000499950005
388,392,4,50,0.5000499950005
380,392,12,50,0.5000499950005
403,392,-11,50,0.5000499950005
403,392,-11,50,0.5000499950005
399,392,-7,50,0.5000499950005
399,392,-7,50,0.5000499950005
397,392,-5,50,0.5000499950005
396,392,-4,50,0.5000499950005
394,392,-2,50,0.5000499950005
379,392,13,50,0.5000499950005
394,392,-2,50,0.5000499950005
383,392,9,50,0.5000499950005
396,392,-4,50,0.5000499950005
389,392,3,50,0.5000499950005
393,392,-1,50,0.5000499950005
388,392,4,50,0.5000499950005
391,392,1,50,0.5000499950005
387,392,5,50,0.5000499950005
381,392,11,50,0.5000499950005
350,392,42,50,0.5000499950005
410,392,-18,50,0.5000499950005
381,392,11,50,0.5000499950005
399,392,-7,50,0.5000499950005
387,392,5,50,0.5000499950005
383,392,9,50,0.5000499950005
413,392,-21,50,0.5000499950005
384,392,8,50,0.5000499950005
418,392,-26,50,0.5000499950005
383,392,9,50,0.5000499950005
379,392,13,50,0.5000499950005
381,392,11,50,0.5000499950005
396,392,-4,50,0.5000499950005
388,392,4,50,0.5000499950005
395,392,-3,50,0.5000499950005
412,392,-20,50,0.5000499950005
398,392,-6,50,0.5000499950005
397,392,-5,50,0.5000499950005
388,392,4,50,0.5000499950005
381,392,11,50,0.5000499950005
408,392,-16,50,0.5000499950005
389,392,3,50,0.5000499950005
424,392,-32,50,0.5000499950005
387,392,5,50,0.5000499950005
389,392,3,50,0.5000499950005
368,392,24,50,0.5000499950005
381,392,11,50,0.5000499950005
405,392,-13,50,0.5000499950005
395,392,-3,50,0.5000499950005
392,392,0,50,0.5000499950005
385,392,7,50,0.5000499950005
395,392,-3,50,0.5000499950005
377,392,15,50,0.5000499950005
388,392,4,50,0.5000499950005
400,392,-8,50,0.5000499950005
383,392,9,50,0.5000499950005
394,392,-2,50,0.5000499950005
378,392,14,50,0.5000499950005
384,392,8,50,0.5000499950005
379,392,13,50,0.5000499950005
392,392,0,50,0.5000499950005
405,392,-13,50,0.5000499950005
405,392,-13,50,0.5000499950005
368,392,24,50,0.5000499950005
395,392,-3,50,0.5000499950005
406,392,-14,50,0.5000499950005
396,392,-4,50,0.5000499950005
388,392,4,50,0.5000499950005
368,392,24,50,0.5000499950005
415,392,-23,50,0.5000499950005
382,392,10,50,0.5000499950005
379,392,13,50,0.5000499950005
374,392,18,50,0.5000499950005
403,392,-11,50,0.5000499950005
382,392,10,50,0.5000499950005
381,392,11,50,0.5000499950005
412,392,-20,50,0.5000499950005
