gene_symbol,n_mutated_biopsies,n_shared_mutations,first_biopsy_rank,human_symbols,gene_family,known_cscc_gene,gene_rank,plot_y,gene_label
Mroh2a,28,9,1,MROH2A,Other,FALSE,1,300,Mroh2a
Hjurp,26,6,4,HJURP,Other,FALSE,2,299,Hjurp
,20,24,4,NA,Other,FALSE,3,298,
Gm13147,19,9,4,NA,Other,FALSE,4,297,Gm13147
CT010467.1,19,8,1,NA,Other,FALSE,5,296,CT010467.1
Rrs1,17,8,4,RRS1,Other,FALSE,6,295,Rrs1
Sp140,17,8,4,SP140L,Other,FALSE,7,294,Sp140
Zfp936,17,4,4,NA,Other,FALSE,8,293,Zfp936
C130026I21Rik,16,16,4,NA,Other,FALSE,9,292,C130026I21Rik
Gm22258,16,9,4,NA,Other,FALSE,10,291,Gm22258
Gm10354,16,6,4,NA,Other,FALSE,11,290,Gm10354
Gm17019,16,2,4,NA,Other,FALSE,12,289,Gm17019
Gm48668,16,2,4,NA,Other,FALSE,13,288,Gm48668
Spin2f,16,1,4,SPIN2A;SPIN2B,Other,FALSE,14,287,Spin2f
EU599041,15,3,4,NA,Other,FALSE,15,286,EU599041
Gm13035,15,3,4,NA,Other,FALSE,16,285,Gm13035
Gm21136,15,3,4,NA,Other,FALSE,17,284,Gm21136
Btbd35f25,15,2,4,NA,Other,FALSE,18,283,Btbd35f25
Vmn2r117,14,9,4,NA,Other,FALSE,19,282,Vmn2r117
2610005L07Rik,14,9,7,NA,Other,FALSE,20,281,2610005L07Rik
Sfi1,14,7,4,SFI1,Cell adhesion and cytoskeleton,FALSE,21,280,Sfi1
Zfp982,14,7,4,NA,Other,FALSE,22,279,Zfp982
Gm10471,14,4,4,NA,Other,FALSE,23,278,Gm10471
Gm13241,14,4,7,NA,Other,FALSE,24,277,Gm13241
Gm13243,14,4,7,NA,Other,FALSE,25,276,Gm13243
Gm10060,14,3,4,NA,Other,FALSE,26,275,Gm10060
Gm13161,14,3,4,NA,Other,FALSE,27,274,Gm13161
Zfp979,14,2,4,ZNF616,Other,FALSE,28,273,Zfp979
Speer4a,13,7,4,NA,Other,FALSE,29,272,Speer4a
Gm9758,13,6,4,NA,Other,FALSE,30,271,Gm9758
Thap1,13,5,7,THAP1,Other,FALSE,31,270,Thap1
Ston2,13,1,7,STON2,Other,FALSE,32,269,Ston2
Ugt1a6a,13,1,7,UGT1A6,Other,FALSE,33,268,Ugt1a6a
Vmn2r-ps159,12,11,4,NA,Other,FALSE,34,267,Vmn2r-ps159
Ran,12,5,4,RAN,Other,FALSE,35,266,Ran
Vmn2r114,12,5,7,NA,Other,FALSE,36,265,Vmn2r114
Gm13240,12,3,8,NA,Other,FALSE,37,264,Gm13240
Gm21847,12,2,4,NA,Other,FALSE,38,263,Gm21847
Eef2,12,1,4,EEF2,Other,FALSE,39,262,Eef2
Gm8082,12,1,4,NA,Other,FALSE,40,261,Gm8082
Vmn2r115,11,7,3,NA,Other,FALSE,41,260,Vmn2r115
Cyp3a44,11,4,4,CYP3A5,Other,FALSE,42,259,Cyp3a44
Gm21663,11,3,4,NA,Other,FALSE,43,258,Gm21663
Gm13034,11,2,4,NA,Other,FALSE,44,257,Gm13034
Arhgef12,11,2,11,ARHGEF12,Other,FALSE,45,256,Arhgef12
Gm1979,10,5,4,NA,Other,FALSE,46,255,Gm1979
6820431F20Rik,10,3,4,NA,Other,FALSE,47,254,6820431F20Rik
Vmn2r-ps134,10,3,4,NA,Other,FALSE,48,253,Vmn2r-ps134
Gm6477,10,3,7,NA,Other,FALSE,49,252,Gm6477
Gm13212,10,2,4,NA,Other,FALSE,50,251,Gm13212
Gm42642,10,1,7,NA,Other,FALSE,51,250,Gm42642
Gm21769,9,5,4,NA,Other,FALSE,52,249,Gm21769
Gm10553,9,2,4,NA,Other,FALSE,53,248,Gm10553
Gm25074,9,2,4,NA,Other,FALSE,54,247,Gm25074
Speer4c,9,2,4,NA,Other,FALSE,55,246,Speer4c
A530040E14Rik,9,2,8,NA,Other,FALSE,56,245,A530040E14Rik
Gm13231,9,1,4,NA,Other,FALSE,57,244,Gm13231
Gm16026,9,1,4,NA,Other,FALSE,58,243,Gm16026
Usp17le,9,1,4,USP17L2;USP17L5,Other,FALSE,59,242,Usp17le
Flg2,8,5,4,FLG2,Other,FALSE,60,241,Flg2
Arcn1,8,4,11,ARCN1,Other,FALSE,61,240,Arcn1
Cyp3a16,8,3,4,CYP3A5,Other,FALSE,62,239,Cyp3a16
Gm21671,8,3,4,NA,Other,FALSE,63,238,Gm21671
Gm7361,8,3,11,NA,Other,FALSE,64,237,Gm7361
Gm6089,8,2,4,NA,Other,FALSE,65,236,Gm6089
Adhfe1,8,1,4,ADHFE1,Other,FALSE,66,235,Adhfe1
Gm13246,8,1,4,NA,Other,FALSE,67,234,Gm13246
Gm8332,8,1,4,NA,Other,FALSE,68,233,Gm8332
Gm9118,8,1,4,NA,Other,FALSE,69,232,Gm9118
Krt7,8,1,4,KRT7,Other,FALSE,70,231,Krt7
Mup-ps16,8,1,4,NA,Other,FALSE,71,230,Mup-ps16
Ralyl,8,1,4,RALYL,Other,FALSE,72,229,Ralyl
A530032D15Rik,8,1,7,NA,Other,FALSE,73,228,A530032D15Rik
Gm11668,8,1,7,NA,Other,FALSE,74,227,Gm11668
Gm2654,8,1,7,NA,Other,FALSE,75,226,Gm2654
Gm48513,8,1,7,NA,Other,FALSE,76,225,Gm48513
Gm5458,8,1,7,NA,Other,FALSE,77,224,Gm5458
Gm5591,8,1,7,C2orf78,Other,FALSE,78,223,Gm5591
Gm7609,8,1,7,NA,Other,FALSE,79,222,Gm7609
Gm13168,8,1,10,NA,Other,FALSE,80,221,Gm13168
Gm22417,7,2,4,NA,Other,FALSE,81,220,Gm22417
Gm8180,7,2,4,NA,Other,FALSE,82,219,Gm8180
Ubc,7,2,4,UBC,Other,FALSE,83,218,Ubc
Gm2022,7,2,8,NA,Other,FALSE,84,217,Gm2022
Sp100,7,2,8,SP100,Other,FALSE,85,216,Sp100
Gm15114,7,1,7,NA,Other,FALSE,86,215,Gm15114
Sirpb1b,7,1,7,SIRPB1,Other,FALSE,87,214,Sirpb1b
Zfp991,7,1,7,ZNF616,Other,FALSE,88,213,Zfp991
Vmn2r121,7,1,19,NA,Other,FALSE,89,212,Vmn2r121
Gm7347,7,1,22,NA,Other,FALSE,90,211,Gm7347
Vmn2r125,6,3,4,NA,Other,FALSE,91,210,Vmn2r125
Sp110,6,3,7,SP110,Other,FALSE,92,209,Sp110
Gm13229,6,2,4,NA,Other,FALSE,93,208,Gm13229
Gm16092,6,2,4,NA,Other,FALSE,94,207,Gm16092
Gm8605,6,2,4,NA,Other,FALSE,95,206,Gm8605
Gm9504,6,2,4,NA,Other,FALSE,96,205,Gm9504
