hf_sample_name,adjacency,n_shared,delta
hairfollicle03-c5,Adjacent,0,Dist
hairfollicle03-c5,Distal,1,Dist
hairfollicle03-e6,Adjacent,2,Adj
hairfollicle03-e6,Distal,0,Adj
hairfollicle03-e7,Adjacent,0,Tie
hairfollicle03-e7,Distal,0,Tie
hairfollicle03-f5,Adjacent,0,Tie
hairfollicle03-f5,Distal,0,Tie
hairfollicle03-f6-t2,Adjacent,3,Adj
hairfollicle03-f6-t2,Distal,1,Adj
hairfollicle03-f7-t2,Adjacent,0,Tie
hairfollicle03-f7-t2,Distal,0,Tie
hairfollicle03-g6-t2,Adjacent,0,Tie
hairfollicle03-g6-t2,Distal,0,Tie
hairfollicle04-b5-t2,Adjacent,0,Tie
hairfollicle04-b5-t2,Distal,0,Tie
hairfollicle04-b6-t2,Adjacent,0,Tie
hairfollicle04-b6-t2,Distal,0,Tie
hairfollicle04-c2-t3,Adjacent,113,Adj
hairfollicle04-c2-t3,Distal,109,Adj
hairfollicle04-c4-t3,Adjacent,93,Adj
hairfollicle04-c4-t3,Distal,92,Adj
hairfollicle04-c5-t3,Adjacent,129,Adj
hairfollicle04-c5-t3,Distal,99,Adj
hairfollicle04-c6-t3,Adjacent,102,Adj
hairfollicle04-c6-t3,Distal,91,Adj
hairfollicle04-g2-t2,Adjacent,0,Dist
hairfollicle04-g2-t2,Distal,1,Dist
hairfollicle05-a6-t2,Adjacent,0,Tie
hairfollicle05-a6-t2,Distal,0,Tie
hairfollicle05-b1-t3,Adjacent,56,Adj
hairfollicle05-b1-t3,Distal,52,Adj
hairfollicle05-b5-t3,Adjacent,79,Dist
hairfollicle05-b5-t3,Distal,84,Dist
hairfollicle05-b6-t2,Adjacent,1,Dist
hairfollicle05-b6-t2,Distal,2,Dist
hairfollicle05-b7-t2,Adjacent,0,Tie
hairfollicle05-b7-t2,Distal,0,Tie
hairfollicle05-c6,Adjacent,14,Tie
hairfollicle05-c6,Distal,14,Tie
hairfollicle05-c7-t2,Adjacent,86,Adj
hairfollicle05-c7-t2,Distal,71,Adj
hairfollicle05-e5-t3,Adjacent,93,Dist
hairfollicle05-e5-t3,Distal,95,Dist
