sample_name,plot_timepoint,week,callable_mbp,TA,Other,total,log_callable
hairfollicle21-b6-w14,Week 14,14,2.707874,3,28,31,0.9961638251639852
hairfollicle21-b6-w17,Week 17,17,2.239444,0,19,19,0.80622762077097
hairfollicle21-b6-w8,Week 8,8,4.040815,2,38,40,1.3964464043010265
hairfollicle21-b7-w14,Week 14,14,0.317452,0,5,5,-1.1474286531807676
hairfollicle21-b7-w8,Week 8,8,1.600011,2,15,17,0.4700105042221029
hairfollicle21-c6-w14,Week 14,14,39.016084,2,47,49,3.663973971368321
hairfollicle21-c6-w17,Week 17,17,0.720408,0,8,8,-0.32793756080029635
hairfollicle21-c6-w8,Week 8,8,4.250127,0,27,27,1.446948864842798
hairfollicle21-c7-w14,Week 14,14,0.25324,0,6,6,-1.3734176233062112
hairfollicle21-c7-w17,Week 17,17,0.743068,0,3,3,-0.29696771759078366
hairfollicle21-c7-w8,Week 8,8,2.556339,1,26,27,0.938576156828807
hairfollicle21-d1-w17,Week 17,17,6.552297,1,33,34,1.8798156751937396
hairfollicle21-d2-w17,Week 17,17,1.773555,0,13,13,0.5729860068735944
hairfollicle21-d2-w8,Week 8,8,3.856618,0,23,23,1.349790633616025
hairfollicle21-d5-w17,Week 17,17,0.732307,0,7,7,-0.31155545403686086
hairfollicle21-d6-w17,Week 17,17,6.714743,3,33,36,1.9043055567185896
hairfollicle21-e1-w14,Week 14,14,6.83134,3,34,37,1.9215208476043244
hairfollicle21-e1-w17,Week 17,17,1.976902,2,15,17,0.6815309729042042
hairfollicle21-e2-w14,Week 14,14,8.678968,1,59,60,2.1609026275945893
hairfollicle21-e2-w8,Week 8,8,4.144713,0,33,33,1.4218335461418046
hairfollicle21-e3-w14,Week 14,14,6.401981,3,42,45,1.8566074737207119
hairfollicle21-e3-w17,Week 17,17,1.726768,2,11,13,0.5462514531399395
hairfollicle21-e3-w8,Week 8,8,3.061262,1,20,21,1.118827249243891
hairfollicle21-e4-w14,Week 14,14,13.537542,3,54,57,2.605466714815371
hairfollicle21-e4-w17,Week 17,17,1.130164,0,6,6,0.12236275493687428
hairfollicle21-e4-w8,Week 8,8,2.535779,0,16,16,0.9305008876672135
hairfollicle21-f1-w14,Week 14,14,8.368855,0,53,53,2.124517077055261
hairfollicle21-f1-w8,Week 8,8,5.118998,1,51,52,1.6329587167740611
hairfollicle21-f3-w17,Week 17,17,1.892017,0,11,11,0.6376434557901656
hairfollicle21-f3-w8,Week 8,8,2.421663,2,11,13,0.8844544942442498
hairfollicle21-f4-w17,Week 17,17,7.08742,5,45,50,1.9583213815122122
hairfollicle21-f4-w8,Week 8,8,1.019368,0,8,8,0.019182827416773986
hairfollicle21-g3-w17,Week 17,17,5.249178,2,29,31,1.6580714929163751
hairfollicle21-g4-w17,Week 17,17,1.049966,0,19,19,0.04875778269277665
