iteration,n_sampled_genes,mutation_type,null_count
1,30,Missense,41
1,30,Insertion,1
1,30,Deletion,1
1,30,Stop gain/loss,4
1,30,DBS,0
1,30,Splice,3
2,30,Missense,46
2,30,Insertion,0
2,30,Deletion,11
2,30,Stop gain/loss,1
2,30,DBS,0
2,30,Splice,0
3,30,Missense,34
3,30,Insertion,1
3,30,Deletion,0
3,30,Stop gain/loss,3
3,30,DBS,1
3,30,Splice,1
4,30,Missense,32
4,30,Insertion,0
4,30,Deletion,0
4,30,Stop gain/loss,1
4,30,DBS,1
4,30,Splice,2
5,30,Missense,34
5,30,Insertion,0
5,30,Deletion,12
5,30,Stop gain/loss,1
5,30,DBS,0
5,30,Splice,1
6,30,Missense,46
6,30,Insertion,0
6,30,Deletion,3
6,30,Stop gain/loss,3
6,30,DBS,3
6,30,Splice,4
7,30,Missense,40
7,30,Insertion,0
7,30,Deletion,1
7,30,Stop gain/loss,4
7,30,DBS,0
7,30,Splice,0
8,30,Missense,173
8,30,Insertion,0
8,30,Deletion,11
8,30,Stop gain/loss,3
8,30,DBS,1
8,30,Splice,4
9,30,Missense,37
9,30,Insertion,0
9,30,Deletion,2
9,30,Stop gain/loss,3
9,30,DBS,0
9,30,Splice,1
10,30,Missense,32
10,30,Insertion,0
10,30,Deletion,1
10,30,Stop gain/loss,0
10,30,DBS,1
10,30,Splice,5
11,30,Missense,39
11,30,Insertion,0
11,30,Deletion,0
11,30,Stop gain/loss,7
11,30,DBS,0
11,30,Splice,2
12,30,Missense,31
12,30,Insertion,1
12,30,Deletion,0
12,30,Stop gain/loss,6
12,30,DBS,0
12,30,Splice,0
13,30,Missense,34
13,30,Insertion,1
13,30,Deletion,2
13,30,Stop gain/loss,9
13,30,DBS,1
13,30,Splice,1
14,30,Missense,39
14,30,Insertion,1
14,30,Deletion,5
14,30,Stop gain/loss,2
14,30,DBS,1
14,30,Splice,0
15,30,Missense,41
15,30,Insertion,1
15,30,Deletion,0
15,30,Stop gain/loss,4
15,30,DBS,0
15,30,Splice,2
16,30,Missense,29
16,30,Insertion,0
16,30,Deletion,2
16,30,Stop gain/loss,5
16,30,DBS,1
16,30,Splice,4
17,30,Missense,48
17,30,Insertion,0
17,30,Deletion,10
17,30,Stop gain/loss,4
17,30,DBS,0
17,30,Splice,1
18,30,Missense,39
18,30,Insertion,1
18,30,Deletion,3
18,30,Stop gain/loss,4
18,30,DBS,1
18,30,Splice,1
19,30,Missense,49
19,30,Insertion,0
19,30,Deletion,2
19,30,Stop gain/loss,8
19,30,DBS,3
19,30,Splice,2
20,30,Missense,36
20,30,Insertion,3
20,30,Deletion,2
20,30,Stop gain/loss,4
20,30,DBS,1
20,30,Splice,0
21,30,Missense,35
21,30,Insertion,0
21,30,Deletion,2
21,30,Stop gain/loss,1
21,30,DBS,1
21,30,Splice,1
22,30,Missense,39
22,30,Insertion,2
22,30,Deletion,13
22,30,Stop gain/loss,2
22,30,DBS,2
22,30,Splice,2
23,30,Missense,31
23,30,Insertion,0
23,30,Deletion,3
23,30,Stop gain/loss,1
23,30,DBS,2
23,30,Splice,3
24,30,Missense,63
24,30,Insertion,3
24,30,Deletion,4
