gene_symbol,row_label,gene_label,candidate_group,lollipop_order,mutation_type,n_mutations,total_mutations
Cep170b,Cep170b / CEP170B,Cep170b / CEP170B,Initiation (I),1,Missense,2,2
Cep170b,Cep170b / CEP170B,Cep170b / CEP170B,Initiation (I),1,Deletion,0,2
Cep170b,Cep170b / CEP170B,Cep170b / CEP170B,Initiation (I),1,Stop gain/loss,0,2
Cep170b,Cep170b / CEP170B,Cep170b / CEP170B,Initiation (I),1,DBS,0,2
Cep170b,Cep170b / CEP170B,Cep170b / CEP170B,Initiation (I),1,Splice,0,2
Ube2d2a,Ube2d2a / UBE2D2,Ube2d2a / UBE2D2,Initiation (I),2,Missense,2,2
Ube2d2a,Ube2d2a / UBE2D2,Ube2d2a / UBE2D2,Initiation (I),2,Deletion,0,2
Ube2d2a,Ube2d2a / UBE2D2,Ube2d2a / UBE2D2,Initiation (I),2,Stop gain/loss,0,2
Ube2d2a,Ube2d2a / UBE2D2,Ube2d2a / UBE2D2,Initiation (I),2,DBS,0,2
Ube2d2a,Ube2d2a / UBE2D2,Ube2d2a / UBE2D2,Initiation (I),2,Splice,0,2
Ophn1,Ophn1 / OPHN1,Ophn1 / OPHN1,Initiation (I),3,Missense,3,3
Ophn1,Ophn1 / OPHN1,Ophn1 / OPHN1,Initiation (I),3,Deletion,0,3
Ophn1,Ophn1 / OPHN1,Ophn1 / OPHN1,Initiation (I),3,Stop gain/loss,0,3
Ophn1,Ophn1 / OPHN1,Ophn1 / OPHN1,Initiation (I),3,DBS,0,3
Ophn1,Ophn1 / OPHN1,Ophn1 / OPHN1,Initiation (I),3,Splice,0,3
Dennd1c,Dennd1c / DENND1C,Dennd1c / DENND1C,Initiation (I),4,Missense,3,3
Dennd1c,Dennd1c / DENND1C,Dennd1c / DENND1C,Initiation (I),4,Deletion,0,3
Dennd1c,Dennd1c / DENND1C,Dennd1c / DENND1C,Initiation (I),4,Stop gain/loss,0,3
Dennd1c,Dennd1c / DENND1C,Dennd1c / DENND1C,Initiation (I),4,DBS,0,3
Dennd1c,Dennd1c / DENND1C,Dennd1c / DENND1C,Initiation (I),4,Splice,0,3
Rasd2,Rasd2 / RASD2,Rasd2 / RASD2,Initiation (I),5,Missense,2,2
Rasd2,Rasd2 / RASD2,Rasd2 / RASD2,Initiation (I),5,Deletion,0,2
Rasd2,Rasd2 / RASD2,Rasd2 / RASD2,Initiation (I),5,Stop gain/loss,0,2
Rasd2,Rasd2 / RASD2,Rasd2 / RASD2,Initiation (I),5,DBS,0,2
Rasd2,Rasd2 / RASD2,Rasd2 / RASD2,Initiation (I),5,Splice,0,2
Folh1,Folh1 / FOLH1,Folh1 / FOLH1,Initiation (I),6,Missense,3,3
Folh1,Folh1 / FOLH1,Folh1 / FOLH1,Initiation (I),6,Deletion,0,3
Folh1,Folh1 / FOLH1,Folh1 / FOLH1,Initiation (I),6,Stop gain/loss,0,3
Folh1,Folh1 / FOLH1,Folh1 / FOLH1,Initiation (I),6,DBS,0,3
Folh1,Folh1 / FOLH1,Folh1 / FOLH1,Initiation (I),6,Splice,0,3
Bmper,Bmper / BMPER,Bmper / BMPER,Initiation (I),7,Missense,2,2
Bmper,Bmper / BMPER,Bmper / BMPER,Initiation (I),7,Deletion,0,2
Bmper,Bmper / BMPER,Bmper / BMPER,Initiation (I),7,Stop gain/loss,0,2
Bmper,Bmper / BMPER,Bmper / BMPER,Initiation (I),7,DBS,0,2
Bmper,Bmper / BMPER,Bmper / BMPER,Initiation (I),7,Splice,0,2
Srgap1,Srgap1 / SRGAP1,Srgap1 / SRGAP1,Initiation (I),8,Missense,1,2
Srgap1,Srgap1 / SRGAP1,Srgap1 / SRGAP1,Initiation (I),8,Deletion,0,2
Srgap1,Srgap1 / SRGAP1,Srgap1 / SRGAP1,Initiation (I),8,Stop gain/loss,0,2
Srgap1,Srgap1 / SRGAP1,Srgap1 / SRGAP1,Initiation (I),8,DBS,0,2
Srgap1,Srgap1 / SRGAP1,Srgap1 / SRGAP1,Initiation (I),8,Splice,1,2
Xirp2,Xirp2 / XIRP2,Xirp2 / XIRP2,Initiation (I),9,Missense,2,2
Xirp2,Xirp2 / XIRP2,Xirp2 / XIRP2,Initiation (I),9,Deletion,0,2
Xirp2,Xirp2 / XIRP2,Xirp2 / XIRP2,Initiation (I),9,Stop gain/loss,0,2
Xirp2,Xirp2 / XIRP2,Xirp2 / XIRP2,Initiation (I),9,DBS,0,2
Xirp2,Xirp2 / XIRP2,Xirp2 / XIRP2,Initiation (I),9,Splice,0,2
Cldn18,Cldn18 / CLDN18,Cldn18 / CLDN18,Initiation (I),10,Missense,3,3
Cldn18,Cldn18 / CLDN18,Cldn18 / CLDN18,Initiation (I),10,Deletion,0,3
Cldn18,Cldn18 / CLDN18,Cldn18 / CLDN18,Initiation (I),10,Stop gain/loss,0,3
Cldn18,Cldn18 / CLDN18,Cldn18 / CLDN18,Initiation (I),10,DBS,0,3
Cldn18,Cldn18 / CLDN18,Cldn18 / CLDN18,Initiation (I),10,Splice,0,3
Plce1,Plce1 / PLCE1,Plce1 / PLCE1,Initiation (I),11,Missense,2,2
