gene_symbol,Morphologically normal,HF papilloma,HF SCC,Skin papilloma,Skin SCC
Zfp39,1,0,1,0,0
Krtap4-6,1,1,1,0,0
Gm11596,1,1,1,0,0
Gm11569,1,0,1,0,0
Zfp458,1,0,1,1,1
Zfp457,1,1,1,0,0
Ajuba,1,0,0,0,0
Kmt2d,1,1,1,0,0
Lrp1b,1,0,1,1,0
Flg2,1,1,1,1,1
Kmt2c,1,1,1,1,0
Zan,1,1,1,0,1
Fn1,1,1,1,0,0
Lrp1,1,1,1,0,0
Erbb2,1,0,1,1,0
Gm11563,1,1,1,0,0
Krtap4-9,1,1,1,0,0
Krtap4-16,1,1,1,1,1
Ptch1,1,0,1,1,0
Cobll1,1,1,1,0,0
Gm10801,1,1,1,0,1
Ncoa6,1,0,0,0,0
Grin2d,1,0,0,0,0
Bbs9,1,1,1,0,0
Copb2,1,0,1,1,0
Med12,1,1,0,0,0
Pkhd1,1,1,1,0,0
Dst,1,1,1,0,0
Hmcn1,1,1,1,0,0
Tnr,1,1,1,1,0
Syne1,1,1,1,1,0
Erbb3,1,0,1,0,0
Rpa1,0,0,1,0,0
Krtap1-3,1,1,1,0,1
2300003K06Rik,1,1,1,0,0
Rhbdf2,0,0,1,0,0
Apob,1,0,1,0,0
Kcnh5,1,0,1,0,0
Syne2,1,1,1,0,0
Ryr2,1,1,1,1,0
Wnk2,1,0,1,0,0
Gm21738,1,1,1,0,1
Myh9,1,0,1,0,0
Crebbp,1,0,1,0,0
Notch3,1,1,1,0,0
Ttc27,0,0,1,0,0
Abcc2,1,1,1,0,0
Tsc1,0,0,1,0,0
Abcb11,0,1,1,0,0
Akap9,1,1,1,0,0
Trrap,1,0,1,0,0
Slc13a1,0,1,1,0,0
Wnk1,1,0,1,0,0
Akt2,0,0,1,0,0
Blm,1,1,1,0,0
Iqgap1,1,0,1,0,0
Smg1,1,1,1,0,0
Palld,1,0,1,0,0
Setd2,1,1,1,0,0
Ltf,1,0,1,0,0
Fbxo21,0,0,1,0,0
Foxp2,0,0,1,0,0
Egfr,1,1,1,0,0
Gm11595,1,1,1,0,0
Gm11559,1,0,1,0,1
Krtap9-1,1,0,1,0,1
Usp24,0,1,1,0,0
Arid1a,1,1,1,0,0
Gm45337,0,0,1,0,0
Unc13a,1,0,1,0,0
Dnm2,1,1,1,0,0
Atm,1,0,1,0,0
Pde4dip,1,1,1,0,0
Ddr2,0,1,1,0,0
Ros1,1,0,1,0,0
Krtap4-7,1,1,1,0,0
Vps13b,1,1,1,0,0
Ep300,1,1,1,1,0
Notch4,1,1,1,1,0
Chuk,1,0,1,0,0
Ptprt,1,1,1,0,0
Notch2,1,1,1,0,0
Cdkn2a,0,0,1,0,0
Spen,1,0,1,0,0
Bicra,1,1,1,1,0
Pard3,1,0,1,1,0
Gm10722,1,1,1,1,1
Glrp1,1,0,0,0,1
Cactin,1,0,0,0,1
Bcas3,1,0,0,0,0
Gm11555,1,1,1,0,1
Bag6,1,0,0,0,0
Nup214,1,1,1,0,0
Asxl1,1,0,1,0,0
Csmd2,1,0,1,1,0
Peg10,1,1,1,0,0
Fam155a,1,0,0,0,1
Fat1,1,1,1,0,0
Hydin,1,0,0,0,0
Dnmt3a,1,0,0,0,0
Trappc9,1,1,1,1,0
Med12l,1,0,0,0,0
Sall1,1,1,0,0,0
Gm11168,1,0,1,1,0
Gm10717,1,1,1,1,1
Smarca2,1,0,1,0,0
Pten,1,1,1,0,0
Notch1,1,0,0,0,0
Gm49918,1,0,1,0,1
Maml1,1,0,0,0,0
Krtap4-1,1,1,1,0,0
Gm11554,1,1,0,0,0
Gm11564,1,1,1,0,0
Krtap9-5,1,1,1,1,1
Scn4a,1,0,0,0,0
Grin2a,1,1,1,0,0
Tbc1d5,1,0,0,1,0
Dclre1a,1,1,0,0,0
Mtor,1,0,0,0,0
Atrx,1,0,0,0,0
Huwe1,1,0,1,1,1
Dusp8,1,1,1,1,0
Eif2d,0,1,1,0,0
Nav3,1,0,1,0,0
Dicer1,1,0,1,0,0
Rpgrip1,1,1,1,0,0
Taf2,0,0,1,0,0
Arid2,0,0,1,1,0
Loxhd1,1,1,1,0,0
Sox2,0,0,1,0,0
Tet2,0,1,1,0,0
Abcb1a,1,1,1,1,0
Grm3,1,1,1,0,0
Kdr,0,1,1,0,0
Cntnap4,1,1,1,0,0
Smarca4,1,1,1,1,0
Vmn2r82,1,0,1,0,0
Gm14190,0,1,1,0,0
Gm5414,0,0,1,0,0
Card11,0,0,1,0,0
Snx25,0,0,1,0,0
Ctcf,0,0,1,0,0
Zfhx3,1,1,1,1,0
Scn10a,0,1,1,0,0
Myof,0,1,1,0,0
Rras2,0,0,1,0,0
Usp9x,1,0,1,0,0
Gm10800,1,1,1,1,0
Pign,1,0,1,0,0
Rexo1,1,0,1,0,0
Myocd,0,0,1,0,0
Tob1,1,0,1,0,0
Pcdha1,1,0,1,0,0
Scn1a,1,0,1,0,0
Klrc2,0,0,1,0,0
Nlrp12,1,0,1,0,0
Adam29,1,1,1,0,0
Nf1,1,1,0,0,0
H2bc9,0,1,0,0,0
Zfp729a,1,1,0,0,0
Fat4,1,1,0,0,0
D6Ertd527e,1,1,0,1,1
Hras,1,1,0,1,0
Unc13c,1,1,0,0,0
Kdm5b,1,0,1,0,0
Adcy10,1,0,1,0,0
Psme4,1,0,1,1,0
Slit3,1,1,0,1,0
Krtap4-8,1,1,0,0,0
Rasa1,1,0,1,0,0
Cacna1d,1,0,0,0,0
Krt8,1,0,0,0,0
Soat2,1,0,0,0,0
Maml3,1,0,0,0,0
Unc13b,1,0,0,0,1
Kit,1,0,0,0,0
Atp2a2,1,0,0,0,0
Smo,1,1,0,0,0
Ezh2,1,0,0,0,0
Cnot1,1,1,1,0,0
Dmxl2,1,0,0,0,0
Col12a1,1,0,1,0,0
Kdm6a,1,1,0,0,0
Cr2,0,1,0,0,0
Vmn2r81,0,1,0,0,0
Lrp2,1,1,0,0,0
Nfe2l2,0,1,0,0,0
Braf,1,1,0,0,0
Hcn1,1,1,1,1,0
Amotl1,1,0,0,0,0
Ptprm,1,1,0,0,0
Zfp644,1,1,0,1,0
Zfp384,1,0,0,0,0
Gm11567,1,1,0,0,1
Cyp2b10,1,1,0,0,0
H2bc3,0,1,0,0,0
Nr3c1,0,1,0,0,1
Fbn2,1,1,0,1,0
Fgfr3,0,1,0,0,0
Paxip1,1,1,0,0,1
Irf6,0,1,0,0,0
Fam170b,0,1,0,0,0
Pcdha2,1,1,0,0,0
Scn2a,1,1,1,0,0
Insrr,0,1,0,0,0
Gm11568,1,1,1,0,1
H2bc13,0,1,0,1,0
Krt90,0,0,1,0,0
Ash1l,1,1,1,0,0
H2bc1,0,0,1,0,0
Flt3,1,1,1,0,0
Zfp521,1,0,0,0,0
Pcdha5,1,0,0,0,0
Setx,1,0,0,0,0
Plcb1,1,0,0,0,0
Vhl,1,0,0,0,0
Nf2,0,1,0,0,0
Gm42416,1,1,0,0,0
Fgfr1,1,1,0,0,0
Rpl10-ps3,0,1,0,0,0
Gm9736,1,1,0,0,0
Vmn2r83,0,1,0,0,0
Brdt,0,1,0,0,0
Brca2,0,1,0,0,0
Cyp2b23,0,1,0,0,0
Synm,0,1,0,0,0
Eed,1,1,1,0,0
Rb1,1,0,0,0,0
Krt71,1,0,0,0,0
Arid1b,1,0,0,0,0
Tcerg1,1,0,0,0,0
Sec24b,1,0,0,0,0
Dcaf1,1,0,0,0,0
Cyld,0,0,1,0,0
Wwc1,0,0,1,0,0
Pcdha3,1,0,1,0,0
Alkbh3,0,0,1,0,0
Zfp810,1,0,1,0,0
Ripk4,1,0,0,1,0
Nfkb1,1,1,0,0,0
Maml2,1,0,0,0,0
Aff3,1,0,0,0,0
Bcr,1,0,1,0,0
Bcl11b,1,0,0,0,0
Scn8a,1,0,1,0,0
Abcb4,1,0,1,0,0
Smad4,1,0,0,0,0
Scn9a,1,1,0,0,0
Dclk1,1,0,0,0,0
H2bc18,1,0,0,1,0
Kras,1,0,0,0,0
Krtap4-13,1,0,0,0,0
Pou3f2,1,0,0,0,0
Krt6a,1,0,0,0,1
Dlx6,1,0,0,0,0
Mrgprb5,1,0,0,0,0
Erbb4,1,0,0,0,0
Vmn2r80,1,0,0,0,0
Klrc3,1,0,0,0,0
Krtap4-2,0,0,1,1,1
St6galnac5,1,0,1,0,0
Krtap10-10,1,0,0,0,0
Nrg2,1,0,1,0,0
Brpf1,1,0,0,0,0
Krt2,1,1,0,0,0
Krt4,1,0,0,0,0
Zfhx4,1,0,0,0,0
Mllt3,1,0,0,1,1
Cyp2b19,0,0,0,1,1
Mamld1,1,0,0,0,1
Zfp729b,1,0,0,0,1
Dach1,1,0,0,0,0
Foxp1,1,0,0,0,0
Scn5a,1,0,0,0,0
H2bc21,0,0,0,1,0
Zfp423,1,1,0,1,0
Krt84,1,0,0,0,0
Bahcc1,1,0,0,1,0
Gm5442,0,0,0,0,1
Mn1,0,0,0,1,0
Nap1l3,0,0,0,1,0
Myh10,1,0,0,0,0
Scn3a,1,0,0,0,0
Brpf3,1,0,0,0,1
Cdkn2b,0,0,0,0,1
2010300C02Rik,1,0,0,1,0
Ugt1a6a,1,0,0,0,0
Prg4,1,1,0,0,0
Duxf3,1,0,0,0,0
Ahsa2,1,0,0,0,0
Sqstm1,1,0,0,0,0
Rufy1,1,0,0,0,0
Obscn,1,0,0,1,0
Tbcd,1,0,0,0,0
Ptgr2,1,0,0,0,0
Unc79,1,0,0,0,0
4933417A18Rik,1,0,0,0,0
Fam120a,1,0,0,0,0
Bdp1,1,0,0,0,0
Dnah12,1,0,0,0,0
Ptk2b,1,0,0,0,0
Ppl,1,0,0,1,0
Mrtfb,1,0,0,0,0
Klhl22,1,0,0,0,0
Casr,1,0,0,0,0
Olfr1504,1,0,0,0,0
Ciz1,1,0,0,0,0
Abtb2,1,0,0,0,0
Pygb,1,0,0,0,0
Tek,1,0,0,0,0
D5Ertd579e,1,0,0,0,0
Slc34a2,1,0,0,0,0
Exoc1,1,0,0,1,0
Suds3,1,0,0,0,0
Krba1,1,0,0,0,0
Muc6,1,0,0,1,0
Muc5b,1,1,0,0,0
Pnpla6,1,0,0,0,0
Olfr982,1,0,0,0,0
Kmt2a,1,0,0,0,0
Mst1r,1,0,0,1,0
Amer1,1,0,0,1,0
Mroh2a,1,0,0,0,0
AW822073,1,1,0,0,0
Cct4,1,0,0,0,0
Vmn2r115,1,1,0,0,0
Ccdc183,1,0,0,0,0
Sema3f,1,0,0,0,0
Dnah8,1,1,0,1,0
Zzef1,1,1,0,0,0
Trpc7,1,1,0,0,0
Muc4,1,1,0,1,0
Sos1,0,1,0,0,0
Cep192,1,1,0,0,0
4932438A13Rik,1,1,0,1,0
Bcl9,0,1,0,0,0
Med13l,1,1,0,0,0
St18,1,1,0,0,0
Rrs1,1,1,0,1,0
Kcnq5,0,1,0,0,0
Amer3,0,1,0,0,0
Fer1l5,0,1,0,0,0
Spag16,0,1,0,0,0
Obsl1,1,1,0,0,0
AC167036.1,1,1,0,1,0
C130026I21Rik,1,1,0,1,0
G530012D18Rik,0,1,0,0,0
Kif1a,0,1,0,0,0
Gin1,0,1,0,0,0
Zp3r,0,1,0,0,0
Ptprv,1,1,0,0,0
Aspm,1,1,0,0,0
Edem3,1,1,0,0,0
Fasl,0,1,0,0,0
Sell,0,1,0,1,0
Cd247,1,1,0,0,0
Dusp27,0,1,0,0,0
Dnah14,1,1,0,0,0
Angel2,1,1,0,0,0
Phactr2,1,1,0,0,0
Gm4922,0,1,0,0,0
Themis,0,1,0,0,0
Prdm1,1,1,0,0,0
Lilrb4a,1,1,0,0,0
Kifbp,0,1,0,0,0
Mypn,0,1,0,0,0
Mcm3ap,1,1,0,0,0
Mbd3,1,1,0,0,0
Slc41a2,0,1,0,0,0
Ccer1,0,1,0,0,0
Atp2b1,0,1,0,0,0
Lrriq1,1,1,0,0,0
Slc6a15,0,1,0,0,0
Trhde,0,1,0,0,0
Ifng,0,1,0,0,0
Srgap1,0,1,0,1,0
Olfr824,0,1,0,0,0
Polm,0,1,0,0,0
Nacad,0,1,0,0,0
Ddc,0,1,0,0,0
D130052B06Rik,0,1,0,0,0
Adra1b,0,1,0,0,0
Gm12166,0,1,0,0,0
Psme2b,0,1,0,0,0
Tnip1,0,1,0,0,0
Olfr224,0,1,0,0,0
Rai1,0,1,0,0,0
Zkscan6,1,1,0,0,0
Myh3,0,1,0,1,0
Myh13,0,1,0,1,0
Per1,0,1,0,0,0
Septin4,0,1,0,0,0
Wfikkn2,1,1,0,0,0
Kat2a,0,1,0,0,0
Ezh1,0,1,0,1,0
Brca1,0,1,0,0,0
Ddx42,0,1,0,0,0
Tcam1,0,1,0,0,0
Myo15b,0,1,0,0,0
Sgsh,0,1,0,0,0
Tepsin,0,1,0,0,0
Gcgr,1,1,0,0,0
Sectm1b,0,1,0,0,0
Rpl10l,0,1,0,0,0
Cdkl1,0,1,0,0,0
Six4,0,1,0,0,0
Ylpm1,0,1,0,0,0
A530016L24Rik,0,1,0,0,0
Cep170b,0,1,0,1,0
Elmo1,0,1,0,0,0
Olfr1369-ps1,0,1,0,1,0
Vmn1r198,0,1,0,0,0
Prl3d1,0,1,0,0,0
Uqcrfs1,0,1,0,0,0
Gmds,0,1,0,0,0
Serpinb1c,1,1,0,0,0
4921517D22Rik,0,1,0,0,0
BC051665,1,1,0,0,0
Cntnap3,0,1,0,0,0
Ice1,0,1,0,0,0
Serinc5,0,1,0,0,0
Kctd6,1,1,0,0,0
Nek10,0,1,0,0,0
Dnah1,1,1,0,0,0
Arhgap22,1,1,0,0,0
Gm47189,0,1,0,0,0
Mettl17,0,1,0,0,0
Trav13-1,0,1,0,0,0
Trav4-4-dv10,0,1,0,0,0
Myh6,1,1,0,0,0
Fam167a,0,1,0,0,0
Chrna2,0,1,0,0,0
Pcdh9,0,1,0,0,0
Ghr,0,1,0,0,0
Osmr,0,1,0,0,0
Ctnnd2,0,1,0,0,0
Gsdmc3,0,1,0,0,0
Mroh5,0,1,0,0,0
Cyp11b1,0,1,0,0,0
Cyp2d40,0,1,0,0,0
Rtl6,1,1,0,0,0
Dennd6b,0,1,0,0,0
Miox,0,1,0,0,0
Syt10,0,1,0,0,0
Muc19,1,1,0,0,0
Pus7l,0,1,0,0,0
Dip2b,1,1,0,0,0
Mefv,0,1,0,0,0
Pkp2,1,1,0,0,0
Ehhadh,0,1,0,0,0
Senp2,0,1,0,0,0
Muc20,1,1,0,0,0
Ncam2,1,1,0,0,0
2310057N15Rik,1,1,0,1,0
Dscam,0,1,0,0,0
Snx9,0,1,0,0,0
Vmn2r116,1,1,0,1,0
Vmn2r117,1,1,0,1,0
Traf7,0,1,0,0,0
Prss34,1,1,0,0,0
Umodl1,0,1,0,0,0
Myo1f,0,1,0,0,0
Col11a2,0,1,0,0,0
Btnl4,0,1,0,0,0
Ltb,0,1,0,0,0
2300002M23Rik,1,1,0,1,0
Mdc1,0,1,0,0,0
H2-M1,0,1,0,0,0
Olfr126,0,1,0,0,0
Olfr128,0,1,0,0,0
Olfr133,0,1,0,0,0
Olfr138,0,1,0,0,0
Ptchd4,1,1,0,1,0
Aars2,0,1,0,0,0
Hsp90ab1,1,1,0,1,0
Tmem63b,1,1,0,0,0
Ttbk1,1,1,0,0,0
Ubr2,1,1,0,0,0
Pgc,0,1,0,0,0
1700067P10Rik,0,1,0,0,0
Dennd1c,0,1,0,1,0
Msh2,1,1,0,0,0
Lyzl1,1,1,0,0,0
Gm10125,0,1,0,0,0
Lama3,1,1,0,0,0
Ttc39c,1,1,0,1,0
Cdh2,0,1,0,0,0
Pcdhb22,1,1,0,0,0
Trim36,0,1,0,0,0
Dmxl1,0,1,0,0,0
Rttn,1,1,0,0,0
Lipn,0,1,0,0,0
Sec31b,1,1,0,0,0
Gucy2g,0,1,0,0,0
Tdrd1,0,1,0,0,0
Emx2,0,1,0,0,0
Nebl,0,1,0,1,0
Arhgap21,1,1,0,0,0
Vav2,1,1,0,0,0
Crat,0,1,0,0,0
Ptgs1,0,1,0,0,0
Olfr351,0,1,0,0,0
Ttn,1,1,0,1,0
Olfr996,0,1,0,0,0
Olfr1090,1,1,0,0,0
Olfr1263,1,1,0,0,0
Olfr1267-ps1,0,1,0,0,0
Traf6,1,1,0,0,0
Wt1,0,1,0,0,0
Olfr1316,0,1,0,0,0
Olfr1317,0,1,0,0,0
Nutm1,0,1,0,0,0
Itpka,0,1,0,0,0
Sptbn5,0,1,0,0,0
Slc28a2,0,1,0,0,0
1700020A23Rik,0,1,0,0,0
Ddrgk1,0,1,0,0,0
Acss1,0,1,0,0,0
Slc35c2,0,1,0,0,0
Nfatc2,0,1,0,0,0
Sall4,1,1,0,0,0
Cass4,0,1,0,0,0
Edn3,0,1,0,0,0
Cdh26,0,1,0,0,0
Oprl1,0,1,0,0,0
Myt1,0,1,0,0,0
Zmat3,0,1,0,0,0
Pcdh10,0,1,0,0,0
Cog6,0,1,0,0,0
Tm4sf1,1,1,0,0,0
Siah2,0,1,0,0,0
Gpr149,1,1,0,0,0
Vmn2r128,0,1,0,1,0
Rsrc1,0,1,0,0,0
Glrb,1,1,0,0,0
Kirrel,0,1,0,0,0
Sprr2i,0,1,0,0,0
Kprp,0,1,0,0,0
Plekho1,0,1,0,0,0
Hsd3b5,0,1,0,0,0
5330417C22Rik,1,1,0,0,0
