gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
1110059E24Rik,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.194
1110059E24Rik,Skin papilloma,1,1,WES,skin04-c4-t2,0.059
1300017J02Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.031
1600014C10Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.033
1700003E16Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.115
1700006A11Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.249
1700013H16Rik,Morphologically normal,3,2,WES,skin04-c6-t2; skin05-b1-t2; skin05-e5-t2,0.053
1700013H16Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.024
1700020A23Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.026
1700029F12Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.053
1700057G04Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.071
1700057G04Rik,Skin papilloma,1,1,WES,skin04-c4-t2,0.053
1700067K01Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.067
1700067P10Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.024
1700123L14Rik,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.064
1810046K07Rik,Morphologically normal,2,2,WES,hairfollicle05-e5-t3; skin05-b1-t2,0.088
1810065E05Rik,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.093
2010300C02Rik,Morphologically normal,4,4,WES,hairfollicle03-a3; hairfollicle04-c6-t3; hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.316
2010300C02Rik,Skin papilloma,1,1,WES,skin04-c2-t2,0.03
2210408I21Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.125
2300002M23Rik,Morphologically normal,4,3,WES,hairfollicle05-e5-t3; skin04-c6-t2; skin05-b1-t2; skin05-e5-t2,0.042
2300002M23Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.026
2300002M23Rik,Skin papilloma,1,1,WES,skin04-c2-t2,0.031
2300003K06Rik,Morphologically normal,2,2,TES; WES,hairfollicle05-b5-t3; hairfollicle21-c5-w14,0.13
2300003K06Rik,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.075
2300003K06Rik,HF SCC,2,2,TES,hairfollicle21-b6-w14; hairfollicle21-b7-w8,0.864
2310003L06Rik,Morphologically normal,1,1,WES,skin05-e5-t2,0.097
2310034C09Rik,Morphologically normal,1,1,WES,skin05-e5-t2,0.018
2310034C09Rik,Skin papilloma,1,1,WES,skin04-c2-t2,0.041
2310050C09Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.034
2310057N15Rik,Morphologically normal,1,1,WES,skin05-b1-t2,0.025
2310057N15Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.029
2310057N15Rik,Skin papilloma,2,2,WES,skin04-c2-t2; skin04-c4-t2,0.037
2410004P03Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.071
2610005L07Rik,Skin papilloma,2,1,WES,skin04-c2-t2; skin04-c5-t2,0.091
2610507B11Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.051
2700049A03Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.091
2700081O15Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.115
3425401B19Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.083
3425401B19Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.029
4921507P07Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
4921517D22Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.04
4921539E11Rik,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.064
4930402K13Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.074
4930432K21Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.023
4930438A08Rik,Morphologically normal,1,1,WES,hairfollicle04-g2-t2,0.333
4930447A16Rik,Morphologically normal,1,1,WES,skin04-c6-t2,0.043
4930452B06Rik,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.078
4930503B20Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.087
4930516K23Rik,Skin papilloma,1,1,WES,skin04-c4-t2,0.061
4930522H14Rik,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.051
4930544D05Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.125
4930562F07Rik,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.054
4930578I06Rik,Morphologically normal,1,1,WES,skin04-c6-t2,0.071
4931406B18Rik,Morphologically normal,2,2,WES,hairfollicle05-b1-t3; hairfollicle05-c7-t2,0.1
4932411N23Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.119
4932438A13Rik,Morphologically normal,2,3,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.058
4932438A13Rik,HF papilloma,1,1,WES,hairfollicle03-f6-t2,0.179
4932438A13Rik,Skin papilloma,1,1,WES,skin04-c2-t2,0.059
4933402D24Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.04
4933402E13Rik,Morphologically normal,2,2,WES,hairfollicle05-b1-t3; hairfollicle05-e5-t3,0.199
4933402N03Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.023
4933412E24Rik,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.065
4933414I15Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
4933417A18Rik,Morphologically normal,1,1,WES,hairfollicle03-a3,0.9
5330417C22Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.036
5330417C22Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.043
5430427O19Rik,Morphologically normal,1,1,WES,skin04-c6-t2,0.088
6030458C11Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.063
6430571L13Rik,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.12
6430571L13Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.1
6430628N08Rik,Morphologically normal,1,1,WES,skin04-c6-t2,0.061
6530413G14Rik,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.214
8030462N17Rik,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.132
8030474K03Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.031
9130008F23Rik,Morphologically normal,1,1,WES,skin04-c6-t2,0.034
9130019O22Rik,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.033
9130230L23Rik,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.028
9430015G10Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.025
9530003J23Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.072
9530053A07Rik,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.03
9930021J03Rik,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.115
A1cf,Morphologically normal,2,2,WES,hairfollicle05-b5-t3; hairfollicle05-e5-t3,0.067
A1cf,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.047
A2m,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.129
A3galt2,Morphologically normal,1,1,WES,skin05-e5-t2,0.058
A530016L24Rik,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.029
A530032D15Rik,Morphologically normal,3,3,WES,hairfollicle04-c6-t3; hairfollicle05-b1-t3; skin05-b1-t2,0.196
A530064D06Rik,Skin papilloma,1,1,WES,skin04-c5-t2,0.079
AC147806.1,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.25
AC167036.1,Morphologically normal,2,2,WES,skin04-c6-t2; skin05-b1-t2,0.048
AC167036.1,HF papilloma,2,1,WES,hairfollicle04-c2-t3; hairfollicle04-c5-t3,0.15
AC167036.1,Skin papilloma,2,2,WES,skin04-c4-t2; skin04-c5-t2,0.059
AU015836,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.116
AU040320,Skin papilloma,1,1,WES,skin04-c4-t2,0.1
AV320801,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.103
AW551984,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.062
AW822073,Morphologically normal,5,3,WES,hairfollicle03-e6; hairfollicle04-g2-t2; hairfollicle05-b1-t3; hairfollicle05-b5-t3; hairfollicle05-c6,0.476
AW822073,HF papilloma,1,1,WES,hairfollicle05-b6-t2,0.363
Aadac,Morphologically normal,1,1,WES,skin04-c6-t2,0.097
Aadacl4fm2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.111
Aadacl4fm5,Skin papilloma,1,2,WES,skin04-c5-t2,0.07
Aak1,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.071
Aak1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.019
Aard,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.07
Aars,Skin papilloma,1,1,WES,skin04-c2-t2,0.026
Aars2,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.031
Aatk,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.046
Aatk,Skin papilloma,1,1,WES,skin04-c5-t2,0.077
Abca1,Morphologically normal,1,1,WES,skin05-b5-t2,0.045
Abca1,HF papilloma,2,2,WES,hairfollicle04-c4-t3; hairfollicle04-c5-t3,0.06
Abca13,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.059
Abca13,Skin papilloma,1,1,WES,skin04-c2-t2,0.032
Abca14,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.06
Abca15,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.125
Abca15,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.031
Abca16,Morphologically normal,1,1,WES,skin04-c6-t2,0.059
Abca16,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.067
Abca2,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.047
Abca3,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.089
Abca4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.024
Abca4,HF papilloma,2,3,WES,hairfollicle04-c2-t3; hairfollicle04-c5-t3,0.08
Abca6,Morphologically normal,2,2,WES,hairfollicle05-b1-t3; hairfollicle05-c7-t2,0.13
Abcb11,HF papilloma,1,1,TES,hairfollicle21-f1-w8,0.222
Abcb11,HF SCC,2,2,TES,hairfollicle21-b6-w14; hairfollicle21-c7-w8,0.5
Abcb1a,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.103
Abcb1a,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.034
Abcb1a,HF SCC,2,3,TES,hairfollicle21-c6-w14; hairfollicle21-f6-w19,0.111
Abcb1a,Skin papilloma,1,1,WES,skin04-c5-t2,0.029
Abcb4,Morphologically normal,1,1,WES,skin05-b1-t2,0.067
Abcb4,HF SCC,1,1,TES,hairfollicle21-f6-w19,0.144
Abcb7,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.057
Abcc1,Morphologically normal,1,1,WES,skin05-e5-t2,0.037
Abcc2,Morphologically normal,2,4,TES; WES,hairfollicle21-g1-w14; skin04-c6-t2,0.637
Abcc2,HF papilloma,1,1,TES,hairfollicle21-f1-w8,0.25
Abcc2,HF SCC,2,4,TES,hairfollicle21-b6-w14; hairfollicle21-b7-w8,0.828
Abcc3,Morphologically normal,1,1,WES,skin05-e5-t2,0.053
