time,grid,category
Week 8,a1,Visually normal
Week 8,a2,Visually normal
Week 8,a3,Visually normal
Week 8,a4,Visually normal
Week 8,a5,Visually normal
Week 8,a6,Visually normal
Week 8,a7,Visually normal
Week 8,b1,Visually normal
Week 8,b2,Visually normal
Week 8,b3,Visually normal
Week 8,b4,Visually normal
Week 8,b5,Visually normal
Week 8,b6,SCC
Week 8,b7,SCC
Week 8,c1,Visually normal
Week 8,c2,Visually normal
Week 8,c3,Visually normal
Week 8,c4,Visually normal
Week 8,c5,Visually normal
Week 8,c6,SCC
Week 8,c7,SCC
Week 8,d1,Visually normal
Week 8,d2,Papilloma
Week 8,d3,Visually normal
Week 8,d4,Visually normal
Week 8,d5,Papilloma
Week 8,d6,Papilloma
Week 8,d7,Visually normal
Week 8,e1,Papilloma
Week 8,e2,Papilloma
Week 8,e3,SCC
Week 8,e4,SCC
Week 8,e5,Visually normal
Week 8,e6,Visually normal
Week 8,e7,Visually normal
Week 8,f1,Papilloma
Week 8,f2,Visually normal
Week 8,f3,SCC
Week 8,f4,SCC
Week 8,f5,Visually normal
Week 8,f6,Visually normal
Week 8,f7,Visually normal
Week 8,g1,Visually normal
Week 8,g2,Visually normal
Week 8,g3,Visually normal
Week 8,g4,Visually normal
Week 8,g5,Visually normal
Week 8,g6,Visually normal
Week 8,g7,Visually normal
Week 14,a1,Visually normal
Week 14,a2,Visually normal
Week 14,a3,Visually normal
Week 14,a4,Visually normal
Week 14,a5,Visually normal
Week 14,a6,Visually normal
Week 14,a7,Visually normal
Week 14,b1,Visually normal
Week 14,b2,Visually normal
Week 14,b3,Visually normal
Week 14,b4,Visually normal
Week 14,b5,Visually normal
Week 14,b6,SCC
Week 14,b7,SCC
Week 14,c1,Visually normal
Week 14,c2,Visually normal
Week 14,c3,Visually normal
Week 14,c4,Visually normal
Week 14,c5,Visually normal
Week 14,c6,SCC
Week 14,c7,SCC
Week 14,d1,Visually normal
Week 14,d2,Papilloma
Week 14,d3,Visually normal
Week 14,d4,Visually normal
Week 14,d5,Papilloma
Week 14,d6,Papilloma
Week 14,d7,Visually normal
Week 14,e1,Papilloma
Week 14,e2,Papilloma
Week 14,e3,SCC
Week 14,e4,SCC
Week 14,e5,Visually normal
Week 14,e6,Visually normal
Week 14,e7,Visually normal
Week 14,f1,Papilloma
Week 14,f2,Visually normal
Week 14,f3,SCC
Week 14,f4,SCC
Week 14,f5,Visually normal
Week 14,f6,Visually normal
Week 14,f7,Visually normal
Week 14,g1,Visually normal
Week 14,g2,Visually normal
Week 14,g3,Visually normal
Week 14,g4,Visually normal
Week 14,g5,Visually normal
Week 14,g6,Visually normal
Week 14,g7,Visually normal
Week 17,a1,Visually normal
Week 17,a2,Visually normal
Week 17,a3,Visually normal
Week 17,a4,Visually normal
Week 17,a5,Visually normal
Week 17,a6,Visually normal
Week 17,a7,Visually normal
Week 17,b1,Visually normal
Week 17,b2,Visually normal
Week 17,b3,Visually normal
Week 17,b4,Visually normal
Week 17,b5,Visually normal
Week 17,b6,SCC
Week 17,b7,SCC
Week 17,c1,Visually normal
Week 17,c2,Visually normal
Week 17,c3,Visually normal
Week 17,c4,Visually normal
Week 17,c5,Visually normal
Week 17,c6,SCC
Week 17,c7,SCC
Week 17,d1,Papilloma
Week 17,d2,Papilloma
Week 17,d3,Visually normal
Week 17,d4,Visually normal
Week 17,d5,Papilloma
Week 17,d6,Papilloma
Week 17,d7,Visually normal
Week 17,e1,Papilloma
Week 17,e2,Papilloma
Week 17,e3,SCC
Week 17,e4,SCC
Week 17,e5,Visually normal
Week 17,e6,Visually normal
Week 17,e7,Visually normal
Week 17,f1,Visually normal
Week 17,f2,Visually normal
Week 17,f3,SCC
Week 17,f4,SCC
Week 17,f5,Visually normal
Week 17,f6,Visually normal
Week 17,f7,Visually normal
Week 17,g1,Visually normal
Week 17,g2,Visually normal
Week 17,g3,SCC
Week 17,g4,SCC
Week 17,g5,Visually normal
Week 17,g6,Visually normal
Week 17,g7,Visually normal
Week 19,a1,Visually normal
Week 19,a2,Visually normal
Week 19,a3,Visually normal
Week 19,a4,Visually normal
Week 19,a5,Visually normal
Week 19,a6,SCC
Week 19,a7,SCC
Week 19,b1,Visually normal
Week 19,b2,Visually normal
Week 19,b3,Visually normal
Week 19,b4,Visually normal
Week 19,b5,Visually normal
Week 19,b6,SCC
Week 19,b7,SCC
Week 19,c1,Visually normal
Week 19,c2,Visually normal
Week 19,c3,Visually normal
Week 19,c4,Visually normal
Week 19,c5,Visually normal
Week 19,c6,Visually normal
