sample_name,time,input_conc,treatment,tissue
hairfollicle21-e1-w8,Week 8,23.63,DT,Hair follicle
hairfollicle21-f2-w8,Week 8,140.25,DT,Hair follicle
hairfollicle21-f4-w8,Week 8,22.95,DT,Hair follicle
hairfollicle21-f6-w8,Week 8,28.73,DT,Hair follicle
hairfollicle21-f7-w8,Week 8,19.89,DT,Hair follicle
hairfollicle21-g2-w8,Week 8,139.06,DT,Hair follicle
hairfollicle21-g6-w8,Week 8,15.011,DT,Hair follicle
hairfollicle21-g7-w8,Week 8,20.91,DT,Hair follicle
hairfollicle19-A3_Ac-w19,Week 19,4.063,Acetone,Hair follicle
hairfollicle19-A4_Ac-w19,Week 19,11.118,Acetone,Hair follicle
hairfollicle19-B3_Ac-w19,Week 19,8.483,Acetone,Hair follicle
hairfollicle19-B4_Ac-w19,Week 19,7.718,Acetone,Hair follicle
hairfollicle21-e1-w19,Week 19,17.85,DT,Hair follicle
hairfollicle21-f2-w19,Week 19,15.283,DT,Hair follicle
hairfollicle21-f4-w19,Week 19,46.41,DT,Hair follicle
hairfollicle21-f6-w19,Week 19,18.87,DT,Hair follicle
hairfollicle21-b5-w8,Week 8,22.44,DT,Hair follicle
hairfollicle21-b6-w8,Week 8,23.97,DT,Hair follicle
hairfollicle21-b7-w8,Week 8,22.95,DT,Hair follicle
hairfollicle21-c5-w8,Week 8,29.07,DT,Hair follicle
hairfollicle21-fc6-w8,Week 8,25.16,DT,Hair follicle
hairfollicle21-c7-w8,Week 8,21.42,DT,Hair follicle
hairfollicle21-d1-w8,Week 8,8.523,DT,Hair follicle
hairfollicle21-d2-w8,Week 8,19.04,DT,Hair follicle
hairfollicle21-d3-w8,Week 8,18.19,DT,Hair follicle
hairfollicle21-d4-w8,Week 8,13.753,DT,Hair follicle
hairfollicle21-e2-w8,Week 8,22.95,DT,Hair follicle
hairfollicle21-e3-w8,Week 8,18.87,DT,Hair follicle
hairfollicle21-e4-w8,Week 8,14.331,DT,Hair follicle
hairfollicle21-f1-w8,Week 8,20.91,DT,Hair follicle
hairfollicle21-f3-w8,Week 8,19.04,DT,Hair follicle
hairfollicle21-g1-w8,Week 8,17.34,DT,Hair follicle
hairfollicle21-g3-w8,Week 8,15.402,DT,Hair follicle
hairfollicle21-g4-w8,Week 8,22.1,DT,Hair follicle
hairfollicle21-e1-w14,Week 14,27.2,DT,Hair follicle
hairfollicle21-e1-w17,Week 17,25.67,DT,Hair follicle
hairfollicle21-f7-w19,Week 19,33.49,DT,Hair follicle
hairfollicle21-f2-w14,Week 14,28.22,DT,Hair follicle
hairfollicle21-f2-w17,Week 17,24.99,DT,Hair follicle
hairfollicle21-g2-w19,Week 19,21.93,DT,Hair follicle
hairfollicle21-f4-w17,Week 17,29.58,DT,Hair follicle
hairfollicle21-g6-w19,Week 19,17.34,DT,Hair follicle
hairfollicle21-f6-w14,Week 14,29.75,DT,Hair follicle
hairfollicle21-f6-w17,Week 17,34.34,DT,Hair follicle
hairfollicle21-g7-w19,Week 19,20.06,DT,Hair follicle
hairfollicle21-f7-w14,Week 14,26.52,DT,Hair follicle
hairfollicle21-f7-w17,Week 17,26.69,DT,Hair follicle
liver19-ac-w19,Week 19,175,Acetone,Liver
hairfollicle21-g2-w14,Week 14,17.51,DT,Hair follicle
hairfollicle21-g2-w17,Week 17,15.827,DT,Hair follicle
liver21-w19,Week 19,136.5,DT,Liver
hairfollicle21-g6-w14,Week 14,28.05,DT,Hair follicle
hairfollicle21-g6-w17,Week 17,22.1,DT,Hair follicle
hairfollicle21-g7-w14,Week 14,23.63,DT,Hair follicle
hairfollicle21-g7-w17,Week 17,28.05,DT,Hair follicle
skin19-ac-a3-w19,Week 19,204,Acetone,Skin
skin19-ac-a4-w19,Week 19,151.2,Acetone,Skin
hairfollicle21-b5-w14,Week 14,25.5,DT,Hair follicle
hairfollicle21-b6-w14,Week 14,15.334,DT,Hair follicle
hairfollicle21-b7-w14,Week 14,11.356,DT,Hair follicle
hairfollicle21-c5-w14,Week 14,16.303,DT,Hair follicle
hairfollicle21-c6-w14,Week 14,19.72,DT,Hair follicle
hairfollicle21-c7-w14,Week 14,16.082,DT,Hair follicle
hairfollicle21-d1-w14,Week 14,12.206,DT,Hair follicle
hairfollicle21-d2-w14,Week 14,27.37,DT,Hair follicle
hairfollicle21-d3-w14,Week 14,19.55,DT,Hair follicle
hairfollicle21-d4-w14,Week 14,28.73,DT,Hair follicle
