sample_name	total_target_bases	callable_bases_10x	pct_callable_10x	on_target_reads	total_reads_mapq20	overall_callable_10x	mapq	bq
hairfollicle19-a3-w19	1905487	1890908	99.2349	623132	3104609	4172357	20	20
hairfollicle19-a4-w19	1905487	1895195	99.4599	773962	3929262	4992503	20	20
hairfollicle19-b3-w19	1905487	1896810	99.5446	1987546	5354524	5944238	20	20
hairfollicle19-b4-w19	1905487	818756	42.9683	157329	2986667	1433020	20	20
hairfollicle21-b5-w8	1905487	1625747	85.3192	275580	5937399	4485350	20	20
hairfollicle21-b5-w14	1905487	1870434	98.1604	475229	11132047	6115898	20	20
hairfollicle21-b5-w17	1905487	636711	33.4146	137670	2111077	1260974	20	20
hairfollicle21-b6-w8	1905487	1556796	81.7007	213992	3316262	4040815	20	20
hairfollicle21-b6-w14	1905487	934040	49.0184	120031	10639837	2707874	20	20
hairfollicle21-b6-w17	1905487	1344942	70.5826	216794	3481429	2239444	20	20
hairfollicle21-b7-w8	1905487	588807	30.9006	79871	1466575	1600011	20	20
hairfollicle21-b7-w14	1905487	90453	4.7470	13572	826865	317452	20	20
hairfollicle21-b7-w17	1905487	106808	5.6053	18292	305489	726865	20	20
hairfollicle21-c1-w17	1905487	1896419	99.5241	2728967	16746192	5576935	20	20
hairfollicle21-c2-w17	1905487	1831668	96.1260	429748	10217107	3377249	20	20
hairfollicle21-c3-w17	1905487	1840803	96.6054	464440	2686138	4066871	20	20
hairfollicle21-c5-w8	1905487	1896370	99.5215	992666	5784313	7652218	20	20
hairfollicle21-c5-w14	1905487	1896925	99.5507	2384134	12369799	8015393	20	20
hairfollicle21-c5-w17	1905487	1878306	98.5735	653345	2508816	4055758	20	20
hairfollicle21-c6-w8	1905487	1704154	89.4340	275571	5683948	4250127	20	20
hairfollicle21-c6-w14	1905487	1897079	99.5587	3563850	100320821	39016084	20	20
hairfollicle21-c6-w17	1905487	269281	14.1319	57208	1105502	720408	20	20
hairfollicle21-c7-w8	1905487	990124	51.9617	119143	2551080	2556339	20	20
hairfollicle21-c7-w14	1905487	91924	4.8242	15485	219551	253240	20	20
hairfollicle21-c7-w17	1905487	106068	5.5665	15758	395089	743068	20	20
hairfollicle21-d1-w8	1905487	1897248	99.5676	1846905	20673147	8959394	20	20
hairfollicle21-d1-w14	1905487	126712	6.6498	31861	374703	386389	20	20
hairfollicle21-d1-w17	1905487	1897174	99.5637	28461089	35906153	6552297	20	20
hairfollicle21-d2-w8	1905487	1185282	62.2036	108384	3742075	3856618	20	20
hairfollicle21-d2-w14	1905487	1853127	97.2521	362419	3490448	4923717	20	20
hairfollicle21-d2-w17	1905487	1307207	68.6023	248772	870837	1773555	20	20
hairfollicle21-d3-w8	1905487	1028685	53.9854	105583	2040752	2538416	20	20
hairfollicle21-d3-w14	1905487	1897329	99.5719	1688387	11498437	8912812	20	20
hairfollicle21-d3-w17	1905487	251490	13.1982	70851	1046750	734405	20	20
hairfollicle21-d4-w8	1905487	1457989	76.5153	168544	4659079	4031194	20	20
hairfollicle21-d4-w14	1905487	360098	18.8980	87584	2440655	878960	20	20
hairfollicle21-d4-w17	1905487	1896036	99.5040	2454147	7823316	6847142	20	20
hairfollicle21-d5-w17	1905487	299965	15.7422	82790	1279967	732307	20	20
hairfollicle21-d6-w17	1905487	1896253	99.5154	1506868	5946160	6714743	20	20
hairfollicle21-d7-w17	1905487	73133	3.8380	9021	220013	487497	20	20
hairfollicle21-e1-w8	1905487	1894551	99.4261	910586	3898819	4958515	20	20
hairfollicle21-e1-w14	1905487	1896952	99.5521	2495729	14260683	6831340	20	20
hairfollicle21-e1-w17	1905487	1329577	69.7762	259468	1881406	1976902	20	20
hairfollicle21-e1-w19	1905487	1887838	99.0738	925392	3151810	4246567	20	20
hairfollicle21-e2-w8	1905487	1399125	73.4261	145896	4363136	4144713	20	20
hairfollicle21-e2-w14	1905487	1896396	99.5229	1123568	10978549	8678968	20	20
hairfollicle21-e2-w17	1905487	46666	2.4490	22293	224404	96470	20	20
hairfollicle21-e3-w8	1905487	1092797	57.3500	101961	1608544	3061262	20	20
hairfollicle21-e3-w14	1905487	1817072	95.3600	299755	2876194	6401981	20	20
hairfollicle21-e3-w17	1905487	1090460	57.2274	162421	2151963	1726768	20	20
hairfollicle21-e4-w8	1905487	748805	39.2973	73537	3385130	2535779	20	20
hairfollicle21-e4-w14	1905487	1897714	99.5921	3464035	53921584	13537542	20	20
hairfollicle21-e4-w17	1905487	457322	24.0003	83957	937325	1130164	20	20
hairfollicle21-e5-w17	1905487	1895058	99.4527	947736	3975595	5085448	20	20
hairfollicle21-e6-w17	1905487	1515288	79.5223	273503	2329912	2372833	20	20
hairfollicle21-e7-w17	1905487	29143	1.5294	5743	117175	210351	20	20
hairfollicle21-f1-w8	1905487	1666267	87.4457	226003	11416636	5118998	20	20
hairfollicle21-f1-w14	1905487	1897830	99.5982	3058700	20069607	8368855	20	20
hairfollicle21-f1-w17	1905487	1102887	57.8795	171904	1439249	1765464	20	20
hairfollicle21-f2-w8	1905487	1879962	98.6604	585203	3025650	3887266	20	20
hairfollicle21-f2-w14	1905487	1896413	99.5238	1226209	7927489	6596567	20	20
hairfollicle21-f2-w17	1905487	1102923	57.8814	192786	1106420	2140865	20	20
hairfollicle21-f2-w19	1905487	490926	25.7638	78918	903833	1337532	20	20
hairfollicle21-f3-w8	1905487	681431	35.7615	62378	1968576	2421663	20	20
hairfollicle21-f3-w17	1905487	1103505	57.9120	147369	1062681	1892017	20	20
hairfollicle21-f4-w8	1905487	560970	29.4397	117383	1165435	1019368	20	20
hairfollicle21-f4-w17	1905487	1896884	99.5485	3195912	14018093	7087420	20	20
hairfollicle21-f4-w19	1905487	268894	14.1116	89846	1040497	703676	20	20
hairfollicle21-f5-w17	1905487	1424369	74.7509	252396	2451193	2300146	20	20
hairfollicle21-f6-w8	1905487	1881110	98.7207	566694	10112363	3740226	20	20
hairfollicle21-f6-w14	1905487	1635044	85.8071	265899	2605019	3079898	20	20
hairfollicle21-f6-w17	1905487	1871363	98.2092	464128	2889046	4406615	20	20
hairfollicle21-f6-w19	1905487	1888528	99.1100	665498	3514606	4845090	20	20
hairfollicle21-f7-w8	1905487	151755	7.9641	53379	720837	482424	20	20
hairfollicle21-f7-w14	1905487	188037	9.8682	42104	672380	883633	20	20
hairfollicle21-f7-w17	1905487	66434	3.4865	29247	600801	261405	20	20
hairfollicle21-f7-w19	1905487	342477	17.9732	85270	1064449	1250293	20	20
hairfollicle21-g1-w8	1905487	1856293	97.4183	380768	4007271	5031802	20	20
hairfollicle21-g1-w14	1905487	1835282	96.3156	366867	4485211	3742096	20	20
hairfollicle21-g1-w17	1905487	1733346	90.9660	308918	2678395	3031080	20	20
hairfollicle21-g2-w8	1905487	196122	10.2925	48283	666512	828405	20	20
hairfollicle21-g2-w14	1905487	1358987	71.3197	224285	3082502	2329644	20	20
hairfollicle21-g2-w17	1905487	1644883	86.3235	279479	2752962	2771100	20	20
hairfollicle21-g2-w19	1905487	1051399	55.1774	206858	2754488	1633411	20	20
hairfollicle21-g3-w8	1905487	238269	12.5044	24130	585352	721269	20	20
hairfollicle21-g3-w14	1905487	720877	37.8316	55645	1208852	2011044	20	20
hairfollicle21-g3-w17	1905487	1894491	99.4229	918087	3536183	5249178	20	20
hairfollicle21-g4-w8	1905487	821384	43.1063	62138	1176771	2359885	20	20
hairfollicle21-g4-w14	1905487	374706	19.6646	114904	1278118	624356	20	20
hairfollicle21-g4-w17	1905487	524930	27.5483	105739	1526252	1049966	20	20
hairfollicle21-g5-w17	1905487	1346911	70.6859	207843	2574882	2175575	20	20
hairfollicle21-g6-w8	1905487	98627	5.1759	30951	554291	588555	20	20
hairfollicle21-g6-w14	1905487	1885563	98.9544	536142	3315347	4778335	20	20
hairfollicle21-g6-w17	1905487	191441	10.0468	37058	659636	763519	20	20
hairfollicle21-g6-w19	1905487	1266035	66.4415	208272	1416714	1947039	20	20
hairfollicle21-g7-w8	1905487	81459	4.2750	25446	448701	442895	20	20
hairfollicle21-g7-w14	1905487	98386	5.1633	21798	541599	574904	20	20
hairfollicle21-g7-w17	1905487	125967	6.6108	32133	464520	742954	20	20
hairfollicle21-g7-w19	1905487	230352	12.0889	60171	1100567	705152	20	20
