sample_name,grid,category
hairfollicle03-a3,a3,Visually normal
skin03-a3,a3,Visually normal
hairfollicle09-a4,a4,Acetone
hairfollicle09-a4-t2,a4,Acetone
skin09-a4,a4,Acetone
hairfollicle05-a6,a6,Visually normal
hairfollicle05-a6-t2,a6,Visually normal
skin05-a6,a6,Visually normal
hairfollicle05-b1,b1,Visually normal
hairfollicle05-b1-t2,b1,Visually normal
skin05-b1,b1,Visually normal
hairfollicle05-b1-t3,b1,Visually normal
skin05-b1-t2,b1,Visually normal
hairfollicle09-b2,b2,Acetone
hairfollicle09-b2-t2,b2,Acetone
skin09-b2,b2,Acetone
hairfollicle04-b5,b5,Visually normal
hairfollicle04-b5-t2,b5,Visually normal
hairfollicle05-b5,b5,Visually normal
hairfollicle05-b5-t2,b5,Visually normal
skin04-b5,b5,Visually normal
skin05-b5,b5,Visually normal
hairfollicle05-b5-t3,b5,Visually normal
skin05-b5-t2,b5,Visually normal
hairfollicle04-b6,b6,Visually normal
hairfollicle04-b6-t2,b6,Visually normal
hairfollicle05-b6,b6,Papilloma
hairfollicle05-b6-t2,b6,Papilloma
skin04-b6,b6,Visually normal
skin05-b6,b6,Papilloma
hairfollicle05-b7,b7,Papilloma
hairfollicle05-b7-t2,b7,Papilloma
skin05-b7,b7,Papilloma
hairfollicle04-c2,c2,Papilloma
hairfollicle04-c2-t2,c2,Papilloma
skin04-c2,c2,Papilloma
hairfollicle04-c2-t3,c2,Papilloma
skin04-c2-t2,c2,Papilloma
hairfollicle04-c4,c4,Papilloma
hairfollicle04-c4-t2,c4,Papilloma
skin04-c4,c4,Papilloma
hairfollicle04-c4-t3,c4,Papilloma
skin04-c4-t2,c4,Papilloma
hairfollicle03-c5,c5,Visually normal
hairfollicle04-c5,c5,Papilloma
hairfollicle04-c5-t2,c5,Papilloma
skin03-c5,c5,Visually normal
skin04-c5,c5,Papilloma
hairfollicle04-c5-t3,c5,Papilloma
skin04-c5-t2,c5,Papilloma
hairfollicle04-c6,c6,Visually normal
hairfollicle04-c6-t2,c6,Visually normal
hairfollicle05-c6,c6,Visually normal
skin04-c6,c6,Visually normal
skin05-c6,c6,Visually normal
hairfollicle04-c6-t3,c6,Visually normal
skin04-c6-t2,c6,Visually normal
hairfollicle05-c7,c7,Visually normal
skin05-c7,c7,Visually normal
hairfollicle05-c7-t2,c7,Visually normal
skin05-c7-t2,c7,Visually normal
hairfollicle05-e5,e5,Visually normal
hairfollicle05-e5-t2,e5,Visually normal
skin05-e5,e5,Visually normal
hairfollicle05-e5-t3,e5,Visually normal
skin05-e5-t2,e5,Visually normal
hairfollicle03-e6,e6,Visually normal
skin03-e6,e6,Visually normal
hairfollicle03-e7,e7,Visually normal
skin03-e7,e7,Visually normal
hairfollicle03-f5,f5,Visually normal
skin03-f5,f5,Visually normal
hairfollicle03-f6,f6,Papilloma
hairfollicle03-f6-t2,f6,Papilloma
skin03-f6,f6,Papilloma
hairfollicle03-f7,f7,Visually normal
hairfollicle03-f7-t2,f7,Visually normal
skin03-f7,f7,Visually normal
hairfollicle04-g2,g2,Visually normal
hairfollicle04-g2-t2,g2,Visually normal
skin04-g2,g2,Visually normal
hairfollicle03-g6,g6,Visually normal
hairfollicle03-g6-t2,g6,Visually normal
skin03-g6,g6,Visually normal
