sample_name	total_reads_mapq20	overall_callable_10x	mapq	bq
hairfollicle03-a3	10278497	16615241	20	20
hairfollicle03-c5	2041049	216272	20	20
hairfollicle03-e6	6896741	1261932	20	20
hairfollicle03-e7	2113620	144657	20	20
hairfollicle03-f5	1292142	107122	20	20
hairfollicle03-f6	2737310	390809	20	20
hairfollicle03-f6-t2	12374920	12540747	20	20
hairfollicle03-f7	371399	111670	20	20
hairfollicle03-f7-t2	1077803	73316	20	20
hairfollicle03-g6	740261	121280	20	20
hairfollicle03-g6-t2	2522391	113540	20	20
hairfollicle04-b5	80693	52368	20	20
hairfollicle04-b5-t2	2266077	150859	20	20
hairfollicle04-b6	387231	105628	20	20
hairfollicle04-b6-t2	2470014	184553	20	20
hairfollicle04-c2	14359484	23807596	20	20
hairfollicle04-c2-t2	27259375	53080879	20	20
hairfollicle04-c2-t3	106297176	107616319	20	20
hairfollicle04-c4	6222030	1481561	20	20
hairfollicle04-c4-t2	29650380	38651311	20	20
hairfollicle04-c4-t3	113333123	122710663	20	20
hairfollicle04-c5	10476395	12911497	20	20
hairfollicle04-c5-t2	23192751	42692367	20	20
hairfollicle04-c5-t3	113898069	121462999	20	20
hairfollicle04-c6	5959946	1271571	20	20
hairfollicle04-c6-t2	18507150	35391796	20	20
hairfollicle04-c6-t3	65152140	108851657	20	20
hairfollicle04-g2	831376	153509	20	20
hairfollicle04-g2-t2	6544112	895896	20	20
hairfollicle05-a6	239873	90470	20	20
hairfollicle05-a6-t2	5296982	408815	20	20
hairfollicle05-b1	704575	208750	20	20
hairfollicle05-b1-t2	8658751	5055877	20	20
hairfollicle05-b1-t3	16388682	61643811	20	20
hairfollicle05-b5	3442275	480949	20	20
hairfollicle05-b5-t2	13715226	23505523	20	20
hairfollicle05-b5-t3	31269618	94093879	20	20
hairfollicle05-b6	958241	236717	20	20
hairfollicle05-b6-t2	7204641	551659	20	20
hairfollicle05-b7	385826	80101	20	20
hairfollicle05-b7-t2	1547835	104284	20	20
hairfollicle05-c6	17000135	15291907	20	20
hairfollicle05-c7	11816123	14530220	20	20
hairfollicle05-c7-t2	24385433	75628571	20	20
hairfollicle05-e5	2726275	312081	20	20
hairfollicle05-e5-t2	26737667	46574934	20	20
hairfollicle05-e5-t3	99432002	101147138	20	20
hairfollicle09-a4	153598	74722	20	20
hairfollicle09-a4-t2	4106346	236155	20	20
hairfollicle09-b2	368367	104745	20	20
hairfollicle09-b2-t2	5475146	257386	20	20
liver03	25339302	47012363	20	20
liver04	23899950	44678534	20	20
liver05	19602618	37366639	20	20
liver09	27296766	48832449	20	20
skin03-a3	5886	0	20	20
skin03-c5	17899808	34428431	20	20
skin03-e6	19668305	38010089	20	20
skin03-e7	23914570	43791210	20	20
skin03-f5	19079098	36567554	20	20
skin03-f6	19399091	36848533	20	20
skin03-f7	19654185	37877162	20	20
skin03-g6	21119188	40944261	20	20
skin04-b5	19934646	38569757	20	20
skin04-b6	19402604	36794032	20	20
skin04-c2	22756323	43323787	20	20
skin04-c2-t2	144284826	98473392	20	20
skin04-c4	19436898	37332621	20	20
skin04-c4-t2	111619940	97291475	20	20
skin04-c5	23342840	43191390	20	20
skin04-c5-t2	113335410	93350124	20	20
skin04-c6	23431677	43571275	20	20
skin04-c6-t2	104091444	94343243	20	20
skin04-g2	22602743	42733617	20	20
skin05-a6	22019056	40751345	20	20
skin05-b1	25591827	46790415	20	20
skin05-b1-t2	124479775	91655366	20	20
skin05-b5	25816874	45963439	20	20
skin05-b5-t2	131238942	93312696	20	20
skin05-b6	25082902	45841328	20	20
skin05-b7	25190741	46100036	20	20
skin05-c6	26941808	48326091	20	20
skin05-c7	36516699	50243279	20	20
skin05-c7-t2	225504202	102788279	20	20
skin05-e5	25695110	46799320	20	20
skin05-e5-t2	116230131	95679679	20	20
skin09-a4	32403460	53306595	20	20
skin09-b2	27647803	48775652	20	20
