Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TTN	304814		1276	119	147	81.0%	No
MUC16	161547		676	91	147	61.9%	No
CSMD3	1214012		384	95	147	64.6%	No
LRP1B	1899594		315	107	176	60.8%	Yes
RYR2	791805		307	80	147	54.4%	No
PCLO	408919		305	71	147	48.3%	Yes
SYNE1	516115		264	91	176	51.7%	No
FAT4	178015		260	85	147	57.8%	Yes
DNAH5	321491		258	88	147	59.9%	No
USH2A	800558		247	86	147	58.5%	No
CSMD1	2059620		238	70	147	47.6%	No
COL11A1	232406		236	81	147	55.1%	No
ABCA13	476040		233	74	147	50.3%	No
APOB	42645		218	83	147	56.5%	No
PKHD1	472315		217	91	176	51.7%	No
PKHD1L1	174747		216	70	147	47.6%	No
ADGRV1	635094		214	68	147	46.3%	No
XIRP2	371274		205	61	147	41.5%	No
LRP2	235426		202	88	176	50.0%	No
TP53	25768		202	139	176	79.0%	Yes
RELN	518278		201	80	147	54.4%	Yes
SPTA1	76012		201	83	147	56.5%	No
KMT2D	41820		199	83	176	47.2%	Yes
CUBN	305846		198	84	176	47.7%	No
FLG	23075		197	71	147	48.3%	No
FAT3	671656		194	66	147	44.9%	No
MUC17	38788		186	71	147	48.3%	No
DNAH7	331135		183	77	147	52.4%	No
PCDH15	1825172		183	81	147	55.1%	No
RYR1	161583		182	72	147	49.0%	No
NOTCH1	51616		176	103	176	58.5%	Yes
FMN2	460840		175	73	147	49.7%	No
RYR3	555160		170	62	147	42.2%	No
AHNAK2	41131		169	51	147	34.7%	No
HMCN1	456559		168	80	147	54.4%	No
MUC4	65209		165	56	147	38.1%	No
RP1	362299		165	66	147	44.9%	No
COL22A1	325829		163	70	147	47.6%	No
DNAH11	358801		161	58	147	39.5%	No
FSIP2	94487		161	60	147	40.8%	No
MUC5B	39107		160	62	147	42.2%	No
HYDIN	428639		158	67	147	45.6%	No
CSMD2	651845		152	67	147	45.6%	No
DNAH8	315482		152	72	147	49.0%	No
ZFHX4	186043		148	62	147	42.2%	No
COL6A5	139331		147	62	147	42.2%	No
COL19A1	345913		145	57	147	38.8%	No
ERICH3	105676		145	66	147	44.9%	No
DNAH6	303135		143	59	147	40.1%	No
ANK2	566200		142	71	147	48.3%	No
COL24A1	427711		141	66	147	44.9%	No
DSCAM	836160		141	62	147	42.2%	No
COL4A4	161740		140	62	147	42.2%	No
LRTM3			139	45	147	30.6%	No
DNAH10	173533		137	68	147	46.3%	No
OBSCN	170833		137	58	147	39.5%	No
COL1A2	36408		136	70	147	47.6%	No
THSD7A	461834		136	55	147	37.4%	No
EYS	1987247		135	50	147	34.0%	No
UNC79	374658		134	62	147	42.2%	No
PRUNE2	295216		133	55	147	37.4%	No
AHNAK	122694		132	67	147	45.6%	No
COL6A3	90403		132	72	147	49.0%	No
SI	99599		131	54	147	36.7%	No
FAM135B	367239		130	64	147	43.5%	No
UNC13C	650507		130	53	147	36.1%	No
PAPPA2	382431		129	61	147	41.5%	No
ZNF831	135733		127	58	147	39.5%	No
ZNF469	57799		126	58	147	39.5%	No
ROS1	138590		125	72	176	40.9%	Yes
VCAN	110686		125	50	147	34.0%	No
MYO15A	71047		124	55	147	37.4%	No
FBN2	401277		123	58	147	39.5%	No
MUC12	49510		123	35	147	23.8%	No
NOTCH2	189227		123	75	176	42.6%	Yes
DNAH9	371279		121	65	147	44.2%	No
MACF1	405862		120	62	147	42.2%	No
SVEP1	214633		119	54	147	36.7%	No
DMD	2241933		116	53	147	36.1%	No
NEB	249152		116	53	147	36.1%	No
PTPRD	2298757		115	53	176	30.1%	Yes
BSN	117073		114	55	147	37.4%	No
SPHKAP	201733		114	60	147	40.8%	No
UNC80	227732		114	51	147	34.7%	No
DNAH3	226331		113	63	147	42.9%	No
