gene_symbol,gene_rank,gene_family,human_symbols,gene_length_kb,n_mutated_biopsies,n_recurrent_mutations,n_nonsynonymous_mutations,known_cscc_gene,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,ortholog_sources,num_ortholog_sources,annotation_database,annotation_source,has_msigdb_annotation
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,78887,MM11852,GOCC_CENTRIOLE,M5,GO:CC,GO Cellular Component,"A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle. [ISBN:0198547684]",MM,,,GO:0005814,http://amigo.geneontology.org/amigo/term/GO:0005814,2026.1.Mm,MM,NA,NA,GO,GO:CC,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,78887,MM11933,GOCC_MICROTUBULE_CYTOSKELETON,M5,GO:CC,GO Cellular Component,"The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins. [GOC:jl, ISBN:0395825172]",MM,,,GO:0015630,http://amigo.geneontology.org/amigo/term/GO:0015630,2026.1.Mm,MM,NA,NA,GO,GO:CC,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,78887,MM11853,GOCC_MICROTUBULE_ORGANIZING_CENTER,M5,GO:CC,GO Cellular Component,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides. [GOC:vw, ISBN:0815316194, PMID:17072892, PMID:17245416, Wikipedia:Microtubule_organizing_center]",MM,,,GO:0005815,http://amigo.geneontology.org/amigo/term/GO:0005815,2026.1.Mm,MM,NA,NA,GO,GO:CC,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,78887,MM13647,GOMF_PHOSPHATASE_BINDING,M5,GO:MF,GO Molecular Function,Binding to a phosphatase. [GOC:jl],MM,,,GO:0019902,http://amigo.geneontology.org/amigo/term/GO:0019902,2026.1.Mm,MM,NA,NA,GO,GO:MF,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM15207,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,M2,CP:REACTOME,Reactome Pathways,Anchoring of the basal body to the plasma membrane,MM,,,R-MMU-5620912,https://www.reactome.org/content/detail/R-MMU-5620912,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM15495,REACTOME_AURKA_ACTIVATION_BY_TPX2,M2,CP:REACTOME,Reactome Pathways,AURKA Activation by TPX2,MM,,,R-MMU-8854518,https://www.reactome.org/content/detail/R-MMU-8854518,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM14635,REACTOME_CELL_CYCLE,M2,CP:REACTOME,Reactome Pathways,Cell Cycle,MM,,,R-MMU-1640170,https://www.reactome.org/content/detail/R-MMU-1640170,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM19760,REACTOME_CELL_CYCLE_MITOTIC,M2,CP:REACTOME,Reactome Pathways,"Cell Cycle, Mitotic",MM,,,R-MMU-69278,https://www.reactome.org/content/detail/R-MMU-69278,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM15145,REACTOME_MITOTIC_G2_G2_M_PHASES,M2,CP:REACTOME,Reactome Pathways,Mitotic G2-G2/M phases,MM,,,R-MMU-453274,https://www.reactome.org/content/detail/R-MMU-453274,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM15362,REACTOME_MITOTIC_PROMETAPHASE,M2,CP:REACTOME,Reactome Pathways,Mitotic Prometaphase,MM,,,R-MMU-68877,https://www.reactome.org/content/detail/R-MMU-68877,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM15364,REACTOME_M_PHASE,M2,CP:REACTOME,Reactome Pathways,M Phase,MM,,,R-MMU-68886,https://www.reactome.org/content/detail/R-MMU-68886,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM14708,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,M2,CP:REACTOME,Reactome Pathways,Organelle biogenesis and maintenance,MM,,,R-MMU-1852241,https://www.reactome.org/content/detail/R-MMU-1852241,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM14979,REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,M2,CP:REACTOME,Reactome Pathways,Recruitment of NuMA to mitotic centrosomes,MM,,,R-MMU-380320,https://www.reactome.org/content/detail/R-MMU-380320,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Sfi1,1,Cell adhesion and cytoskeleton,SFI1,3.806,26,11,0,FALSE,78887,ENSMUSG00000023764,Sfi1,78887,ENSMUSG00000023764,ENSMUSG00000023764,MM14906,REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,M2,CP:REACTOME,Reactome Pathways,Regulation of PLK1 Activity at G2/M Transition,MM,,,R-MMU-2565942,https://www.reactome.org/content/detail/R-MMU-2565942,2026.1.Mm,MM,NA,NA,Reactome,Reactome,TRUE
Dnm2,2,Cell adhesion and cytoskeleton,DNM2,2.713,10,5,0,FALSE,13430,ENSMUSG00000033335,Dnm2,13430,ENSMUSG00000033335,13430,MM6173,GOBP_ACTIN_FILAMENT_BASED_PROCESS,M5,GO:BP,GO Biological Process,"Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins. [GOC:mah]",MM,,,GO:0030029,http://amigo.geneontology.org/amigo/term/GO:0030029,2026.1.Mm,MM,NA,NA,GO,GO:BP,TRUE
Dnm2,2,Cell adhesion and cytoskeleton,DNM2,2.713,10,5,0,FALSE,13430,ENSMUSG00000033335,Dnm2,13430,ENSMUSG00000033335,13430,MM9393,GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,M5,GO:BP,GO Biological Process,"A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle. [GOC:dph]",MM,,,GO:0061572,http://amigo.geneontology.org/amigo/term/GO:0061572,2026.1.Mm,MM,NA,NA,GO,GO:BP,TRUE
Dnm2,2,Cell adhesion and cytoskeleton,DNM2,2.713,10,5,0,FALSE,13430,ENSMUSG00000033335,Dnm2,13430,ENSMUSG00000033335,13430,MM4951,GOBP_ACTIN_FILAMENT_ORGANIZATION,M5,GO:BP,GO Biological Process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking. [GOC:mah]",MM,,,GO:0007015,http://amigo.geneontology.org/amigo/term/GO:0007015,2026.1.Mm,MM,NA,NA,GO,GO:BP,TRUE
Dnm2,2,Cell adhesion and cytoskeleton,DNM2,2.713,10,5,0,FALSE,13430,ENSMUSG00000033335,Dnm2,13430,ENSMUSG00000033335,13430,MM6328,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,M5,GO:BP,GO Biological Process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments. [GOC:dph, GOC:jl, GOC:mah]",MM,,,GO:0031032,http://amigo.geneontology.org/amigo/term/GO:0031032,2026.1.Mm,MM,NA,NA,GO,GO:BP,TRUE
Dnm2,2,Cell adhesion and cytoskeleton,DNM2,2.713,10,5,0,FALSE,13430,ENSMUSG00000033335,Dnm2,13430,ENSMUSG00000033335,13430,MM7197,GOBP_AORTA_DEVELOPMENT,M5,GO:BP,GO Biological Process,"The progression of the aorta over time, from its initial formation to the mature structure. An aorta is an artery that carries blood from the heart to other parts of the body. [GOC:bf, GOC:dgh, MA:0000062, UBERON:0000947, Wikipedia:Aorta]",MM,,,GO:0035904,http://amigo.geneontology.org/amigo/term/GO:0035904,2026.1.Mm,MM,NA,NA,GO,GO:BP,TRUE
