gene_symbol,gene_id,protein_id,gene_length_bp,n_mutations,is_candidate,candidate_group,gene_class
1110059E24Rik,ENSMUSG00000035171,ENSMUSP00000048395,468,2,FALSE,NA,Other genes
1300017J02Rik,ENSMUSG00000033688,ENSMUSP00000035163,2103,1,FALSE,NA,Other genes
1600014C10Rik,ENSMUSG00000054676,ENSMUSP00000070449,426,1,FALSE,NA,Other genes
1700003E16Rik,ENSMUSG00000030030,ENSMUSP00000032106,1797,1,FALSE,NA,Other genes
1700006A11Rik,ENSMUSG00000027973,ENSMUSP00000029598,1635,1,FALSE,NA,Other genes
1700013H16Rik,ENSMUSG00000054727,ENSMUSP00000063474,876,4,FALSE,NA,Other genes
1700020A23Rik,ENSMUSG00000027409,ENSMUSP00000105910,396,1,FALSE,NA,Other genes
1700029F12Rik,ENSMUSG00000052075,ENSMUSP00000088938,444,1,FALSE,NA,Other genes
1700057G04Rik,ENSMUSG00000074139,ENSMUSP00000096077,699,2,FALSE,NA,Other genes
1700067K01Rik,ENSMUSG00000046408,ENSMUSP00000062468,1071,1,FALSE,NA,Other genes
1700067P10Rik,ENSMUSG00000021545,ENSMUSP00000022028,552,1,FALSE,NA,Other genes
1700123L14Rik,ENSMUSG00000072878,ENSMUSP00000087515,1323,1,FALSE,NA,Other genes
1810046K07Rik,ENSMUSG00000036027,ENSMUSP00000158857,864,2,FALSE,NA,Other genes
1810065E05Rik,ENSMUSG00000013653,ENSMUSP00000013797,708,1,FALSE,NA,Other genes
2010300C02Rik,ENSMUSG00000026090,ENSMUSP00000123803,3528,5,FALSE,NA,Other genes
2210408I21Rik,ENSMUSG00000071252,ENSMUSP00000127449,3819,1,FALSE,NA,Other genes
2300002M23Rik,ENSMUSG00000039269,ENSMUSP00000038043,1050,8,FALSE,NA,Other genes
2300003K06Rik,ENSMUSG00000078257,ENSMUSP00000100675,789,6,FALSE,NA,Other genes
2310003L06Rik,ENSMUSG00000007457,ENSMUSP00000007601,1485,1,FALSE,NA,Other genes
2310034C09Rik,ENSMUSG00000068078,ENSMUSP00000140130,645,2,FALSE,NA,Other genes
2310050C09Rik,ENSMUSG00000090314,ENSMUSP00000126921,843,1,FALSE,NA,Other genes
2310057N15Rik,ENSMUSG00000048830,ENSMUSP00000062370,603,4,FALSE,NA,Other genes
2410004P03Rik,ENSMUSG00000071398,ENSMUSP00000140390,618,1,FALSE,NA,Other genes
2610507B11Rik,ENSMUSG00000010277,ENSMUSP00000010421,6705,1,FALSE,NA,Other genes
2700049A03Rik,ENSMUSG00000034601,ENSMUSP00000118956,4563,1,FALSE,NA,Other genes
2700081O15Rik,ENSMUSG00000053080,ENSMUSP00000123773,2037,1,FALSE,NA,Other genes
3425401B19Rik,ENSMUSG00000071540,ENSMUSP00000093741,4239,2,FALSE,NA,Other genes
4921507P07Rik,ENSMUSG00000029828,ENSMUSP00000031852,1767,1,FALSE,NA,Other genes
4921517D22Rik,ENSMUSG00000049902,ENSMUSP00000061773,810,1,FALSE,NA,Other genes
4921539E11Rik,ENSMUSG00000028520,ENSMUSP00000030245,1341,1,FALSE,NA,Other genes
4930402K13Rik,ENSMUSG00000045797,ENSMUSP00000053000,1248,1,FALSE,NA,Other genes
4930432K21Rik,ENSMUSG00000008129,ENSMUSP00000113651,1803,1,FALSE,NA,Other genes
4930438A08Rik,ENSMUSG00000069873,ENSMUSP00000104462,1611,1,FALSE,NA,Other genes
4930447A16Rik,ENSMUSG00000022288,ENSMUSP00000022897,399,1,FALSE,NA,Other genes
4930452B06Rik,ENSMUSG00000021747,ENSMUSP00000100061,2025,1,FALSE,NA,Other genes
4930503B20Rik,ENSMUSG00000090202,ENSMUSP00000051453,705,1,FALSE,NA,Other genes
4930516K23Rik,ENSMUSG00000090219,ENSMUSP00000073707,945,1,FALSE,NA,Other genes
4930522H14Rik,ENSMUSG00000060491,ENSMUSP00000099786,693,1,FALSE,NA,Other genes
4930544D05Rik,ENSMUSG00000087279,ENSMUSP00000137259,645,1,FALSE,NA,Other genes
4930578I06Rik,ENSMUSG00000021961,ENSMUSP00000152904,897,1,FALSE,NA,Other genes
4931406B18Rik,ENSMUSG00000013353,ENSMUSP00000013497,1104,2,FALSE,NA,Other genes
4932411N23Rik,ENSMUSG00000058670,ENSMUSP00000079860,1413,1,FALSE,NA,Other genes
