gene_symbol,human_ortholog,appears_in_cbioportal,appears_in_cbioportal_mutated_gene_universe
1110059E24Rik,C9orf85,FALSE,FALSE
1300017J02Rik,NA,FALSE,FALSE
1600014C10Rik,C19orf12,FALSE,FALSE
1700003E16Rik,C2orf81,FALSE,FALSE
1700006A11Rik,NA,FALSE,FALSE
1700013H16Rik,SYCP3,TRUE,TRUE
1700020A23Rik,C20orf141,FALSE,FALSE
1700029F12Rik,NA,FALSE,FALSE
1700057G04Rik,PLSCR1,TRUE,TRUE
1700067K01Rik,C19orf67,FALSE,FALSE
1700067P10Rik,NA,FALSE,FALSE
1700123L14Rik,NUP50,TRUE,TRUE
1810046K07Rik,NA,FALSE,FALSE
1810065E05Rik,NA,FALSE,FALSE
2010300C02Rik,NA,FALSE,FALSE
2210408I21Rik,KIAA0825,TRUE,TRUE
2300002M23Rik,C6orf15,FALSE,FALSE
2300003K06Rik,KRTAP4-11,TRUE,TRUE
2310003L06Rik,NA,FALSE,FALSE
2310034C09Rik,KRTAP13-1,TRUE,TRUE
2310050C09Rik,C1orf68,FALSE,FALSE
2310057N15Rik,KRTAP13-1,TRUE,TRUE
2410004P03Rik,C2orf50,FALSE,FALSE
2610005L07Rik,NA,FALSE,FALSE
2610507B11Rik,NA,FALSE,FALSE
2700049A03Rik,KIAA0586,TRUE,TRUE
2700081O15Rik,NA,FALSE,FALSE
3425401B19Rik,C10orf71,FALSE,FALSE
4921507P07Rik,C7orf31,FALSE,FALSE
4921517D22Rik,C9orf153,FALSE,FALSE
4921539E11Rik,C1orf141,FALSE,FALSE
4930402K13Rik,NA,FALSE,FALSE
4930432K21Rik,NA,FALSE,FALSE
4930438A08Rik,NA,FALSE,FALSE
4930447A16Rik,NA,FALSE,FALSE
4930452B06Rik,NA,FALSE,FALSE
4930503B20Rik,NA,FALSE,FALSE
4930516K23Rik,NA,FALSE,FALSE
4930522H14Rik,C1orf185,FALSE,FALSE
4930544D05Rik,C17orf107,FALSE,FALSE
4930562F07Rik,NA,FALSE,FALSE
4930578I06Rik,C8orf74,FALSE,FALSE
4931406B18Rik,SIGLECL1,TRUE,TRUE
4932411N23Rik,NA,FALSE,FALSE
4932438A13Rik,NA,FALSE,FALSE
4933402D24Rik,NA,FALSE,FALSE
4933402E13Rik,NA,FALSE,FALSE
4933402N03Rik,C10orf120,FALSE,FALSE
4933412E24Rik,CXorf49,FALSE,FALSE
4933414I15Rik,NA,FALSE,FALSE
4933417A18Rik,NA,FALSE,FALSE
5330417C22Rik,NA,FALSE,FALSE
5430427O19Rik,NA,FALSE,FALSE
6030458C11Rik,C5orf22,FALSE,FALSE
6430571L13Rik,C3orf18,FALSE,FALSE
6430628N08Rik,NA,FALSE,FALSE
6530413G14Rik,NA,FALSE,FALSE
8030462N17Rik,C18orf25,FALSE,FALSE
8030474K03Rik,CXorf49,FALSE,FALSE
9130008F23Rik,C6orf141,FALSE,FALSE
9130019O22Rik,ZNF764,TRUE,TRUE
9130230L23Rik,NA,FALSE,FALSE
9430015G10Rik,C1orf159,FALSE,FALSE
9530003J23Rik,LYZ,TRUE,TRUE
9530053A07Rik,FCGBP,TRUE,TRUE
9930021J03Rik,KIAA2026,FALSE,FALSE
A1cf,A1CF,TRUE,TRUE
A2m,A2M,TRUE,TRUE
A3galt2,A3GALT2,TRUE,TRUE
A530016L24Rik,C14orf180,FALSE,FALSE
A530032D15Rik,NA,FALSE,FALSE
A530064D06Rik,NA,FALSE,FALSE
AC147806.1,NA,FALSE,FALSE
AC167036.1,NA,FALSE,FALSE
AU015836,CHCHD4,FALSE,FALSE
AU040320,KIAA0319L,TRUE,TRUE
AV320801,NA,FALSE,FALSE
AW551984,VWA5A,TRUE,TRUE
AW822073,NA,FALSE,FALSE
Aadac,AADAC,TRUE,TRUE
Aadacl4fm2,AADACL4,TRUE,TRUE
Aadacl4fm5,AADACL4,TRUE,TRUE
Aak1,AAK1,TRUE,TRUE
