category,gene,dnds_class,omega,q,sig,positive_selection,gene_score
Visually normal,C130026I21Rik,Missense,0,0.9173155085922317,FALSE,FALSE,1454.287135450656
Visually normal,C130026I21Rik,Nonsense,1454.287135450656,0.006216674018499901,TRUE,TRUE,1454.287135450656
Visually normal,C130026I21Rik,Indel/DBS,0,1,FALSE,FALSE,1454.287135450656
Visually normal,Gm10471,Missense,416.5550695121592,5.7371499748160026e-5,TRUE,TRUE,416.5550695121592
Visually normal,Gm10471,Nonsense,0,0.9842978606303968,FALSE,FALSE,416.5550695121592
Visually normal,Gm10471,Indel/DBS,0,1,FALSE,FALSE,416.5550695121592
Visually normal,Spin2f,Missense,225.07573293488767,0.015213392107365359,TRUE,TRUE,225.07573293488767
Visually normal,Spin2f,Nonsense,0,0.9842978606303968,FALSE,FALSE,225.07573293488767
Visually normal,Spin2f,Indel/DBS,0,1,FALSE,FALSE,225.07573293488767
Visually normal,Zfp982,Missense,217.90107270504836,0.009955554343721307,TRUE,TRUE,217.90107270504836
Visually normal,Zfp982,Nonsense,0,0.9842978606303968,FALSE,FALSE,217.90107270504836
Visually normal,Zfp982,Indel/DBS,0,1,FALSE,FALSE,217.90107270504836
Visually normal,Vmn2r115,Missense,216.05709833468714,0.008312647215449886,TRUE,TRUE,216.05709833468714
Visually normal,Vmn2r115,Nonsense,0,0.9842978606303968,FALSE,FALSE,216.05709833468714
Visually normal,Vmn2r115,Indel/DBS,141.92387374530233,1,FALSE,FALSE,216.05709833468714
Papilloma,Ran,Missense,262.87034428872323,0.03754178466757463,TRUE,TRUE,1325.1376381100438
Papilloma,Ran,Nonsense,0,0.982876985745594,FALSE,FALSE,1325.1376381100438
Papilloma,Ran,Indel/DBS,1325.1376381100438,0.22954560239557428,FALSE,FALSE,1325.1376381100438
